ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,rewardPEOP,update2OP,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_alpha2,sim_alpha22,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
182,1,1,B,0,1,l,63,1,0.95,0B,1B,0,1,0,1,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.9873742791172,0,0,1,1B,0B,0.5,0.5,0.5,0.5,1,1,0.5,0.12410435497882,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.272314345635039,0.500148837740724,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,2,A,1,0,l,63,1,0.95,1A,0A,0,1,0,1,A10,2.83321334405622,0.5,0.5,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5943742791172,0,0,1,0A,1A,0.5,0.5,0.5,0.5,1,1,0.5,0.12410435497882,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.352846932787401,0.499850238299382,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,3,C,2,1,a,9,1,0.95,2C,1C,1,0,1,0,C21,2.89037175789616,0.62410435497882,0.264340151695484,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5923742791172,1,1,0,2C,1C,0.5,0.5,0.5,0.5,1,1,0.5,0.12410435497882,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.154674321708941,0.499295256728193,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,4,A,0,1,a,63,1,0.95,0A,1A,1,0,1,0,A01,2.94443897916644,0.62410435497882,0.264340151695484,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.5,0.5,2.5453742791172,1,1,0,0A,1A,0.62410435497882,0.264340151695484,0.702468584464568,0.297531415535432,1,1,0.37589564502118,0.093300573129402,0.264340151695484,-0.124588720098701,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,1.87358696925053,0.998751939033756,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,5,D,1,3,l,27,1,0.95,1D,3D,0,1,0,1,D13,2.99573227355399,0.717404928108222,0.139751431596783,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.5,0.5,3.9853742791172,0,0,1,3D,1D,0.5,0.5,0.5,0.5,1,1,0.5,0.12410435497882,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.106986995779186,0.499952766904375,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,6,B,1,0,a,63,1,0.95,1B,0B,1,0,1,0,B10,3.04452243772342,0.717404928108222,0.139751431596783,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.264340151695484,0.5,0.62410435497882,2.5203742791172,1,1,0,1B,0B,0.62410435497882,0.264340151695484,0.702468584464568,0.297531415535432,1,1,0.37589564502118,0.093300573129402,0.264340151695484,-0.124588720098701,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,2.05204852847412,0.998753490575408,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,7,C,3,2,l,63,1,0.95,3C,2C,0,1,0,1,C32,3.09104245335832,0.717404928108222,0.139751431596783,0.5,0.5,0.139751431596783,0.717404928108222,0.5,0.5,0.5,0.264340151695484,0.62410435497882,0.5,0.5,0.264340151695484,0.5,0.62410435497882,3.2213742791172,0,0,1,2C,3C,0.62410435497882,0.5,0.555201438562685,0.444798561437315,1,1,0.37589564502118,0.093300573129402,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.389419090363397,0.86097820354812,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,8,A,0,2,a,27,1,0.95,0A,2A,1,0,1,0,A02,3.13549421592915,0.717404928108222,0.139751431596783,0.5,0.5,0.139751431596783,0.717404928108222,0.5,0.5,0.5,0.264340151695484,0.717404928108222,0.264340151695484,0.5,0.264340151695484,0.5,0.62410435497882,3.3763742791172,1,1,0,0A,2A,0.717404928108222,0.5,0.589290310515687,0.410709689484313,1,1,0.282595071891778,0.0701425582346447,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.30104366317808,0.950225679753937,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,9,D,2,3,l,63,1,0.95,2D,3D,0,1,0,1,D23,3.17805383034795,0.787547486342867,0.139751431596783,0.264340151695484,0.5,0.139751431596783,0.717404928108222,0.5,0.5,0.5,0.264340151695484,0.717404928108222,0.264340151695484,0.5,0.264340151695484,0.5,0.62410435497882,2.3703742791172,1,1,0,2D,3D,0.5,0.62410435497882,0.444798561437315,0.555201438562685,0,0,-0.5,-0.2608514875157,-0.37589564502118,0.0196889098443356,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.0818598795824851,0.139317007880138,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
182,1,10,B,1,3,a,27,1,0.95,1B,3B,1,0,1,0,B13,3.2188758248682,0.787547486342867,0.139751431596783,0.264340151695484,0.5,0.139751431596783,0.717404928108222,0.5,0.5,0.5,0.264340151695484,0.717404928108222,0.264340151695484,0.5,0.264340151695484,0.2391485124843,0.643793264823155,2.9443742791172,1,1,0,1B,3B,0.717404928108222,0.5,0.589290310515687,0.410709689484313,1,1,0.282595071891778,0.0701425582346447,0.5,-0.235659848304516,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.264094732351025,0.064518852693919,0.497652594018038,0.159750374566904,2.1753742791172,6.78632020849821,2.1447420637233,0.5,0.642058808241385,0.950139890163527,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.24820870995764,0.5217029750314,0.471319696609032,0.0523786590909457,2.15517740511405,7.21141445963342,2.28948497844068,0.5,-23.1027576075929
