ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_startBelief,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_alpha1,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_nonDecisionTime,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_weight,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_startingBoundary,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_startingPoint,fit_CBCsimpleRW_CBCdriftDiffusionLR_pwBelief_NLL
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,11,1,0,r,0,1,1,tac,A,63,1,1A,0A,0,1,b,2.31560339999851,1,0,0,0,1A,0A,A10,2.56494935746154,0.5,0.138682633565218,0.138682633565218,0.5,0.5,0.961534254294831,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.989330938167114,0.138682633565218,0.861317366434782,0.138682633565218,0.5,0.167925665780949,0.4555731345732,-0.138682633565218,-0.100216887860049,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,12,0,1,r,0,1,0,tac,B,63,1,0B,1B,0,1,r,2.77428330000112,0,1,1,1,1B,0B,B01,3.29583686600433,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.961534254294831,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.989330938167114,0.961534254294831,0.0384657457051694,0.961534254294831,0.5,0.155712847411085,0.557304843899871,0.0384657457051694,0.0277966838722836,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,13,2,3,r,0,1,2,tac,D,63,1,2D,3D,0,1,b,2.61724529999992,1,0,0,0,2D,3D,D23,2.63905732961526,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.989330938167114,0.00173336520304228,0.998266634796958,0.138682633565218,0.989330938167114,0.134876555583579,0.438176281468639,-0.138682633565218,-0.100216887860049,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,14,1,3,b,1,0,0,tac,B,27,1,1B,3B,1,0,r,3.37381810000079,0,1,0,0,3B,1B,B13,3.36729582998647,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.5,0.138682633565218,0.5,0.5,0.138682633565218,0.5,0.5,0.0384657457051693,0.989330938167114,0.0106690618328857,0.989330938167114,0.5,0.989330938167114,0.0845689492121397,0.438872293913372,-0.5,-0.361317366434782,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,15,3,2,r,0,1,3,tac,C,63,1,3C,2C,0,1,b,2.45090460000029,1,0,0,0,3C,2C,C32,3.40119738166216,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.138682633565218,0.138682633565218,0.5,0.5,0.138682633565218,0.5,0.5,0.0384657457051693,0.989330938167114,0.138682633565218,0.861317366434782,0.138682633565218,0.5,0.154711003738925,0.454749686113154,-0.138682633565218,-0.100216887860049,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,16,2,0,b,1,0,3,tac,C,27,1,2C,0C,1,0,b,2.46456769999895,1,0,1,1,2C,0C,C20,2.7408400239252,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.138682633565218,0.138682633565218,0.5,0.5,0.0384657457051693,0.5,0.5,0.0384657457051693,0.989330938167114,0.861317366434782,0.138682633565218,0.5,0.138682633565218,0.183942323007424,0.545135298837557,0.5,0.361317366434782,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,17,0,3,b,1,0,1,tac,A,9,1,0A,3A,NaN,NaN,None,NaN,NaN,NaN,NaN,NaN,,,A03,3.46573590279973,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.138682633565218,0.138682633565218,0.5,0.861317366434782,0.0384657457051693,0.5,0.5,0.0384657457051693,0.989330938167114,0,0,0,0,NaN,0,0,0,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,18,2,3,b,1,0,3,tac,C,63,0,2C,3C,0,1,b,1.60259410000072,1,0,1,0,2C,3C,C23,2.80336038090653,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.138682633565218,0.138682633565218,0.5,0.861317366434782,0.0384657457051693,0.5,0.5,0.0384657457051693,0.989330938167114,0.993600001741957,0.00639999825804305,0.861317366434782,0.0384657457051693,0.245780500784545,0.56261335416089,-0.861317366434782,-0.622417845009514,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,19,1,0,r,0,1,1,tac,A,63,1,1A,0A,0,1,b,2.42281709999952,1,0,0,0,1A,0A,A10,2.42774823594805,0.5,0.0384657457051693,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.138682633565218,0.138682633565218,0.5,0.238899521425268,0.0384657457051693,0.5,0.5,0.0384657457051693,0.989330938167114,0.0384657457051693,0.961534254294831,0.0384657457051693,0.5,0.153564875522084,0.443501264695608,-0.0384657457051693,-0.0277966838722836,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
CBC_1102,CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv,1,20,3,2,b,1,0,2,tac,D,63,1,3D,2D,1,0,r,3.03765910000038,0,1,0,0,2D,3D,D32,2.4567357728213,0.5,0.0106690618328857,0.138682633565218,0.5,0.5,0.989330938167114,0.5,0.138682633565218,0.138682633565218,0.5,0.238899521425268,0.0384657457051693,0.5,0.5,0.0384657457051693,0.989330938167114,0.00043122776661908,0.999568772233381,0.0384657457051693,0.989330938167114,0.103887449335887,0.437597429609092,-0.0384657457051693,-0.0277966838722836,0.5,0.722634732869563,1.09835645089652,0.0890084613507985,2.82719538699654,0.5,76.4712064599914
