ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,11,0,0,aud,0.5,1,z,A,0A,1,z,1.58024719999958,1,1,1,1.84582669049833,0.58984740299152,0.5,0.390641678942216,0.501247292350789,0.609358321057784,0.5,0.5,0.501247292350789,0.694798157346413,0.58984740299152,0.444478162064609,0.827695536868125,0.41015259700848,0.0897071987726741,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,12,1,1,aud,0.5,0,z,B,1B,1,z,1.70590269999957,1,1,0,2.30258509299405,0.679554601764194,0.5,0.390641678942216,0.501247292350789,0.609358321057784,0.5,0.5,0.501247292350789,0.694798157346413,0.609358321057784,0.371417099617437,0.871518171679608,-0.609358321057784,-0.0304348995922498,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,13,0,2,aud,0.15,1,z,C,0C,0,b,0.987859799995931,0,1,1,3.04452243772342,0.679554601764194,0.5,0.390641678942216,0.501247292350789,0.578923421465534,0.5,0.5,0.501247292350789,0.694798157346413,0.5,0.466383507334861,0.500404816647164,0.5,-0.109358321057784,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,14,1,0,aud,0.15,0,z,A,1A,0,z,2.31470429999536,1,0,1,3.09104245335832,0.679554601764194,0.5,0.390641678942216,0.501247292350789,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.694798157346413,0.5,0.105413536338407,0.499573755635748,0.5,0.109358321057784,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,15,0,1,aud,0.35,1,z,B,0B,0,b,1.95615249999537,0,1,1,2.03688192726104,0.679554601764194,0.609358321057784,0.390641678942216,0.501247292350789,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.694798157346413,0.501247292350789,0.164287133944952,0.494650132225763,0.501247292350789,-0.109631124652484,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,16,1,0,aud,0.15,0,z,A,1A,0,z,2.23206759999812,1,0,1,2.484906649788,0.679554601764194,0.609358321057784,0.390641678942216,0.391616167698304,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.694798157346413,0.609358321057784,0.149139075629695,0.87134806300946,0.390641678942216,0.085439836288629,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,17,2,2,aud,0.5,1,z,C,2C,1,z,1.25042779999785,1,1,1,2.12026353620009,0.679554601764194,0.694798157346413,0.390641678942216,0.391616167698304,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.694798157346413,0.694798157346413,0.981783424787189,0.967904199443118,0.305201842653587,0.0667527221926763,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,18,0,0,aud,0.5,1,z,A,0A,1,b,2.29957359999753,0,0,0,1.87180217690159,0.679554601764194,0.694798157346413,0.390641678942216,0.391616167698304,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.761550879539089,0.679554601764194,0.00298850502824722,0.0414512193400357,-0.320445398235806,0.0160049074297952,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,19,2,2,aud,0.5,1,z,C,2C,1,z,0.869063399997685,1,1,1,1.90954250488444,0.695559509193989,0.694798157346413,0.390641678942216,0.391616167698304,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.761550879539089,0.761550879539089,1.88503709202904,0.989772083832608,0.238449120460911,0.0521527909426208,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,20,1,1,aud,0.5,1,z,B,1B,1,z,1.38397429999895,1,1,1,2.23359222150709,0.695559509193989,0.694798157346413,0.390641678942216,0.391616167698304,0.578923421465534,0.5,0.390641678942216,0.501247292350789,0.81370367048171,0.578923421465534,0.57767296642977,0.799529116122474,0.421076578534466,0.0920964553305703,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,21,2,0,aud,0.35,1,z,A,2A,0,b,0.943258599996625,0,1,1,2.67414864942653,0.695559509193989,0.694798157346413,0.390641678942216,0.391616167698304,0.671019876796104,0.5,0.390641678942216,0.501247292350789,0.81370367048171,0.390641678942216,1.01279137284671,0.871399930846514,0.390641678942216,-0.085439836288629,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,22,0,1,aud,0.35,0,z,B,0B,0,z,2.41734659999929,1,0,1,2.01490302054226,0.695559509193989,0.694798157346413,0.305201842653587,0.391616167698304,0.671019876796104,0.5,0.390641678942216,0.501247292350789,0.81370367048171,0.391616167698304,0.0163825715423905,0.130819063524839,0.608383832301696,0.133063668918427,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,23,2,2,aud,0.5,0,z,C,2C,1,z,0.98101079999833,1,1,0,1.82454929205105,0.695559509193989,0.694798157346413,0.305201842653587,0.524679836616731,0.671019876796104,0.5,0.390641678942216,0.501247292350789,0.81370367048171,0.81370367048171,2.50997374871226,0.995879104602836,-0.81370367048171,-0.0406410951539423,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,24,1,1,aud,0.5,1,z,B,1B,1,z,1.94240239999999,1,1,1,2.07944154167984,0.695559509193989,0.694798157346413,0.305201842653587,0.524679836616731,0.671019876796104,0.5,0.390641678942216,0.501247292350789,0.773062575327767,0.671019876796104,0.183176055391818,0.952096871633072,0.328980123203896,0.0719534278699217,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,25,0,0,aud,0.5,0,z,A,0A,1,z,1.39516169999843,1,1,0,1.88706964903238,0.695559509193989,0.694798157346413,0.305201842653587,0.524679836616731,0.742973304666026,0.5,0.390641678942216,0.501247292350789,0.773062575327767,0.695559509193989,0.664589437583302,0.968326781165172,-0.695559509193989,-0.0347402884168479,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
CBC_P003,CBC_P003_AV_prob0.7_Vset1_Aset1_2023-03-15_15h16.00.927.csv,1,26,1,2,aud,0.35,1,z,C,1C,0,b,1.051369599998,0,1,1,2.42774823594805,0.660819220777142,0.694798157346413,0.305201842653587,0.524679836616731,0.742973304666026,0.5,0.390641678942216,0.501247292350789,0.773062575327767,0.501247292350789,0.468622872545586,0.495029463867819,0.501247292350789,-0.109631124652484,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.218716642115567,0.0499458176585131,0.7081403312197,4.42803824475908,1.97491408636763,0.5,36.8987073271959
