trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,41.706717999999455,None,t,58.98699990000205,41.706717999999455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
,,,,,,,,,,None,100.71429089999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.53337421950507,1.12425433982333,None,100.91439439999886,None,102.13104009999915,None,102.13104009999915,None,102.13097797999872,None,['z'],[0.9121428000016749],102.13104009999915,None,None,104.05212849999953,None,z,0.9121428000016749,0,0,0.0,108.58346290000009,None,None,108.58346290000009,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
1,0,1,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.496959177995529,1.52290599571961,None,110.38100059999852,None,111.91881519999879,None,111.91881519999879,None,111.93087263999915,None,['b'],[1.8566804000001866],111.91881519999879,None,None,113.91541019999931,None,b,1.8566804000001866,0,0,0.0,116.42038319999847,None,None,116.42038319999847,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
2,0,2,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.629554641171433,1.94858485820231,None,118.23030449999897,None,120.20863459999964,None,120.20863459999964,None,120.21428449999985,None,['z'],[1.1240390000002662],120.20863459999964,None,None,122.18418930000007,None,z,1.1240390000002662,0,0,0.0,124.82040629999938,None,None,124.82040629999938,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
3,0,3,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,3.68371079902891,0.917519910446003,None,126.63103599999886,None,127.5708254000001,None,127.5708254000001,None,127.58182903999987,None,None,,127.5708254000001,None,['z'],129.54779939999935,None,z,2.2211268999999447,0,0,0.0,133.22029889999976,None,None,133.22029889999976,None,[0.22112689999994473],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
4,0,4,0,,,,,,,,,,1,2.0,0.0,z,27.0,1.0,3.02234236141277,1.27538462653558,None,135.0310387999998,None,136.32093819999864,None,136.32093819999864,None,136.33111763999986,None,['z'],[1.514907700000549],136.32093819999864,None,None,138.31566239999847,None,z,1.514907700000549,1,1,0.2,141.33410109999932,None,None,141.33410109999932,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.666404967794728,1.90743690794447,None,143.14781399999993,None,145.06900779999887,None,145.06900779999887,None,145.06442137999986,None,['b'],[1.7335003000025608],145.06900779999887,None,None,147.0641958999986,None,b,1.7335003000025608,0,0,0.16666666666666666,149.73606629999995,None,None,149.73606629999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.2759877950103027,2.15533949826702,None,151.5478991,None,153.7171856999994,None,153.7171856999994,None,153.71441717999843,None,None,,153.7171856999994,None,['z'],155.6985009,None,z,3.2681264000020747,0,0,0.14285714285714285,157.95871049999914,None,None,157.95871049999914,None,[1.2681264000020747],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
7,0,7,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,4.46924002178158,2.40378712856304,None,159.76459299999988,None,162.1855822999987,None,162.1855822999987,None,162.19788023999863,None,['b'],[1.7138393000022916],162.1855822999987,None,None,164.18467109999983,None,b,1.7138393000022916,1,1,0.25,168.67324999999983,None,None,168.67324999999983,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
8,0,8,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,3.7500315165247198,1.60731937853708,None,170.48201349999908,None,172.1040256999986,None,172.1040256999986,None,172.11473303999955,None,['z'],[1.5124070000001666],172.1040256999986,None,None,174.09895629999846,None,z,1.5124070000001666,1,1,0.3333333333333333,177.85457359999964,None,None,177.85457359999964,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
9,0,9,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.592312596923728,2.6299100644723,None,179.6646286999985,None,182.32090719999906,None,182.32090719999906,None,182.33122263999903,None,None,,182.32090719999906,None,['z'],184.2978390999997,None,z,2.566061000001355,0,0,0.3,186.8723098999999,None,None,186.8723098999999,None,[0.5660610000013548],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
10,0,10,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.77723667052879,0.979776149765883,None,188.68137380000007,None,189.6852670999997,None,189.6852670999997,None,189.69791993999897,None,None,,189.6852670999997,None,['b'],191.66464129999986,None,b,3.445331500002794,0,0,0.2727272727272727,196.4236450999997,None,None,196.4236450999997,None,[1.4453315000027942],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
11,0,11,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,3.3728785608729996,1.34668860557497,None,198.23134989999926,None,199.6007800999996,None,199.6007800999996,None,199.5978456799996,None,None,,199.6007800999996,None,['z'],201.58142129999942,None,z,2.4222998000022926,1,1,0.3333333333333333,204.94807760000003,None,None,204.94807760000003,None,[0.4222998000022926],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
12,0,12,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.294664843639333,2.96653053743745,None,206.74789710000005,None,209.735983999999,None,209.735983999999,None,209.74807303999987,None,None,,209.735983999999,None,['b'],211.7146636999987,None,b,3.1118506000002526,1,1,0.38461538461538464,213.99187939999865,None,None,213.99187939999865,None,[1.1118506000002526],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
13,0,13,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,3.26539063535182,0.761758675042088,None,215.7982140999993,None,216.56819229999928,None,216.56819229999928,None,216.56553597999957,None,None,,216.56819229999928,None,"['z', 'b']",218.54764739999882,None,z,2.328058700002657,1,1,0.42857142857142855,221.8008691999985,None,None,221.8008691999985,None,"[0.32805870000265713, 1.4648277000014787]",,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
14,0,14,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,4.7533305109883095,0.952147612306987,None,223.61474239999916,None,224.58574299999964,None,224.58574299999964,None,224.59807323999993,None,['b'],[1.907120699999723],224.58574299999964,None,None,226.58164969999962,None,b,1.907120699999723,0,0,0.4,231.3334135999994,None,None,231.3334135999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
15,0,15,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,3.35133458220192,1.53243550275999,None,233.14805029999843,None,234.70072549999895,None,234.70072549999895,None,234.69807557999886,None,None,,234.70072549999895,None,['z'],236.68157819999942,None,z,2.633630100001028,1,1,0.4375,240.01582209999833,None,None,240.01582209999833,None,[0.633630100001028],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
16,0,16,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.342239579230602,3.1963008326951,None,241.81498319999992,None,245.0341955999993,None,245.0341955999993,None,245.03151808000004,None,None,,245.0341955999993,None,['b'],247.01480619999893,None,b,2.489430800002083,1,1,0.47058823529411764,249.34692910000012,None,None,249.34692910000012,None,[0.48943080000208283],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
17,0,17,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,4.01714354611405,3.06992456303453,None,251.14821479999955,None,254.2355803999999,None,254.2355803999999,None,254.23158987999997,None,None,,254.2355803999999,None,['z'],256.2148877999989,None,z,3.028741700001774,0,1,0.4444444444444444,260.21718489999876,None,None,260.21718489999876,None,[1.028741700001774],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
18,0,18,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.61004669244928,3.33124983260532,None,262.0316251999993,None,265.3867152999992,None,265.3867152999992,None,265.39819093999864,None,None,,265.3867152999992,None,['b'],267.3649623000001,None,b,3.3266094000027806,0,0,0.42105263157894735,271.9629974999989,None,None,271.9629974999989,None,[1.3266094000027806],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
19,0,19,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,4.11514536789087,3.1424449555106,None,273.76502319999963,None,276.92046109999865,None,276.92046109999865,None,276.93161163999827,None,None,,276.92046109999865,None,['z'],278.8980021999996,None,z,2.5095545000003767,0,0,0.4,283.0099890999991,None,None,283.0099890999991,None,[0.5095545000003767],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
20,0,20,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,4.77034425507967,3.24569326556923,None,284.8149620999993,None,288.08560959999886,None,288.08560959999886,None,288.08158347999887,None,None,,288.08560959999886,None,['b'],290.0649386999994,None,b,3.3907375000017055,1,1,0.42857142857142855,294.8220672999996,None,None,294.8220672999996,None,[1.3907375000017055],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
21,0,21,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.693348633324513,0.80788063606262,None,296.6317902999999,None,297.4542384999986,None,297.4542384999986,None,297.4650899399999,None,None,,297.4542384999986,None,['z'],299.4317476999986,None,z,2.2447841000011977,1,1,0.45454545454545453,302.1158728999999,None,None,302.1158728999999,None,[0.24478410000119766],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
22,0,22,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.72585056748869,0.974903167432984,None,303.91493569999875,None,304.90071329999955,None,304.90071329999955,None,304.89816637999974,None,None,,304.90071329999955,None,['b'],306.8821199999984,None,b,2.7844685000018217,1,1,0.4782608695652174,311.5945053999985,None,None,311.5945053999985,None,[0.7844685000018217],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
23,0,23,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.190022164497369,1.43470440954152,None,313.39839799999936,None,314.85135439999976,None,314.85135439999976,None,314.8484234799991,None,None,,314.85135439999976,None,['b'],316.8317834999998,None,b,2.938061100001505,1,1,0.5,321.0121429999999,None,None,321.0121429999999,None,[0.9380611000015051],,,,,,,,,,,,,,,,,,,,,CBC_1075,2,3,3,4,6,0.95,2024-03-13_15h01.44.828,MSI_AV_v3,2022.1.1,60.00916940126331,
