trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,2,1,0,r,63,1,2.7134565917469198,3.4543169006169,None,595.0672505000002,None,598.5354059000001,None,598.5354059000001,None,598.53361039,None,['r'],[1.7052797999995164],598.5354059000001,None,None,600.5302849,None,r,1.7052797999995164,1,1,0.7894736842105263,603.2388080000001,None,None,603.2388080000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
19,0,19,0,,,,,,,,,,1,0,1,r,63,0,2.517541937862754,1.94858485820231,None,605.0504691999995,None,607.0182576999996,None,607.0182576999996,None,607.0171143899998,None,None,,607.0182576999996,None,['r'],609.0004258999998,None,r,3.244763600000624,1,0,0.8,611.5157007999996,None,None,611.5157007999996,None,[1.2447636000006241],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
20,0,20,0,,,,,,,,,,3,1,3,r,27,1,3.68371079902891,1.78643585472448,None,613.3171479000002,None,615.1189162000001,None,615.1189162000001,None,615.11684789,None,None,,615.1189162000001,None,['r'],617.1004023999994,None,r,2.0194052000006195,1,1,0.8095238095238095,620.7675553999998,None,None,620.7675553999998,None,[0.019405200000619516],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
21,0,21,0,,,,,,,,,,0,2,3,b,63,1,2.342239579230602,1.36309078069689,None,622.5673612,None,623.9561088999999,None,623.9561088999999,None,623.9671934200002,None,None,,623.9561088999999,None,['b'],625.9343723000002,None,b,2.2730805000001055,1,1,0.8181818181818182,628.2668013000002,None,None,628.2668013000002,None,[0.27308050000010553],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
22,0,22,0,,,,,,,,,,1,1,0,b,63,1,3.3728785608729996,2.40378712856304,None,630.0672722999998,None,632.4838975000002,None,632.4838975000002,None,632.48338359,None,['b'],[1.7318294000006063],632.4838975000002,None,None,634.4844866000003,None,b,1.7318294000006063,1,1,0.8260869565217391,637.8583772000002,None,None,637.8583772000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
23,0,23,0,,,,,,,,,,2,2,0,r,27,1,4.11514536789087,1.25817747924478,None,639.6675165999995,None,640.9389818,None,640.9389818,None,640.9505772199997,None,None,,640.9389818,None,['r'],642.9175402000001,None,r,3.113788700000441,1,1,0.8333333333333334,647.0260115000001,None,None,647.0260115000001,None,[1.1137887000004412],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
24,0,24,0,,,,,,,,,,3,2,3,r,63,1,4.7533305109883095,0.761758675042088,None,648.834398,None,649.6085516000003,None,649.6085516000003,None,649.6170997200003,None,None,,649.6085516000003,None,['r'],651.5843164999997,None,r,3.21781910000027,1,1,0.84,656.3354995999998,None,None,656.3354995999998,None,[1.2178191000002698],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
25,0,25,0,,,,,,,,,,0,2,0,b,27,1,4.40017271499661,1.90743690794447,None,658.1507344000001,None,660.0680664000001,None,660.0680664000001,None,660.06694119,None,None,,660.0680664000001,None,['b'],662.0508485,None,b,4.444893200000479,1,1,0.8461538461538461,666.4357044999997,None,None,666.4357044999997,None,[2.444893200000479],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
26,0,26,0,,,,,,,,,,1,1,0,b,63,1,2.792365600763554,1.1243895841892,None,668.2506968999996,None,669.3868622,None,669.3868622,None,669.3835960899997,None,None,,669.3868622,None,['b'],671.3671815999996,None,b,3.3014585000000807,1,1,0.8518518518518519,674.1560156999994,None,None,674.1560156999994,None,[1.3014585000000807],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
27,0,27,0,,,,,,,,,,2,0,1,b,63,1,2.92731383428727,2.15533949826702,None,675.9675951999998,None,678.1361300999997,None,678.1361300999997,None,678.1336748899995,None,['b'],[1.6931640000002517],678.1361300999997,None,None,680.1365906000001,None,b,1.6931640000002517,1,1,0.8571428571428571,683.0750378000002,None,None,683.0750378000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
28,0,28,0,,,,,,,,,,0,3,2,r,63,1,2.526044641065533,1.38289892513751,None,684.8844303999995,None,686.2856308,None,686.2856308,None,686.2836206900002,None,None,,686.2856308,None,['b'],688.2673414000001,None,b,3.359485300000415,0,0,0.8275862068965517,690.7897192999999,None,None,690.7897192999999,None,[1.359485300000415],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
29,0,29,0,,,,,,,,,,3,3,1,b,27,1,2.666404967794728,1.53243550275999,None,692.6009607999995,None,694.1560755,None,694.1560755,None,694.1670628199996,None,None,,694.1560755,None,['r'],696.1340614000001,None,r,2.3514695000003485,0,0,0.8,698.7818685000002,None,None,698.7818685000002,None,[0.3514695000003485],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
