trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,20.483895800000028,None,t,11.529393699999673,20.483895800000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
,,,,,,,,,,None,32.03473819999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.792365600763554,0.979776149765883,None,32.234867699999995,None,33.38748769999984,None,33.38748769999984,None,33.38465880000003,None,['b'],[1.6588418000001184],33.38748769999984,None,None,35.222196699999586,None,b,1.6588418000001184,1,1,1.0,38.022343999999975,None,None,38.022343999999975,None,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
1,0,1,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.517541937862754,1.25817747924478,None,39.81777630000033,None,41.14471719999983,None,41.14471719999983,None,41.134635799999884,None,['z'],[1.1571057999999539],41.14471719999983,None,None,43.06935160000012,None,z,1.1571057999999539,1,1,1.0,45.591650200000004,None,None,45.591650200000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
2,0,2,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.77723667052879,2.09887870490381,None,47.40090210000017,None,49.58759689999988,None,49.58759689999988,None,49.58430590000043,None,['b'],[1.8037675000005038],49.58759689999988,None,None,51.518993699999555,None,b,1.8037675000005038,1,1,1.0,56.30779729999995,None,None,56.30779729999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
3,0,3,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,3.7500315165247198,1.38289892513751,None,58.118162400000074,None,59.521003400000154,None,59.521003400000154,None,59.517750200000044,None,['b'],[1.3017721999995047],59.521003400000154,None,None,61.520743899999616,None,b,1.3017721999995047,1,1,1.0,65.2717002999998,None,None,65.2717002999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
4,0,4,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,4.40017271499661,1.53122835510861,None,67.08455249999952,None,68.6375963999999,None,68.6375963999999,None,68.63442900000008,None,None,,68.6375963999999,None,['z'],70.61774539999988,None,z,2.263192600000366,1,1,1.0,75.01288469999963,None,None,75.01288469999963,None,[0.26319260000036593],,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.31929419319838,1.12425433982333,None,76.81776369999989,None,77.99071290000029,None,77.99071290000029,None,77.98464160000003,None,None,,77.99071290000029,None,['z'],79.9345831999999,None,z,2.278056600000127,1,1,1.0,83.24280819999967,None,None,83.24280819999967,None,[0.2780566000001272],,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.666404967794728,3.1963008326951,None,85.0515389000002,None,88.2594638999999,None,88.2594638999999,None,88.26813719999991,None,['b'],[1.467859999999746],88.2594638999999,None,None,90.25217470000007,None,b,1.467859999999746,1,1,1.0,92.92523040000015,None,None,92.92523040000015,None,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
7,0,7,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.52047235037039,0.952147612306987,None,94.73448029999963,None,95.70718829999987,None,95.70718829999987,None,95.7183446000001,None,['b'],[1.8252297999997609],95.70718829999987,None,None,97.70399610000004,None,b,1.8252297999997609,1,1,1.0,102.22522149999986,None,None,102.22522149999986,None,,,,,,,,,,,,,,,,,,,,,,CBC_1020,003,6,1,4,19,0.90,2023-06-28_15h13.22.031,MSI_AV_v3,2022.1.1,60.00546049700742,
