trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,3,3,1,z,27,1,3.71372710086949,2.78346932462847,None,451.1424164,None,453.9466752999999,None,453.9466752999999,None,453.9582483399999,None,None,453.9466752999999,None,['z'],[0.7838323999999375],455.9257405999999,None,z,2.7838323999999375,1,1,0.8947368421052632,459.6191775,None,None,459.6191775,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
38,0,38,0,,,,,,,,,,0,2,3,b,63,1,4.72585056748869,1.43470440954152,None,461.4249683999999,None,462.88096999999993,None,462.88096999999993,None,462.8916576399999,None,['b'],462.88096999999993,None,None,,464.8838776,None,b,1.5182927999999265,1,1,0.8974358974358975,469.6152347,None,None,469.6152347,None,[1.5182927999999265],,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
39,0,39,0,,,,,,,,,,1,2,3,z,63,1,2.517541937862754,1.78643585472448,None,471.42506449999996,None,473.23047559999986,None,473.23047559999986,None,473.24168493999986,None,None,473.23047559999986,None,['z'],[0.15980839999997443],475.2083726000001,None,z,2.1598083999999744,1,1,0.9,477.71807409999997,None,None,477.71807409999997,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
40,0,40,0,,,,,,,,,,3,1,0,b,63,1,3.31929419319838,3.33124983260532,None,479.52522780000004,None,482.8794877,None,482.8794877,None,482.89167133999985,None,None,482.8794877,None,['b'],[0.20147079999992457],484.85847190000004,None,b,2.2014707999999246,1,1,0.9024390243902439,488.16063029999987,None,None,488.16063029999987,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
41,0,41,0,,,,,,,,,,2,0,2,b,27,1,2.526044641065533,1.18065738546375,None,489.97507789999986,None,491.1621622,None,491.1621622,None,491.17495574000003,None,['b'],491.1621622,None,['b'],[0.06303030000003673],493.1588348,None,b,1.1333482000000004,1,1,0.9047619047619048,495.6980335999999,None,None,495.6980335999999,None,[1.1333482000000004],,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
42,0,42,0,,,,,,,,,,1,0,3,z,9,1,4.82531807167306,2.40378712856304,None,497.5083468,None,499.93113930000004,None,499.93113930000004,None,499.9416648399999,None,['z'],499.93113930000004,None,None,,501.90918880000004,None,z,1.4430523999999423,1,1,0.9069767441860465,506.7410359999999,None,None,506.7410359999999,None,[1.4430523999999423],,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
43,0,43,0,,,,,,,,,,0,2,3,b,63,1,3.3728785608729996,0.952147612306987,None,508.54234470000006,None,509.49151329999995,None,509.49151329999995,None,509.4910669200001,None,['b'],509.49151329999995,None,None,,511.49690310000005,None,b,1.3095041999999921,1,1,0.9090909090909091,514.8577594000001,None,None,514.8577594000001,None,[1.3095041999999921],,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,516.6585069999999,None,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.6585646999999,None,None,521.6585646999999,None,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 3, 0, 1]",0.7272727272727273,0.9090909090909091,1.0,1.0,,,,,,,,,,,,
