trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,0,0.0,1.0,r,63.0,1.0,3.73326136168326,1.18065738546375,None,869.7019915000001,None,870.853405430001,870.853405430001,870.8697862300007,None,[],['b'],[0.41467130000091856],872.8571053000014,None,b,2.4146713000009186,0,0,0.42424242424242425,None,876.5938612000009,None,876.5938612000009,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
33,0,33,0,,,,,,,,,,1,1.0,0.0,r,63.0,0.0,4.52047235037039,1.38289892513751,None,878.4036714000013,None,879.7698090300012,879.7698090300012,879.7854155300004,None,[],['r'],[0.44185189999916474],881.7681874000009,None,r,2.4418518999991647,1,0,0.4411764705882353,None,886.299244400001,None,886.299244400001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
34,0,34,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.517541937862754,1.1243895841892,None,888.1028774000006,None,889.20332953,889.20332953,889.2201002300001,None,[],['b'],[1.5094225000011647],891.2102223000002,None,b,3.5094225000011647,1,1,0.45714285714285713,None,893.7170017000008,None,893.7170017000008,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
35,0,35,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,2.433630701072358,0.761758675042088,None,895.5188314000006,None,896.2534867300012,896.2534867300012,896.2704449300011,r,['r'],None,,898.2952385000008,None,r,1.920904899998277,0,0,0.4444444444444444,None,900.7190756,None,900.7190756,None,1.920904899998277,[1.920904899998277],,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
36,0,36,0,,,,,,,,,,0,0.0,1.0,r,63.0,1.0,2.792365600763554,2.78346932462847,None,902.5198670999998,None,905.2871177300015,905.2871177300015,905.3036224300006,None,[],['r'],[0.31126359999871056],907.2950877000003,None,r,2.3112635999987106,1,1,0.4594594594594595,None,910.0900651000011,None,910.0900651000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
37,0,37,0,,,,,,,,,,2,2.0,3.0,r,63.0,1.0,4.190022164497369,1.64421109900286,None,911.9036510000005,None,913.5186944300015,913.5186944300015,913.5354758300011,None,[],['b'],[1.01362379999955],915.5169984000004,None,b,3.01362379999955,0,0,0.4473684210526316,None,919.7075557000007,None,919.7075557000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
38,0,38,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,2.666404967794728,0.80788063606262,None,921.5198778000013,None,922.3037881299999,922.3037881299999,922.3204731300004,None,[],['r'],[0.30294099999991886],924.3096627000014,None,r,2.302940999999919,0,0,0.4358974358974359,None,926.9783607000008,None,926.9783607000008,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
39,0,39,0,,,,,,,,,,2,1.0,3.0,r,27.0,1.0,4.7533305109883095,1.52290599571961,None,928.7858246000014,None,930.2870913300005,930.2870913300005,930.3037146300005,None,[],"['b', 'r', 'r']","[0.673558000000412, 1.8149962999996205, 2.3186199000010674]",932.2934948000002,None,b,2.673558000000412,0,0,0.425,None,937.0490602000009,None,937.0490602000009,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
40,0,40,0,,,,,,,,,,1,1.0,0.0,r,63.0,1.0,3.68371079902891,1.90743690794447,None,938.8525635000005,None,940.7366317300014,940.7366317300014,940.7533858300005,None,[],['r'],[0.772913899998457],942.7423405999998,None,r,2.772913899998457,1,1,0.43902439024390244,None,946.4202332000004,None,946.4202332000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
41,0,41,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,2.526044641065533,1.43470440954152,None,948.220378,None,949.6369343300005,949.6369343300005,949.6533618300011,None,[],None,,951.6367618000004,None,None,[],0,3,0.42857142857142855,None,954.1689676000005,['r'],954.1689676000005,None,,,[0.02970169999935024],,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
42,0,42,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.7500315165247198,1.78643585472448,None,955.9700881000008,None,957.7368127300008,957.7368127300008,957.7533997300009,None,[],['b'],[0.6920415999993565],959.7427162000004,None,b,2.6920415999993565,1,1,0.4418604651162791,None,963.4953258000005,None,963.4953258000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
43,0,43,0,,,,,,,,,,0,0.0,1.0,r,63.0,1.0,2.342239579230602,1.27538462653558,None,965.3037863999998,None,966.5534007300005,966.5534007300005,966.5700748299998,None,[],['r'],[0.045201799999631476],968.5604378000007,None,r,2.0452017999996315,1,1,0.45454545454545453,None,970.9066217,None,970.9066217,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,972.7202726000014,None,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.7035776000012,None,None,977.7035776000012,982.6867017000004,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,b,easy,"[0, 1, 2, 3]","[1, 0, 3, 2]",0.45454545454545453,0.45454545454545453,0.36363636363636365,0.5454545454545454,18,4,22,,,,,,,,,,,,
