trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,625.1258275,None,t,72.28510389999974,625.1258275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
,,,,,,,,,,None,697.4340010000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
0,0,0,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,3.26539063535182,1.43470440954152,None,697.6336147000002,None,699.04995314,699.04995314,699.0665526399997,None,[],['z'],[0.03584159999991243],701.0543981000001,None,z,2.0358415999999124,0,0,0.0,None,704.3394150000004,None,704.3394150000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.6391747348430608,2.09887870490381,None,706.1497301999998,None,708.2331796400002,708.2331796400002,708.2503440400004,b,['b'],None,,710.2776899999999,None,b,1.969609899999341,1,1,0.5,None,712.9265882999998,None,712.9265882999998,None,1.969609899999341,[1.969609899999341],,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,4.53337421950507,0.80788063606262,None,714.7335782999999,None,715.5167247400003,715.5167247400003,715.53336174,None,[],['z'],[0.35256200000003446],717.5219882000001,None,z,2.3525620000000345,1,1,0.6666666666666666,None,722.0491035000005,None,722.0491035000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
3,0,3,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.342239579230602,2.40378712856304,None,723.8500936999999,None,726.2332527400002,726.2332527400002,726.2505714400003,None,[],['b'],[0.351086600000599],728.2381257000006,None,b,2.351086600000599,0,0,0.5,None,730.6189386000005,None,730.6189386000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
4,0,4,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.91303524001082,1.53243550275999,None,732.4337267999999,None,733.9505337400004,733.9505337400004,733.96702894,None,[],['b'],[0.3880551000002015],735.9540692999999,None,b,2.3880551000002015,1,1,0.6,None,738.8607511999999,None,738.8607511999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
5,0,5,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,4.82531807167306,0.974903167432984,None,740.6668369999998,None,741.6168607400003,741.6168607400003,741.6336340400002,None,[],['z'],[0.47158610000042245],743.6230449000004,None,z,2.4715861000004224,1,1,0.6666666666666666,None,748.4553516000005,None,748.4553516000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.7134565917469198,3.06992456303453,None,750.2672142000001,None,753.3167046400002,753.3167046400002,753.3334726399997,b,['b'],None,,755.3604635000002,None,b,1.7026810999996087,1,1,0.7142857142857143,None,758.0789905000001,None,758.0789905000001,None,1.7026810999996087,[1.7026810999996087],,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
7,0,7,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,4.12485271162806,0.917519910446003,None,759.8837357000002,None,760.7838348399999,760.7838348399999,760.8002895400003,z,['z'],None,,762.8273033000005,None,z,1.9777600000006714,1,1,0.75,None,766.9635421000003,None,766.9635421000003,None,1.9777600000006714,[1.9777600000006714],,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
8,0,8,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,2.294664843639333,2.49839527409216,None,768.7669794000003,None,771.2491253400002,771.2491253400002,771.2657562399999,None,[],['b'],[0.34795409999969706],773.2457033999999,None,b,2.347954099999697,1,1,0.7777777777777778,None,775.5642771000003,None,775.5642771000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,1,6,2,3,23,0.95,2024-11-06_14h55.07.235,MSI_TV_v3,2022.1.1,60.02087526029868,
