trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,46.0997940999996,None,t,59.17006769999989,46.0997940999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
,,,,,,,,,,None,105.29461339999943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
0,0,0,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.342239579230602,2.6299100644723,None,105.49452999999994,None,108.27844929999992,None,108.27844929999992,None,108.27733027999966,None,None,108.27844929999992,None,['b'],[0.5169593000000532],110.12754359999963,None,b,2.516959300000053,1,1,1.0,112.47135040000012,None,None,112.47135040000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.40017271499661,2.78346932462847,None,114.27791919999981,None,117.11171099999956,None,117.11171099999956,None,117.1106949999994,None,['b'],117.11171099999956,None,None,,119.08011019999958,None,b,1.827792099999897,1,1,1.0,123.48563029999968,None,None,123.48563029999968,None,[1.827792099999897],,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,4.46924002178158,3.4543169006169,None,125.29422569999952,None,128.81988339999953,None,128.81988339999953,None,128.8272486599999,None,None,128.81988339999953,None,['z'],[0.34975050000048213],130.74419209999996,None,z,2.349750500000482,1,1,1.0,135.20298339999954,None,None,135.20298339999954,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
3,0,3,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.53337421950507,0.761758675042088,None,137.01101279999966,None,137.77928619999966,None,137.77928619999966,None,137.77666536000015,None,['b'],137.77928619999966,None,None,,139.78457290000006,None,b,1.7884237000007488,0,0,0.75,144.31741369999963,None,None,144.31741369999963,None,[1.7884237000007488],,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
4,0,4,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.433630701072358,1.34668860557497,None,146.12759670000014,None,147.54868149999947,None,147.54868149999947,None,147.54429437999988,None,['b'],147.54868149999947,None,None,,149.49311789999956,None,b,1.8847100000002683,1,1,0.8,151.93496139999934,None,None,151.93496139999934,None,[1.8847100000002683],,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
5,0,5,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,4.61004669244928,3.06992456303453,None,153.74426589999985,None,156.83166960000017,None,156.83166960000017,None,156.84411532000013,None,None,156.83166960000017,None,"['z', 'b']","[0.08697530000063125, 1.3189867000000959]",158.81090179999956,None,z,2.0869753000006313,1,1,0.8333333333333334,163.41183499999988,None,None,163.41183499999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.11514536789087,1.90743690794447,None,165.2109707999998,None,167.13357050000013,None,167.13357050000013,None,167.14415431999987,None,['z'],167.13357050000013,None,None,,169.12609749999956,None,z,1.9047230000005584,0,0,0.7142857142857143,173.24989109999933,None,None,173.24989109999933,None,[1.9047230000005584],,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
7,0,7,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,3.02234236141277,0.979776149765883,None,175.06083219999982,None,176.0461323999998,None,176.0461323999998,None,176.04390065999996,None,None,176.0461323999998,None,['b'],[0.559768900000563],178.04433410000001,None,b,2.559768900000563,0,0,0.625,181.05688120000013,None,['z'],181.05688120000013,None,,[1.469327599999815],,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
8,0,8,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,3.71372710086949,1.94858485820231,None,182.86100459999943,None,184.83697709999979,None,184.83697709999979,None,184.84425241999998,None,['b'],184.83697709999979,None,None,,186.8296451999995,None,b,1.6724486000002798,1,1,0.6666666666666666,190.5518648999996,None,None,190.5518648999996,None,[1.6724486000002798],,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
9,0,9,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,4.77723667052879,2.15533949826702,None,192.3613805999994,None,194.53663890000007,None,194.53663890000007,None,194.54469582000002,None,None,194.53663890000007,None,['z'],[0.9776944000004733],196.51025769999978,None,z,2.9776944000004733,1,1,0.7,201.2766144999996,None,None,201.2766144999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
10,0,10,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.31929419319838,1.53243550275999,None,203.0782253999996,None,204.6345193999996,None,204.6345193999996,None,204.64441331999933,None,None,204.6345193999996,None,"['z', 'b']","[1.4957649000007223, 1.5476092000008066]",206.6114877,None,z,3.4957649000007223,1,1,0.7272727272727273,209.91817600000013,None,None,209.91817600000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
11,0,11,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,3.3728785608729996,3.40155979865722,None,211.7276936999997,None,215.14907959999982,None,215.14907959999982,None,215.16117971999938,None,None,215.14907959999982,None,['b'],[0.32929349999994884],217.12745769999947,None,b,2.329293499999949,1,1,0.75,220.48219759999938,None,None,220.48219759999938,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
12,0,12,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.77034425507967,1.12425433982333,None,222.29400050000004,None,223.4309205999998,None,223.4309205999998,None,223.42779163999967,None,None,223.4309205999998,None,"['b', 'z']","[1.5013803000001644, 2.4434760000003735]",225.41130710000016,None,b,3.5013803000001644,0,0,0.6923076923076923,230.1675365000001,None,None,230.1675365000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
13,0,13,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,2.792365600763554,2.10421507306074,None,231.97788499999933,None,234.09812609999972,None,234.09812609999972,None,234.11096292000002,None,None,234.09812609999972,None,['b'],[1.252125199999682],236.07788319999963,None,b,3.252125199999682,1,1,0.7142857142857143,238.86382150000009,None,None,238.86382150000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
14,0,14,0,,,,,,,,,,3,0.0,3.0,b,9.0,1.0,2.91303524001082,3.1424449555106,None,240.67807269999957,None,243.83101089999946,None,243.83101089999946,None,243.82775493999998,None,None,243.83101089999946,None,['b'],[0.42941870000049676],245.8112390999995,None,b,2.4294187000004968,1,1,0.7333333333333333,248.70373680000012,None,None,248.70373680000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
15,0,15,0,,,,,,,,,,2,0.0,1.0,z,63.0,0.0,2.592312596923728,1.95130344756745,None,250.51061969999955,None,252.48512859999937,None,252.48512859999937,None,252.49470422000013,None,['z'],252.48512859999937,None,None,,254.48239120000017,None,z,1.7324287000001277,1,0,0.75,257.0843109999996,None,['b'],257.0843109999996,None,[1.7324287000001277],[1.1790740000005826],,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
16,0,16,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,3.7500315165247198,1.64421109900286,None,258.8946356999995,None,260.5271667999996,None,260.5271667999996,None,260.5271205600002,None,None,260.5271667999996,None,"['b', 'z']","[0.7484307000004264, 2.2165723000007347]",262.5114133999996,None,b,2.7484307000004264,0,0,0.7058823529411765,266.2504388999996,None,None,266.2504388999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
17,0,17,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.6438386551209,1.18065738546375,None,268.06133169999976,None,269.2663969000005,None,269.2663969000005,None,269.2778411199997,None,None,269.2663969000005,None,['z'],[0.5021438000012495],271.24487659999977,None,z,2.5021438000012495,1,1,0.7222222222222222,274.8783561,None,None,274.8783561,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
18,0,18,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.73326136168326,0.952147612306987,None,276.6782368000004,None,277.6510638999989,None,277.6510638999989,None,277.66166471999895,None,None,277.6510638999989,None,['z'],[1.6672683000006145],279.6284660000001,None,z,3.6672683000006145,0,0,0.6842105263157895,283.3442006000005,None,None,283.3442006000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
19,0,19,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,3.76873691643126,0.974903167432984,None,285.14471009999943,None,286.11095509999905,None,286.11095509999905,None,286.1107457599992,None,None,286.11095509999905,None,"['z', 'b']","[0.148514300001807, 1.0784618000006958]",288.09530859999904,None,z,2.148514300001807,0,0,0.65,291.8544870000005,None,None,291.8544870000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
20,0,20,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,4.12485271162806,1.36309078069689,None,293.661664199999,None,295.0525617000003,None,295.0525617000003,None,295.06139081999936,None,None,295.0525617000003,None,['z'],[1.0857685000000856],297.02803180000046,None,z,3.0857685000000856,1,1,0.6666666666666666,301.1439012999999,None,None,301.1439012999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
21,0,21,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.526044641065533,2.09887870490381,None,302.9447719,None,305.07271949999995,None,305.07271949999995,None,305.0778678200004,None,None,305.07271949999995,None,['b'],[1.1471380000011777],307.0445633999989,None,b,3.1471380000011777,0,0,0.6363636363636364,309.5537337000005,None,None,309.5537337000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
22,0,22,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.82531807167306,0.77703640172831,None,311.3613466000006,None,312.1306697,None,312.1306697,None,312.14361803999964,None,None,312.1306697,None,"['b', 'z']","[0.6555806000005759, 0.6924424000017098]",314.1112293999995,None,b,2.655580600000576,1,1,0.6521739130434783,318.9220284000003,None,None,318.9220284000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
23,0,23,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.52047235037039,2.40378712856304,None,320.72794969999995,None,323.14808260000063,None,323.14808260000063,None,323.14512214000024,None,None,323.14808260000063,None,['b'],[2.7764988999997513],325.1281452000003,None,b,4.776498899999751,0,0,0.625,329.63255149999895,None,None,329.63255149999895,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
24,0,24,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,3.35133458220192,1.38289892513751,None,331.4449093000003,None,332.85017609999886,None,332.85017609999886,None,332.8613610199991,None,None,332.85017609999886,None,"['b', 'z']","[2.090028600000551, 2.116435500000989]",334.82749390000026,None,b,4.090028600000551,1,1,0.64,338.17150369999945,None,None,338.17150369999945,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,2,6,3,3,23,0.95,2023-07-05_15h12.04.977,MSI_AV_v3,2022.1.1,60.03705487012041,
