trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,3,2,3,b,63,1,2.526044641065533,0.77703640172831,None,402.96234259999983,None,403.7537661000006,None,403.7537661000006,None,403.76233390000056,None,None,403.7537661000006,None,['b'],[0.01124589999926684],405.7284651000009,None,b,2.011245899999267,1,1,0.6363636363636364,408.2328026000014,None,None,408.2328026000014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
11,0,11,0,,,,,,,,,,0,0,1,z,63,1,2.517541937862754,0.917519910446003,None,410.04560839999976,None,410.96430920000057,None,410.96430920000057,None,410.9616878999998,None,None,410.96430920000057,None,"['z', 'b', 'b']","[0.6343736999988323, 1.0116018999997323, 2.412226799999189]",412.94572020000123,None,z,2.6343736999988323,1,1,0.6666666666666666,415.44800620000024,None,None,415.44800620000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
12,0,12,0,,,,,,,,,,1,2,3,z,63,1,2.294664843639333,1.95130344756745,None,417.2626686000003,None,419.23647580000033,None,419.23647580000033,None,419.2461888000002,None,['z'],419.23647580000033,None,None,,421.23317190000125,None,z,1.3362238999998226,1,1,0.6923076923076923,423.53516300000047,None,None,423.53516300000047,None,[1.3362238999998226],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
13,0,13,0,,,,,,,,,,3,2,3,b,63,1,2.792365600763554,1.25817747924478,None,425.3460262000008,None,426.60649490000105,None,426.60649490000105,None,426.61154660000085,None,['b'],426.60649490000105,None,None,,428.6024871999998,None,b,1.7516162000010809,1,1,0.7142857142857143,431.3864577000004,None,None,431.3864577000004,None,[1.7516162000010809],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
14,0,14,0,,,,,,,,,,0,3,1,z,27,1,4.61004669244928,3.40155979865722,None,433.19610620000094,None,436.60269880000124,None,436.60269880000124,None,436.6116660000005,None,['z'],436.60269880000124,None,None,,438.5940105999998,None,z,1.6703416000000288,1,1,0.7333333333333333,443.20264660000066,None,None,443.20264660000066,None,[1.6703416000000288],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
15,0,15,0,,,,,,,,,,2,0,3,b,9,1,4.12485271162806,1.34668860557497,None,445.01280620000034,None,446.3869973000001,None,446.3869973000001,None,446.3960836999999,None,None,446.3869973000001,None,['b'],[1.134761500001332],448.3627890000007,None,b,3.134761500001332,1,1,0.75,452.4727077000007,None,None,452.4727077000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
16,0,16,0,,,,,,,,,,1,2,3,z,63,1,3.73326136168326,2.49839527409216,None,454.2792934000008,None,456.8037781000003,None,456.8037781000003,None,456.81250270000095,None,['z'],456.8037781000003,None,None,,458.79897020000135,None,z,1.299143099999128,1,1,0.7647058823529411,462.53551830000106,None,None,462.53551830000106,None,[1.299143099999128],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
17,0,17,0,,,,,,,,,,3,0,2,z,27,1,2.342239579230602,0.761758675042088,None,464.34603120000065,None,465.1122862000011,None,465.1122862000011,None,465.11226809999954,None,None,465.1122862000011,None,"['z', 'b']","[1.0424505999999383, 2.0638976999998704]",467.0959569000006,None,z,3.0424505999999383,1,1,0.7777777777777778,469.43633840000075,None,None,469.43633840000075,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
18,0,18,0,,,,,,,,,,2,0,1,b,63,1,3.68371079902891,1.43470440954152,None,471.24607769999966,None,472.70434300000124,None,472.70434300000124,None,472.71258060000076,None,['z'],472.70434300000124,None,['b'],[1.3132869999990362],474.69832230000065,None,z,1.799478499999168,0,0,0.7368421052631579,478.3837596000012,None,None,478.3837596000012,None,[1.799478499999168],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
19,0,19,0,,,,,,,,,,0,1,0,b,63,0,4.46924002178158,0.952147612306987,None,480.1961744,None,481.1696047000005,None,481.1696047000005,None,481.17937000000023,None,['b'],481.1696047000005,None,None,,483.16085420000127,None,b,1.4566305999996985,1,0,0.75,487.6330435,None,None,487.6330435,None,[1.4566305999996985],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
20,0,20,0,,,,,,,,,,1,3,1,b,27,1,4.77034425507967,1.27538462653558,None,489.44621630000074,None,490.7361043000001,None,490.7361043000001,None,490.7459356999993,None,['b'],490.7361043000001,None,None,,492.7297030000009,None,b,1.6095138000000588,1,1,0.7619047619047619,497.50238530000024,None,None,497.50238530000024,None,[1.6095138000000588],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
21,0,21,0,,,,,,,,,,3,3,2,z,63,1,3.31929419319838,1.25920145784721,None,499.3128482000011,None,500.5850413999997,None,500.5850413999997,None,500.5963648000001,None,['z'],500.5850413999997,None,None,,502.5770585999999,None,z,1.4599301999987802,1,1,0.7727272727272727,505.9027179000004,None,None,505.9027179000004,None,[1.4599301999987802],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
22,0,22,0,,,,,,,,,,0,0,1,z,63,1,2.2759877950103027,3.1424449555106,None,507.712485,None,510.8694300999996,None,510.8694300999996,None,510.88013089999953,None,['b'],510.8694300999996,None,"['z', 'z', 'z']","[0.17043849999936356, 1.2150960999988456, 1.921236799998951]",512.8597437999997,None,b,1.92474779999975,0,0,0.7391304347826086,515.1345706000011,None,"['z', 'z']",515.1345706000011,None,[1.92474779999975],"[0.3418739999997342, 1.1506922999997187]",,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
23,0,23,0,,,,,,,,,,2,0,2,b,27,1,4.53337421950507,2.09887870490381,None,516.9461239000011,None,519.0713274999998,None,519.0713274999998,None,519.0798350000008,None,['z'],519.0713274999998,None,None,,521.0598446000004,None,z,1.9369848999995156,0,0,0.7083333333333334,525.6009301000013,None,None,525.6009301000013,None,[1.9369848999995156],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
