trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.517541937862754,1.64421109900286,None,195.33295099999987,None,196.98784190000015,None,196.98784190000015,None,196.9998236399999,None,None,196.98784190000015,None,['b'],198.9665215,None,b,2.9743564000000333,0,0,0.38461538461538464,201.47104500000023,None,None,201.47104500000023,None,[0.9743564000000333],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
13,0,13,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.72585056748869,1.53122835510861,None,203.28212750000012,None,204.82369900000003,None,204.82369900000003,None,204.8330781400002,None,None,204.82369900000003,None,['z'],206.7997424,None,z,2.321204100000159,0,0,0.35714285714285715,211.52053119999982,None,None,211.52053119999982,None,[0.3212041000001591],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
14,0,14,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.666404967794728,1.38289892513751,None,213.33304700000008,None,214.73725130000003,None,214.73725130000003,None,214.73300478000047,None,['b'],214.73725130000003,None,None,216.73417640000025,None,b,0.36763550000023315,0,0,0.3333333333333333,219.40465640000002,None,None,219.40465640000002,None,,[0.36763550000023315],,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
15,0,15,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.6438386551209,1.12425433982333,None,221.2157172999996,None,222.35393720000047,None,222.35393720000047,None,222.36635383999985,None,None,222.35393720000047,None,['z'],224.33307090000017,None,z,3.092567400000462,0,0,0.3125,227.9886789000002,None,None,227.9886789000002,None,[1.092567400000462],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
16,0,16,0,,,,,,,,,,2,0.0,3.0,b,9.0,1.0,4.77034425507967,1.36309078069689,None,229.7832580000004,None,231.17534960000012,None,231.17534960000012,None,231.18319663999975,None,None,231.17534960000012,None,['b'],233.14969680000013,None,b,2.5850376000003052,1,1,0.35294117647058826,237.90430680000009,None,None,237.90430680000009,None,[0.5850376000003052],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
17,0,17,0,,,,,,,,,,3,2.0,3.0,b,63.0,0.0,4.52047235037039,2.22427187882546,None,239.71675049999976,None,241.93646929999977,None,241.93646929999977,None,241.93284712000025,None,None,241.93646929999977,None,['b'],243.91652309999972,None,b,4.05260970000063,1,0,0.3888888888888889,248.42145840000012,None,None,248.42145840000012,None,[2.0526097000006303],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
18,0,18,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.73326136168326,1.95130344756745,None,250.23318329999984,None,252.18327580000005,None,252.18327580000005,None,252.18269672000008,None,None,252.18327580000005,None,['b'],254.18318929999987,None,b,3.0408879999999954,0,0,0.3684210526315789,257.90153269999973,None,None,257.90153269999973,None,[1.0408879999999954],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
19,0,19,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.01714354611405,3.1424449555106,None,259.71611719999964,None,262.8710822000003,None,262.8710822000003,None,262.88322564000026,None,['b'],262.8710822000003,None,None,264.86929560000044,None,b,1.7029499000004762,1,1,0.4,268.8904558000004,None,None,268.8904558000004,None,,[1.7029499000004762],,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
20,0,20,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,3.3728785608729996,3.24569326556923,None,270.70033010000043,None,273.9552523000002,None,273.9552523000002,None,273.96687474000026,None,None,273.9552523000002,None,['z'],275.9334104999998,None,z,2.813224499999251,1,1,0.42857142857142855,279.2979839999998,None,None,279.2979839999998,None,[0.8132244999992508],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
21,0,21,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.92731383428727,1.27538462653558,None,281.1000750000003,None,282.38750040000014,None,282.38750040000014,None,282.38395188000044,None,None,282.38750040000014,None,['z'],284.36646159999964,None,z,3.339184899999509,0,0,0.4090909090909091,287.2863175000002,None,None,287.2863175000002,None,[1.339184899999509],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
22,0,22,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.342239579230602,1.43470440954152,None,289.10000690000015,None,290.5324945000002,None,290.5324945000002,None,290.5321581200002,None,None,290.5324945000002,None,['z'],292.51696170000014,None,z,2.4810543999997208,0,0,0.391304347826087,294.84576819999984,None,None,294.84576819999984,None,[0.48105439999972077],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
23,0,23,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.82531807167306,1.60731937853708,None,296.64997500000027,None,298.27360279999994,None,298.27360279999994,None,298.2831615400002,None,None,298.27360279999994,None,['b'],300.24990979999984,None,b,4.525541100000282,0,0,0.375,305.05813209999997,None,None,305.05813209999997,None,[2.5255411000002823],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
24,0,24,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,4.12485271162806,0.979776149765883,None,306.8665853000002,None,307.85388109999985,None,307.85388109999985,None,307.8666452400004,None,None,307.85388109999985,None,['z'],309.8332700000001,None,z,2.612797700000101,0,0,0.36,313.9469595999999,None,None,313.9469595999999,None,[0.612797700000101],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
25,0,25,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.31929419319838,1.78643585472448,None,315.7498738000004,None,317.5549463999996,None,317.5549463999996,None,317.5666786399999,None,None,317.5549463999996,None,['z'],319.533821,None,z,3.442896799999744,0,0,0.34615384615384615,322.8470132000002,None,None,322.8470132000002,None,[1.442896799999744],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
26,0,26,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.678526077912375,0.952147612306987,None,324.65007870000045,None,325.6211437000002,None,325.6211437000002,None,325.63339743999967,None,None,325.6211437000002,None,['b'],327.5999904,None,b,3.4916675999998006,0,0,0.3333333333333333,330.2725972999997,None,None,330.2725972999997,None,[1.4916675999998006],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
