trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_4.rt;allKeys.rt;response_5.keys;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_5.rt;keys_3.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
10;0;10;0;;;;;;;;;;1;2;3;b;63;1;4.190022164;1.951303448;None;171.1765272;None;173.1097049;173.1097049;173.1264025;None;[];;;['z'];175.1127239;None;z;3.0427023;0;0;0.454545455;None;179.3055271;None;179.3055271;None;[1.0427022999992914];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
11;0;11;0;;;;;;;;;;0;0;1;z;63;1;4.400172715;1.532435503;None;181.1097221;None;182.6265395;182.6265395;182.6431426;None;[];;;['z'];184.6246441;None;z;2.5909941;1;1;0.5;None;189.0443353;None;189.0443353;None;[0.5909940999990795];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
12;0;12;0;;;;;;;;;;2;2;3;z;63;1;4.115145368;1.644211099;None;190.8600655;None;192.4758972;192.4758972;192.4923867;None;[];;;['b'];194.4705876;None;b;2.4005722;0;0;0.461538462;None;198.5905254;None;198.5905254;None;[0.4005722000001697];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
13;0;13;0;;;;;;;;;;1;2;3;b;63;1;4.777236671;3.454316901;None;200.3924429;None;203.8268114;203.8268114;203.8434192;None;[];;;['b'];205.8283985;None;b;3.7807509;1;1;0.5;None;210.6030889;None;210.6030889;None;[1.7807508999994752];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
14;0;14;0;;;;;;;;;;0;3;1;z;27;1;2.433630701;1.259201458;None;212.4097071;None;213.6433996;213.6433996;213.6598018;None;[];;;['z'];215.6417398;None;z;3.5569678;1;1;0.533333333;None;218.0845508;None;218.0845508;None;[1.5569677999992564];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
15;0;15;0;;;;;;;;;;3;0;3;b;9;1;4.725850567;3.142444956;None;219.8935216;None;223.0097728;223.0097728;223.0260415;None;[];;;['b'];225.0036292;None;b;2.8166803;1;1;0.5625;None;229.7202511;None;229.7202511;None;[0.8166802999985521];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
16;0;16;0;;;;;;;;;;2;2;3;z;63;1;2.713456592;1.180657385;None;231.5265865;None;232.6936256;232.6936256;232.7100874;None;[];;;['b', 'z'];234.6957192;None;b;2.2796864;0;0;0.529411765;None;237.4196729;None;237.4196729;None;[0.2796863999992638, 1.185152800000651];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
17;0;17;0;;;;;;;;;;1;0;2;z;27;1;3.768736916;1.907436908;None;239.2266825;None;241.1091211;241.1091211;241.1261155;None;[];;;['z'];243.1048694;None;z;2.8807155;1;1;0.555555556;None;246.8721395;None;246.8721395;None;[0.8807154999976774];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
18;0;18;0;;;;;;;;;;3;0;1;b;63;1;2.823204082;0.974903167;None;248.6758947;None;249.6269252;249.6269252;249.6435555;None;[];;;['b'];251.6448606;None;b;2.8169973;1;1;0.578947368;None;254.454452;None;254.454452;None;[0.8169972999985475];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
19;0;19;0;;;;;;;;;;0;1;0;b;63;0;4.017143546;2.966530537;None;256.2599952;None;259.2096089;259.2096089;259.2258262;b;['b'];1.3914311;[1.3914311000007729];None;261.2565339;None;b;1.3914311;1;0;0.6;None;265.2865524;None;265.2865524;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
