ID;EPIfilename;run;logfile;session;modality;stimType;version
CBC_1008;mr5238_cbc_1008_20230618_173400_13_1_epi_msi_av_44slices_v3.nii;20230618_173400_13_1;CBC_1008_MSI_AV_v3_Vset1_Aset3_2023-06-18_17h27.44.269.csv;4;av;env;v3
CBC_1009;mr5237_cbc_1009_20230618_144810_5_1_epi_msi_av_44slices_v3.nii;20230618_144810_5_1;CBC_1009_MSI_AV_v3_Vset3_Aset3_2023-06-18_14h41.39.214.csv;1;av;env;v3
CBC_1009;mr5237_cbc_1009_20230618_161939_9_1_epi_msi_tv_44slices_v3.nii;20230618_161939_9_1;CBC_1009_MSI_TV_v3_Vset6_Tset3_2023-06-18_16h12.59.856.csv;2;tv;vib;v3
CBC_1009;mr5237_cbc_1009_20230618_162855_10_1_epi_msi_av_44slices_v3.nii;20230618_162855_10_1;CBC_1009_MSI_AV_v3_Vset5_Aset2_2023-06-18_16h22.35.311.csv;3;av;env;v3
CBC_1009;mr5237_cbc_1009_20230618_170604_15_1_epi_msi_tv_44slices_v3.nii;20230618_170604_15_1;CBC_1009_MSI_TV_v3_Vset2_Tset2_2023-06-18_16h59.29.656.csv;4;tv;vib;v3
CBC_1010;mr5462_cbc_1010_20240320_151753_3_1_epi_msi_tv_44slices_v3.nii;20240320_151753_3_1;CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv;1;tv;vib;v3
CBC_1010;mr5462_cbc_1010_20240320_152635_4_1_epi_msi_av_44slices_v3.nii;20240320_152635_4_1;CBC_1010_MSI_AV_v3_Vset5_Aset6_2024-03-20_15h18.38.614.csv;2;av;syll;v3
CBC_1010;mr5462_cbc_1010_20240320_163651_9_1_epi_msi_av_44slices_v3.nii;20240320_163651_9_1;CBC_1010_MSI_AV_v3_Vset4_Aset1_2024-03-20_16h28.37.956.csv;3;av;env;v3
CBC_1011;mr5463_cbc_1011_20240320_142820_3_1_epi_msi_av_44slices_v3.nii;20240320_142820_3_1;CBC_1011_MSI_AV_v3_Vset1_Aset5_2024-03-20_14h20.09.029.csv;1;av;syll;v3
CBC_1011;mr5463_cbc_1011_20240320_143654_4_1_epi_msi_tv_44slices_v3.nii;20240320_143654_4_1;CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv;2;tv;vib;v3
CBC_1011;mr5463_cbc_1011_20240320_160134_9_1_epi_msi_av_44slices_v3.nii;20240320_160134_9_1;CBC_1011_MSI_AV_v3_Vset3_Aset2_2024-03-20_15h53.25.911.csv;3;av;env;v3
