trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.47574760000134,None,t,56.849618199998076,28.47574760000134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
,,,,,,,,,,None,85.35253900000316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
0,0,0,0,,,,,,,,,,1,1,0,z,63,1,3.3728785608729996,1.53122835510861,None,85.55244870000024,None,87.23307200000272,None,87.23307200000272,None,87.23584648000106,None,None,87.23307200000272,None,['z'],[0.17660109999997076],89.0857066000026,None,z,2.1766010999999708,1,1,1.0,92.4661021000029,None,None,92.4661021000029,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,4.40017271499661,2.22427187882546,None,94.26904860000286,None,96.55578610000157,None,96.55578610000157,None,96.55226878000322,None,['z'],96.55578610000157,None,None,,98.50599610000063,None,z,1.357076500000403,0,0,0.5,102.9089120000026,None,None,102.9089120000026,None,[1.357076500000403],,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
2,0,2,0,,,,,,,,,,2,2,0,b,27,1,2.2759877950103027,1.21250262048173,None,104.71915910000098,None,105.95732860000135,None,105.95732860000135,None,105.9524012200025,None,None,105.95732860000135,None,['b'],[1.0771085000014864],107.91921880000154,None,b,3.0771085000014864,1,1,0.6666666666666666,110.18300340000133,None,None,110.18300340000133,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
3,0,3,0,,,,,,,,,,1,1,0,z,63,1,3.71372710086949,3.24569326556923,None,111.98561770000015,None,115.24106400000164,None,115.24106400000164,None,115.25239521999974,None,['b'],115.24106400000164,None,None,,117.23833400000149,None,b,1.2102099999974598,0,0,0.5,120.95924090000335,None,None,120.95924090000335,None,[1.2102099999974598],,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
4,0,4,0,,,,,,,,,,0,3,1,z,27,1,2.92731383428727,0.979776149765883,None,122.76925180000035,None,123.79496400000062,None,123.79496400000062,None,123.8022508000031,None,None,123.79496400000062,None,['b'],[0.30048379999789177],125.75249740000072,None,b,2.3004837999978918,0,0,0.4,128.67145359999995,None,None,128.67145359999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
5,0,5,0,,,,,,,,,,2,2,3,b,63,1,2.526044641065533,3.40155979865722,None,130.48599060000197,None,133.9095617000021,None,133.9095617000021,None,133.91912392000157,None,None,133.9095617000021,None,['z'],[0.8691363999969326],135.88602670000182,None,z,2.8691363999969326,0,0,0.3333333333333333,138.40278560000297,None,None,138.40278560000297,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
6,0,6,0,,,,,,,,,,3,2,3,z,63,1,3.2062024266105302,2.09887870490381,None,140.20252919999984,None,142.31973950000247,None,142.31973950000247,None,142.31924114000284,None,None,142.31973950000247,None,['b'],[0.8722800999967149],144.30264739999984,None,b,2.872280099996715,0,0,0.2857142857142857,147.50075990000187,None,None,147.50075990000187,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
7,0,7,0,,,,,,,,,,0,1,0,b,63,1,3.26539063535182,1.18065738546375,None,149.3024256000026,None,150.51031650000004,None,150.51031650000004,None,150.51934322000014,None,None,150.51031650000004,None,None,,152.48559360000218,None,[],[],0,3,0.25,155.74245730000257,None,None,155.74245730000257,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
8,0,8,0,,,,,,,,,,1,0,2,b,27,1,4.12485271162806,1.1243895841892,None,157.55261900000187,None,158.68561820000104,None,158.68561820000104,None,158.68590074000312,None,None,158.68561820000104,None,['z'],[1.0924280999970506],160.66896110000016,None,z,3.0924280999970506,0,0,0.2222222222222222,164.77440240000215,None,None,164.77440240000215,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
9,0,9,0,,,,,,,,,,3,0,3,z,9,1,2.517541937862754,1.52290599571961,None,166.5859984000017,None,168.12321350000275,None,168.12321350000275,None,168.1193112400011,None,None,168.12321350000275,None,['z'],[0.7331949999970675],170.10209470000336,None,z,2.7331949999970675,1,1,0.3,172.59999600000083,None,None,172.59999600000083,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
10,0,10,0,,,,,,,,,,2,3,2,z,63,1,4.190022164497369,1.27538462653558,None,174.4027554000022,None,175.68396340000254,None,175.68396340000254,None,175.68564144000047,None,None,175.68396340000254,None,['b'],[0.5783620000001974],177.66928920000282,None,b,2.5783620000001974,0,0,0.2727272727272727,181.85078140000041,None,None,181.85078140000041,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
11,0,11,0,,,,,,,,,,0,1,0,b,63,1,4.82531807167306,1.60731937853708,None,183.6517770999999,None,185.27353580000272,None,185.27353580000272,None,185.2695860400032,None,['z'],185.27353580000272,None,None,,187.26591050000206,None,z,1.9191893999995955,0,0,0.25,192.09213720000116,None,None,192.09213720000116,None,[1.9191893999995955],,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
12,0,12,0,,,,,,,,,,3,3,2,b,63,1,2.82320408183943,2.15533949826702,None,193.90240430000267,None,196.07581449999998,None,196.07581449999998,None,196.08612512000107,None,None,196.07581449999998,None,['b'],[0.4863093999992998],198.0526983000018,None,b,2.4863093999993,1,1,0.3076923076923077,200.85940670000127,None,None,200.85940670000127,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,002,1,1,6,6,0.95,2024-05-03_16h25.09.705,MSI_AV_v3,2022.1.1,59.99898001786749,
