trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,0,1,3,z,27,1,3.71372710086949,1.36309078069689,None,329.0378586000006,None,330.4232526000005,None,330.4232526000005,None,330.4211489600006,None,None,330.4232526000005,None,['z'],[0.3052361000000019],332.4042430999998,None,z,2.305236100000002,1,1,0.6896551724137931,336.1025135,None,None,336.1025135,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
29,0,29,0,,,,,,,,,,3,1,0,z,63,1,4.40017271499661,1.43470440954152,None,337.9046765000003,None,339.35811939999985,None,339.35811939999985,None,339.35466536000007,None,['b'],339.35811939999985,None,None,,341.3554081000002,None,b,1.7954637999991974,0,0,0.6666666666666666,345.75587780000023,None,None,345.75587780000023,None,[1.7954637999991974],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
30,0,30,0,,,,,,,,,,1,2,0,b,27,1,3.26539063535182,1.94858485820231,None,347.57115859999976,None,349.54381170000033,None,349.54381170000033,None,349.55455207999984,None,None,349.54381170000033,None,['b'],[0.550163099999736],351.5209177000006,None,b,2.550163099999736,1,1,0.6774193548387096,354.7730257000003,None,None,354.7730257000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
31,0,31,0,,,,,,,,,,0,2,3,z,63,1,2.693348633324513,2.96653053743745,None,356.58799309999995,None,359.57610920000025,None,359.57610920000025,None,359.58801458000033,None,['z'],359.57610920000025,None,None,,361.56929020000007,None,z,1.232555699999466,1,1,0.6875,364.2623571000004,None,None,364.2623571000004,None,[1.232555699999466],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
32,0,32,0,,,,,,,,,,2,1,0,b,63,1,2.7134565917469198,1.53243550275999,None,366.0712469,None,367.6238305000006,None,367.6238305000006,None,367.62124866000016,None,['b'],367.6238305000006,None,None,,369.6220325000004,None,b,1.5206019999995988,1,1,0.696969696969697,372.34364860000005,None,None,372.34364860000005,None,[1.5206019999995988],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
33,0,33,0,,,,,,,,,,3,0,1,b,63,1,4.77034425507967,1.21250262048173,None,374.1546917000005,None,375.3739110000006,None,375.3739110000006,None,375.37162175999987,None,['z'],375.3739110000006,None,None,,377.3710615,None,z,1.595824499999253,0,0,0.6764705882352942,382.1452739000006,None,None,382.1452739000006,None,[1.595824499999253],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
34,0,34,0,,,,,,,,,,0,2,3,z,63,0,2.592312596923728,0.80788063606262,None,383.9545998000003,None,384.77040490000036,None,384.77040490000036,None,384.7716497599999,None,['z'],384.77040490000036,None,None,,386.76479160000054,None,z,1.61541059999945,1,0,0.6857142857142857,389.3571327999998,None,None,389.3571327999998,None,[1.61541059999945],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
35,0,35,0,,,,,,,,,,1,2,0,b,27,1,2.666404967794728,1.96568735158996,None,391.1713202000001,None,393.1574553999999,None,393.1574553999999,None,393.1547078600001,None,['b'],393.1574553999999,None,None,,395.1534281000004,None,b,0.729240699998627,1,1,0.6944444444444444,397.82900229999996,None,None,397.82900229999996,None,[0.729240699998627],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
36,0,36,0,,,,,,,,,,3,0,1,b,63,1,2.629554641171433,0.77703640172831,None,399.6384033000004,None,400.42495400000007,None,400.42495400000007,None,400.4214515600001,None,['z'],400.42495400000007,None,None,,402.42418439999983,None,z,1.7569910999991407,0,0,0.6756756756756757,405.0586207000006,None,None,405.0586207000006,None,[1.7569910999991407],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
37,0,37,0,,,,,,,,,,2,1,3,b,27,1,3.35133458220192,3.06992456303453,None,406.8713163000002,None,409.95651009999983,None,409.95651009999983,None,409.9547153600001,None,None,409.95651009999983,None,['b'],[0.15477049999935844],411.93808330000047,None,b,2.1547704999993584,1,1,0.6842105263157895,415.2746167000005,None,None,415.2746167000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
38,0,38,0,,,,,,,,,,1,3,2,z,63,1,3.3728785608729996,1.38289892513751,None,417.0882166000001,None,418.49517449999985,None,418.49517449999985,None,418.5048457800005,None,['z'],418.49517449999985,None,None,,420.4911110000003,None,z,1.476759399999537,1,1,0.6923076923076923,423.87765279999985,None,None,423.87765279999985,None,[1.476759399999537],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
39,0,39,0,,,,,,,,,,0,3,2,b,63,1,3.76873691643126,3.4543169006169,None,425.6885806999999,None,429.1624020999998,None,429.1624020999998,None,429.17165907999987,None,['b'],429.1624020999998,None,None,,431.15431929999977,None,b,1.427192199998899,1,1,0.7,434.9273825,None,None,434.9273825,None,[1.427192199998899],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
40,0,40,0,,,,,,,,,,2,0,1,z,63,1,4.7533305109883095,1.53122835510861,None,436.73819840000033,None,438.29224130000057,None,438.29224130000057,None,438.2883968600003,None,['b'],438.29224130000057,None,None,,440.2903206000001,None,b,1.5899940999997852,0,0,0.6829268292682927,445.0445243000004,None,None,445.0445243000004,None,[1.5899940999997852],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
41,0,41,0,,,,,,,,,,3,2,0,z,27,1,3.02234236141277,2.09887870490381,None,446.8548731000001,None,448.9738593000002,None,448.9738593000002,None,448.97233246000036,None,['z'],448.9738593000002,None,None,,450.96898109999984,None,z,1.2045069999994666,1,1,0.6904761904761905,453.9960617000006,None,None,453.9960617000006,None,[1.2045069999994666],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
42,0,42,0,,,,,,,,,,0,3,0,b,9,1,4.53337421950507,1.52290599571961,None,455.8050209000003,None,457.3412554000006,None,457.3412554000006,None,457.3382688599999,None,None,457.3412554000006,None,['b'],[0.9324329999999463],459.3218174000003,None,b,2.9324329999999463,1,1,0.6976744186046512,463.8413377000006,None,None,463.8413377000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
43,0,43,0,,,,,,,,,,1,3,2,z,63,1,3.31929419319838,3.33124983260532,None,465.65519829999994,None,469.0131213000004,None,469.0131213000004,None,469.0218801800003,None,None,469.0131213000004,None,None,,470.98840759999985,None,[],[],0,3,0.6818181818181818,474.29396350000025,None,None,474.29396350000025,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,476.1052189000002,None,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.1054417000005,None,None,481.1054417000005,None,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[3, 2, 1, 0]",0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,28,1,15,,,,,,,,,,,,
