trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,,,,3,3,2,b,63,1,3.2062024266105302,1.96568735158996,None,618.0454153999999,None,619.9950481599997,619.9950481599997,620.0111628599996,None,[],,,['b'],621.9889531999979,None,b,2.925057899999956,1,1,0.4230769230769231,None,625.1984291999979,None,625.1984291999979,None,[0.9250578999999561],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
26,0,26,0,,,,,,,,,,0,1,0,b,63,1,4.61004669244928,2.6299100644723,None,627.0121596999998,None,629.6288958599987,629.6288958599987,629.6455352599994,None,[],,,['b'],631.632912699999,None,b,2.7279152999981306,1,1,0.4444444444444444,None,636.2505315999988,None,636.2505315999988,None,[0.7279152999981306],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
27,0,27,0,,,,,,,,,,1,2,0,z,27,1,4.190022164497369,1.90743690794447,None,638.0622613999985,None,639.9454617599993,639.9454617599993,639.9623853599994,None,[],,,['z'],641.9478572999978,None,z,3.3877841000030458,1,1,0.4642857142857143,None,646.1408733999997,None,646.1408733999997,None,[1.3877841000030458],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
28,0,28,0,,,,,,,,,,3,3,1,b,27,1,2.294664843639333,0.77703640172831,None,647.9444968999996,None,648.6956936600006,648.6956936600006,648.7126568600004,None,[],,,['b'],650.6984516000011,None,b,2.8742136000000755,1,1,0.4827586206896552,None,652.9866263000004,None,652.9866263000004,None,[0.8742136000000755],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
29,0,29,0,,,,,,,,,,1,0,1,b,63,1,3.7500315165247198,1.52290599571961,None,654.7953697000012,None,656.2955726599982,656.2955726599982,656.3122643600007,None,[],,,['b'],658.2942378000007,None,b,3.3255344000026525,1,1,0.5,None,662.0599543999997,None,662.0599543999997,None,[1.3255344000026525],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
30,0,30,0,,,,,,,,,,2,0,2,z,27,1,2.92731383428727,1.94858485820231,None,663.8623689999986,None,665.7946329599988,665.7946329599988,665.811300260001,None,[],,,"['b', 'z', 'z', 'z', 'z']",667.7924389,None,b,2.8296119000006,0,0,0.4838709677419355,None,670.7104010000003,None,670.7104010000003,None,"[0.8296119000006001, 1.705459200002224, 2.0006161000019347, 2.2559458000032464, 2.725684800003364]",,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,2.592312596923728,1.53122835510861,None,672.5122994000012,None,674.0291207599992,674.0291207599992,674.0456240600004,None,[],,,['b'],676.0266133000005,None,b,2.680750800001988,1,1,0.5,None,678.6279807999999,None,678.6279807999999,None,[0.680750800001988],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
32,0,32,0,,,,,,,,,,0,0,1,z,63,1,2.6391747348430608,1.1243895841892,None,680.429030299998,None,681.528374459999,681.528374459999,681.5450587599996,z,['z'],1.6226925000009942,[1.6226925000009942],None,683.5627277999993,None,z,1.6226925000009942,1,1,0.5151515151515151,None,686.2086726999987,None,686.2086726999987,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
33,0,33,0,,,,,,,,,,1,1,0,z,63,1,3.73326136168326,2.10421507306074,None,688.0122263999983,None,690.0956341600001,690.0956341600001,690.1123440599993,None,[],,,['z'],692.1004313000012,None,z,2.347338399998989,1,1,0.5294117647058824,None,695.8372806999978,None,695.8372806999978,None,[0.3473383999989892],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
34,0,34,0,,,,,,,,,,3,3,2,b,63,0,2.7134565917469198,3.06992456303453,None,697.6458684999998,None,700.6957219600015,700.6957219600015,700.7124403599998,None,[],,,['b'],702.7013541999986,None,b,3.0840247000014642,1,0,0.5428571428571428,None,705.4076544999989,None,705.4076544999989,None,[1.0840247000014642],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
