trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,1,3,2,z,63,1,4.334629553,2.407383959,None,518.414542999999,None,520.7979672599998,520.7979672599998,520.8146862599991,None,[],['z'],[0.16772760000094422],522.8017949000005,None,z,2.167727600000944,1,1,0.8181818181818182,None,527.1535356999993,None,527.1535356999993,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
22,0,22,0,,,,,,,,,,3,0,1,z,63,1,1.3262934849999999,2.684881281,None,529.1644488000002,None,531.8313868600002,531.8313868600002,531.8478096599996,z,['z'],None,,533.8731158999999,None,z,1.510045100001662,1,1,0.8260869565217391,None,535.1931490000006,None,535.1931490000006,None,1.510045100001662,[1.510045100001662],,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
23,0,23,0,,,,,,,,,,0,0,2,b,27,1,4.21669271,1.84422311,None,537.197823999999,None,539.0141417599992,539.0141417599992,539.0309786599995,None,[],['b'],[1.1000693999994837],541.0167552000003,None,b,3.1000693999994837,1,1,0.8333333333333334,None,545.2415457999996,None,545.2415457999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
24,0,24,0,,,,,,,,,,2,3,2,b,63,1,2.949122761,2.935368129,None,547.2477519999993,None,550.1644232599996,550.1644232599996,550.1812350599997,None,[],['b'],[0.6575893999997788],552.1694542000005,None,b,2.657589399999779,1,1,0.84,None,555.1290367999991,None,555.1290367999991,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
25,0,25,0,,,,,,,,,,1,0,2,z,27,1,1.556335756,3.321420384,None,557.1311888,None,560.4312191600005,560.4312191600005,560.4482426599992,None,[],['z'],[0.1569457000005059],562.4358264000002,None,z,2.156945700000506,1,1,0.8461538461538461,None,563.9942807999996,None,563.9942807999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
26,0,26,0,,,,,,,,,,3,0,1,z,63,1,3.884449499,2.210349838,None,565.9981573999994,None,568.1811542599993,568.1811542599993,568.19773346,z,['z'],None,,570.223670899999,None,z,1.5676478999994288,1,1,0.8518518518518519,None,574.0976637000003,None,574.0976637000003,None,1.5676478999994288,[1.5676478999994288],,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
27,0,27,0,,,,,,,,,,0,1,0,z,63,1,2.742099981,2.757001452,None,576.1073455999995,None,578.83132736,578.83132736,578.8480174599994,None,[],['z'],[0.4555266000006668],580.8356029999995,None,z,2.455526600000667,1,1,0.8571428571428571,None,583.5788126000007,None,583.5788126000007,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
28,0,28,0,,,,,,,,,,1,2,3,b,63,1,1.874984683,2.7801224,None,585.5812012999995,None,588.3484278599993,588.3484278599993,588.3647451599994,None,[],['b'],[0.3321360000009008],590.3519161999993,None,b,2.332136000000901,1,1,0.8620689655172413,None,592.2415208000002,None,592.2415208000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
29,0,29,0,,,,,,,,,,2,1,3,z,27,1,1.758742576,2.962224669,None,594.2477710999992,None,597.1816042600007,597.1816042600007,597.1980026599998,None,[],['z'],[0.17157860000043001],599.1841674000007,None,z,2.17157860000043,1,1,0.8666666666666667,None,600.969901299999,None,600.969901299999,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
30,0,30,0,,,,,,,,,,0,0,1,b,63,1,1.887650177,0.971483559,None,602.9816873,None,603.9311740599991,603.9311740599991,603.9479516599989,None,[],['b'],[0.9246734999996988],605.9351289000006,None,b,2.924673499999699,1,1,0.8709677419354839,None,607.8310326999999,None,607.8310326999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
31,0,31,0,,,,,,,,,,2,2,3,z,63,1,1.899747326,2.502774076,None,609.8311152999995,None,612.3143645599997,612.3143645599997,612.33115106,None,[],['z'],[0.015147500000239233],614.3171316999997,None,z,2.0151475000002392,1,1,0.875,None,616.2154283,None,616.2154283,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
32,0,32,0,,,,,,,,,,3,1,2,b,9,1,2.372527466,1.313600181,None,618.2148137000004,None,619.514630959999,619.514630959999,619.5311687599991,b,['b'],None,,621.5556106999993,None,b,1.9882085000008374,1,1,0.8787878787878788,None,623.9255857000007,None,623.9255857000007,None,1.9882085000008374,[1.9882085000008374],,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
33,0,33,0,,,,,,,,,,0,0,1,b,63,1,1.109698721,1.910349838,None,625.9311085999998,None,627.8146139599997,627.8146139599997,627.8314499600004,None,[],None,,629.8169199999993,None,None,[],0,3,0.8529411764705882,None,630.9236108999994,['b'],630.9236108999994,None,,,[0.01831090000086988],,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
34,0,34,0,,,,,,,,,,1,1,2,z,9,1,2.078483356,2.108332021,None,632.9316780999998,None,635.0147077599999,635.0147077599999,635.031285559999,None,[],['z'],[0.008566599999539903],637.0192057999993,None,z,2.00856659999954,1,1,0.8571428571428571,None,639.1105095999992,None,639.1105095999992,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
35,0,35,0,,,,,,,,,,3,0,1,z,63,1,2.0845750460000003,1.53162701,None,641.1146599999993,None,642.6312674599998,642.6312674599998,642.6479342599999,None,[],['z'],[0.20235330000105023],644.6344155000006,None,z,2.2023533000010502,1,1,0.8611111111111112,None,646.717916399999,None,646.717916399999,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
36,0,36,0,,,,,,,,,,0,1,0,z,63,0,3.869831913,1.24796184,None,648.7314098999996,None,649.9647939600003,649.9647939600003,649.9813288600002,z,['z'],None,,652.0064402999997,None,z,1.9692880000020523,1,0,0.8648648648648649,None,655.8738197999992,None,655.8738197999992,None,1.9692880000020523,[1.9692880000020523],,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
37,0,37,0,,,,,,,,,,3,1,0,b,63,1,1.595506577,2.232990834,None,657.8815123999993,None,660.0980344599997,660.0980344599997,660.1145771599989,b,['b'],None,,662.1385000999999,None,b,1.5660232000009273,1,1,0.868421052631579,None,663.7258660000007,None,663.7258660000007,None,1.5660232000009273,[1.5660232000009273],,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
38,0,38,0,,,,,,,,,,2,3,1,b,27,1,2.208904638,1.915207301,None,665.7312741999995,None,667.6313120599992,667.6313120599992,667.6480467599998,b,['b'],None,,669.6724591000002,None,b,1.9683652000003349,1,1,0.8717948717948718,None,671.8759967000005,None,671.8759967000005,None,1.9683652000003349,[1.9683652000003349],,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
39,0,39,0,,,,,,,,,,1,2,3,b,63,1,4.176609572,3.274187802,None,673.8814581999995,None,677.1318094599995,677.1318094599995,677.1481128599993,None,[],['b'],[0.20886940000127652],679.1336510000001,None,b,2.2088694000012765,1,1,0.875,None,683.3051529999993,None,683.3051529999993,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
40,0,40,0,,,,,,,,,,0,2,0,z,27,1,3.501824497,3.388090306,None,685.3150774000005,None,688.6814458600005,688.6814458600005,688.6980285600006,None,[],['z'],[0.2600019000019529],690.6840455999991,None,z,2.260001900001953,1,1,0.8780487804878049,None,694.1951836999997,None,694.1951836999997,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
41,0,41,0,,,,,,,,,,2,3,2,b,63,1,3.956662465,1.554037824,None,696.1982103999999,None,697.7314639599994,697.7314639599994,697.7481762600004,None,[],['b'],[0.15760820000105014],699.7342200000003,None,b,2.15760820000105,1,1,0.8809523809523809,None,703.6895454000005,None,703.6895454000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
42,0,42,0,,,,,,,,,,3,3,1,z,27,1,2.67601813,1.378098418,None,705.6980894999997,None,707.0481843599995,707.0481843599995,707.0652130599996,None,[],['z'],[0.22163330000148562],709.0523118000001,None,z,2.2216333000014856,1,1,0.8837209302325582,None,711.7244924999995,None,711.7244924999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
43,0,43,0,,,,,,,,,,1,2,3,b,63,1,3.589438522,1.483424551,None,713.7316188000004,None,715.1980741600004,715.1980741600004,715.21481446,None,[],['b'],[1.0609238000015466],717.2020209000002,None,b,3.0609238000015466,1,1,0.8863636363636364,None,720.7963811999998,None,720.7963811999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,722.7982642999996,None,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.7815713999989,None,None,727.7815713999989,732.7640073000002,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 3, 1, 2]",0.6363636363636364,1.0,1.0,0.9090909090909091,,,,,,,,,,,,
