trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,291.24694009999985,None,t,48.00282689999949,291.24694009999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
,,,,,,,,,,None,339.2819774999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.77034425507967,1.78643585472448,None,339.4819023,None,341.44203579999976,None,341.44203579999976,None,341.4482636300004,None,None,341.44203579999976,None,['b'],[0.001885499999843887],343.26527519999945,None,b,2.001885499999844,1,1,1.0,348.0331994999997,None,None,348.0331994999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.2062024266105302,0.974903167432984,None,349.8319597999998,None,350.84258469999986,None,350.84258469999986,None,350.84860894999974,None,None,350.84258469999986,None,['z'],[0.15462699999989127],352.79879600000004,None,z,2.1546269999998913,0,0,0.5,355.9863551999997,None,None,355.9863551999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
2,0,2,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,2.342239579230602,1.27538462653558,None,357.7987261999997,None,359.1264246999999,None,359.1264246999999,None,359.1321819599998,None,['z'],359.1264246999999,None,None,,361.0890823999998,None,z,1.5900221000001693,1,1,0.6666666666666666,363.4201879000002,None,None,363.4201879000002,None,[1.5900221000001693],,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
3,0,3,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.12485271162806,0.761758675042088,None,365.23202130000027,None,366.0048635000003,None,366.0048635000003,None,366.0155308399999,None,['z'],366.0048635000003,None,None,,368.00306309999996,None,z,1.782261099999232,1,1,0.75,372.1373986999997,None,None,372.1373986999997,None,[1.782261099999232],,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
4,0,4,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.526044641065533,3.40155979865722,None,373.9487902999999,None,377.42033829999946,None,377.42033829999946,None,377.4317652699997,None,['b'],377.42033829999946,None,None,,379.3621002,None,b,1.5545383999997284,1,1,0.8,381.8871479999998,None,None,381.8871479999998,None,[1.5545383999997284],,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
5,0,5,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.190022164497369,3.06992456303453,None,383.6984954999998,None,386.78555659999984,None,386.78555659999984,None,386.78238273000034,None,None,386.78555659999984,None,['b'],[0.3110069000003932],388.7652900000003,None,b,2.311006900000393,0,0,0.6666666666666666,392.94342140000026,None,None,392.94342140000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
6,0,6,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.11514536789087,3.1424449555106,None,394.74874199999977,None,397.9065926000003,None,397.9065926000003,None,397.9154143400001,None,None,397.9065926000003,None,['z'],[0.4015036999990116],399.88167749999957,None,z,2.4015036999990116,0,0,0.5714285714285714,403.9882941999995,None,None,403.9882941999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
7,0,7,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.7134565917469198,2.6299100644723,None,405.7985450999995,None,408.4358979999997,None,408.4358979999997,None,408.4319734300002,None,None,408.4358979999997,None,['z'],[0.046326699999553966],410.41520799999944,None,z,2.046326699999554,1,1,0.625,413.1250465000003,None,None,413.1250465000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1144,3,6,2,3,1,0.95,2024-10-16_15h00.07.136,MSI_AV_v3,2022.1.1,59.97454680238224,
