ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,rt,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_CBCsimpleRW_CBCdriftDiffusionLR_startBelief,sim_CBCsimpleRW_CBCdriftDiffusionLR_alpha1,sim_CBCsimpleRW_CBCdriftDiffusionLR_nonDecisionTime,sim_CBCsimpleRW_CBCdriftDiffusionLR_weight,sim_CBCsimpleRW_CBCdriftDiffusionLR_startingBoundary,sim_CBCsimpleRW_CBCdriftDiffusionLR_startingPoint,lik,corrLik,fitCBCsimpleRW_CBCdriftDiffusionLR_startBelief,fitCBCsimpleRW_CBCdriftDiffusionLR_alpha1,fitCBCsimpleRW_CBCdriftDiffusionLR_nonDecisionTime,fitCBCsimpleRW_CBCdriftDiffusionLR_weight,fitCBCsimpleRW_CBCdriftDiffusionLR_startingBoundary,fitCBCsimpleRW_CBCdriftDiffusionLR_startingPoint,fit_CBCsimpleRW_CBCdriftDiffusionLR_NLL
179,1,7,D,3,2,a,63,1,0.95,3D,2D,1,0,1,0,D32,3.06951529654088,2.39789527279837,0.5,0.234935155010702,0.234935155010702,0.5,0.5,0.5,0.5,0.5,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.765064844989298,1.51794116908904,1,1,0,3D,2D,0.765064844989298,0.234935155010702,0.765064844989298,0.234935155010702,1,1,0.234935155010702,0.124546100890897,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,1.05947545155824,0.99532462605832,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,8,B,3,1,l,27,1,0.95,3B,1B,0,1,0,1,B31,0.89760695466734,3.13549421592915,0.5,0.234935155010702,0.234935155010702,0.5,0.5,0.5,0.5,0.5,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.889610945880195,1.08394116908904,1,1,0,3B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.265064844989298,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.0670258768521469,0.500755840372156,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,9,D,0,3,l,9,1,0.95,0D,3D,0,1,0,1,D03,1.66913182202995,3.17805383034795,0.5,0.234935155010702,0.234935155010702,0.5,0.5,0.5,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.889610945880195,1.53294116908904,0,0,1,3D,0D,0.889610945880195,0.5,0.64018705992324,0.35981294007676,1,1,0.110389054119805,0.0585205150375628,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.746053867986865,0.944338330806197,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,10,B,1,0,a,63,1,0.95,1B,0B,1,0,1,0,B10,3.08876508293025,3.2188758248682,0.5,0.234935155010702,0.234935155010702,0.5,0.5,0.5,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.948131460917757,2.64594116908904,0,0,1,0B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.265064844989298,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.130396225149261,0.500579944050593,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,11,A,1,0,l,63,1,0.95,1A,0A,0,1,0,1,A10,1.69182069367707,2.56494935746154,0.5,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.5,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.948131460917757,1.98894116908904,0,0,1,0A,1A,0.5,0.234935155010702,0.680332130788762,0.319667869211238,1,1,0.5,0.265064844989298,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.449706727676813,0.97453760935021,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,12,B,0,1,l,63,1,0.95,0B,1B,0,1,0,1,B01,1.44212510249567,3.29583686600433,0.765064844989298,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.5,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.948131460917757,1.63794116908904,0,0,1,1B,0B,0.5,0.234935155010702,0.680332130788762,0.319667869211238,1,1,0.5,0.265064844989298,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.770120918861311,0.974571080758618,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,13,D,2,3,l,63,1,0.95,2D,3D,0,1,0,1,D23,1.33334999245279,2.63905732961526,0.765064844989298,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.765064844989298,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.948131460917757,1.22294116908904,0,0,1,3D,2D,0.948131460917757,0.234935155010702,0.801418490009265,0.198581509990735,1,1,0.0518685390822425,0.0274970525433119,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,1.716291349009,0.997747931445677,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,14,B,1,3,a,27,1,0.95,1B,3B,1,0,1,0,B13,3.3234934676862,3.36729582998647,0.765064844989298,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.765064844989298,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.35794116908904,1,1,0,1B,3B,0.765064844989298,0.234935155010702,0.765064844989298,0.234935155010702,1,1,0.234935155010702,0.124546100890897,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,1.41604835515746,0.995344178869024,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,15,C,3,2,l,63,1,0.95,3C,2C,0,1,0,1,C32,1.63646057636385,3.40119738166216,0.765064844989298,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.765064844989298,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.73194116908904,0,0,1,2C,3C,0.765064844989298,0.5,0.604763343175322,0.395236656824678,1,1,0.234935155010702,0.124546100890897,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.530121110960816,0.892224659813767,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,16,C,2,0,a,27,1,0.95,2C,0C,1,0,1,0,C20,0.413217099106402,2.7408400239252,0.765064844989298,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.889610945880195,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.37694116908904,1,1,0,2C,0C,0.889610945880195,0.234935155010702,0.791084460810828,0.208915539189172,1,1,0.110389054119805,0.0585205150375628,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,1.46188864319784,0.997220423090881,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
