ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_startBelief,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_alpha1,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_nonDecisionTime,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_weight,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_startingBoundary,fitCBCsimpleRW_CBCdriftDiffusionLR_pwBelief_startingPoint,fit_CBCsimpleRW_CBCdriftDiffusionLR_pwBelief_NLL
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,1,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,2.64066569999977,0,1,1,1,1B,0B,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.15180865189802,0.500371645034356,0.5,0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,2,0,1,b,1,0,3,aud,A,63,1,0A,1A,1,0,b,2.80593139999928,1,0,1,1,0A,1A,A01,2.83321334405622,0.5,0.5,0.5,0.5,0.5,0.50355011712681,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.135805529129653,0.501033014524897,0.5,0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,3,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,2.44090119999964,0,1,1,1,3D,2D,D23,2.89037175789616,0.50355011712681,0.5,0.5,0.5,0.5,0.50355011712681,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.174103269408769,0.501175553869686,0.5,0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,4,2,1,z,0,1,1,aud,B,9,1,2B,1B,0,1,z,2.49580539999988,0,1,1,1,1B,2B,B21,2.94443897916644,0.50355011712681,0.5,0.5,0.5,0.5,0.50355011712681,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50355011712681,0.50355011712681,0.49644988287319,0.50355011712681,0.5,0.180845581235624,0.539857640067889,0.49644988287319,0.003524910463582,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,5,0,2,b,1,0,3,aud,A,27,1,0A,2A,1,0,z,2.59885140000006,0,1,0,0,2A,0A,A02,2.99573227355399,0.50355011712681,0.5,0.5,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50355011712681,0.49644988287319,0.50355011712681,0.5,0.50355011712681,0.143281328958852,0.458756118217752,-0.5,-0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,6,2,3,b,1,0,0,aud,C,63,1,2C,3C,1,0,z,2.82655729999897,0,1,0,0,3C,2C,C23,3.04452243772342,0.50355011712681,0.5,0.49644988287319,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50355011712681,0.5,0.5,0.5,0.5,0.133623066442274,0.499975474744132,-0.5,-0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,7,1,3,z,0,1,2,aud,D,27,1,1D,3D,0,1,z,2.48742709999988,0,1,1,1,3D,1D,D13,3.09104245335832,0.50355011712681,0.5,0.49644988287319,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.5,0.49644988287319,0.5,0.5,0.5,0.50355011712681,0.50355011712681,0.49644988287319,0.50355011712681,0.5,0.182159110521773,0.540681708947119,0.49644988287319,0.003524910463582,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,8,1,0,z,0,1,3,aud,A,63,1,1A,0A,0,1,b,2.90029270000014,1,0,0,0,1A,0A,A10,3.13549421592915,0.50355011712681,0.5,0.49644988287319,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.5,0.49644988287319,0.5,0.5,0.5,0.507075027590392,0.49644988287319,0.50355011712681,0.5,0.50355011712681,0.116577379063105,0.458736628284987,-0.5,-0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,9,2,0,b,1,0,0,aud,C,27,1,2C,0C,1,0,b,3.21213569999964,1,0,1,1,2C,0C,C20,3.17805383034795,0.50355011712681,0.49644988287319,0.49644988287319,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.5,0.49644988287319,0.5,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.10286056909213,0.500991456825015,0.5,0.00355011712681014,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
CBC_1139,CBC_1139_MSI_AV_v3_Vset2_Aset3_2024-07-08_16h12.35.623.csv,1,10,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,3.38129570000001,0,1,1,1,3D,2D,D23,2.52572864430826,0.50355011712681,0.49644988287319,0.49644988287319,0.5,0.5,0.507075027590392,0.5,0.5,0.5,0.5,0.50355011712681,0.49644988287319,0.5,0.5,0.5,0.507075027590392,0.507075027590392,0.492924972409608,0.507075027590392,0.5,0.105762885962248,0.580400516556923,0.492924972409608,0.00349988277356753,0.5,0.00710023425362027,1.1,8.61076027971222,2.68524441341129,0.5,77.9118070619978
