ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,1,1,0,aud,0.36,1,z,C,1C,0,z,2.53543870000021,1,0,0,2.19722457733622
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,2,0,1,aud,0.5,1,z,A,0A,1,z,2.21748960000014,1,1,1,2.30258509299405
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,3,2,0,aud,0.5,1,z,C,2C,1,z,1.84286669999983,1,1,1,2.39789527279837
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,4,0,1,aud,0.5,1,z,A,0A,1,b,2.30659199999991,0,0,0,1.79175946922805
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,5,2,2,aud,0.14,1,z,B,2B,0,z,2.80205130000013,1,0,0,2.56494935746154
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,6,0,1,aud,0.5,1,z,A,0A,1,z,2.19377760000043,1,1,1,1.54044504094715
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,7,1,0,aud,0.36,1,z,C,1C,0,b,2.35439779999979,0,1,1,2.01490302054226
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,8,2,1,aud,0.36,1,z,A,2A,0,b,1.88381840000011,0,1,1,2.77258872223978
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,9,1,2,aud,0.5,1,z,B,1B,1,z,2.60954790000005,1,1,1,2.83321334405622
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,10,2,1,aud,0.36,1,z,A,2A,0,z,2.37880930000028,1,0,0,2.19722457733622
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,11,1,2,aud,0.5,1,z,B,1B,1,z,1.79673850000017,1,1,1,2.2512917986065
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,12,2,0,aud,0.5,1,z,C,2C,1,z,1.41981160000023,1,1,1,2.30258509299405
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,13,0,2,aud,0.36,1,z,B,0B,0,b,2.56527159999996,0,1,1,3.04452243772342
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,14,1,1,aud,0.14,1,z,A,1A,0,b,1.29271120000021,0,1,1,3.09104245335832
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,15,2,0,aud,0.5,1,z,C,2C,1,z,4.62252250000029,1,1,1,2.03688192726104
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,16,1,2,aud,0.5,1,z,B,1B,1,z,1.13848420000022,1,1,1,2.07944154167984
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,17,2,0,aud,0.5,1,z,C,2C,1,b,3.04784580000023,0,0,0,1.83258146374831
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,18,0,2,aud,0.36,1,z,B,0B,0,b,2.56921430000011,0,1,1,2.56494935746154
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,19,2,1,aud,0.36,1,z,A,2A,0,z,0.74527530000023,1,0,0,2.19722457733622
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,20,0,0,aud,0.14,1,z,C,0C,0,b,1.78413219999993,0,1,1,3.3322045101752
CBC_1098,CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv,1,21,1,2,aud,0.5,0,z,B,1B,1,z,1.12962160000006,1,1,0,1.98100146886658
