ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
130,1,1,A,1,0,l,63,1,0.95,1A,0A,0,1,0,1,A10,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.09331641024092,1,1,0,1A,0A,0.5,0.5,0.5,0.5,0,0,-0.5,-0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.265655445298429,0.499975084011914,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,2,C,3,2,l,63,1,0.95,3C,2C,0,1,0,1,C32,2.83321334405622,0.5,0.0526333075349554,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.38131641024092,0,0,1,2C,3C,0.5,0.5,0.5,0.5,1,1,0.5,0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.658487953496977,0.499995726433764,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,3,A,0,2,a,27,1,0.95,0A,2A,1,0,1,0,A02,2.89037175789616,0.5,0.0526333075349554,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.5,1.21531641024092,0,0,1,2A,0A,0.5,0.5,0.5,0.5,0,0,-0.5,-0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.890499961877493,0.500127287038903,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,4,B,1,0,a,63,1,0.95,1B,0B,1,0,1,0,B10,2.94443897916644,0.5,0.0526333075349554,0.0526333075349554,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.5,1.24631641024092,0,0,1,0B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.865229528618198,0.500346433584896,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,5,D,2,3,l,63,1,0.95,2D,3D,0,1,0,1,D23,2.99573227355399,0.5,0.0526333075349554,0.0526333075349554,0.5,0.0526333075349554,0.5,0.5,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.5,1.84631641024092,0,0,1,3D,2D,0.5,0.5,0.5,0.5,1,1,0.5,0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.21853504281296,0.499831571127713,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,6,B,1,2,a,9,1,0.95,1B,2B,1,0,1,0,B12,3.04452243772342,0.5,0.0526333075349554,0.0526333075349554,0.5,0.0526333075349554,0.5,0.5,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.947366692465045,3.05731641024092,0,0,1,2B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.0122467180836911,0.499975317357428,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,7,D,1,3,l,27,1,0.95,1D,3D,0,1,0,1,D13,3.09104245335832,0.5,0.0526333075349554,0.0526333075349554,0.5,0.0526333075349554,0.5,0.0526333075349554,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.947366692465045,1.12631641024092,0,0,1,3D,1D,0.947366692465045,0.5,0.654545041969677,0.345454958030323,1,1,0.0526333075349554,0.047092777410817,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,3.30032881631438,0.983090248803508,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,8,A,1,0,l,63,1,0.95,1A,0A,0,1,0,1,A10,2.4423470353692,0.5,0.0526333075349554,0.0526333075349554,0.5,0.0526333075349554,0.5,0.0526333075349554,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.994459469875862,1.10431641024092,0,0,1,0A,1A,0.5,0.0526333075349554,0.904759074747542,0.0952409252524581,1,1,0.5,0.447366692465045,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,11.6167754227054,0.999976034399985,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,9,A,0,1,a,63,1,0.95,0A,1A,1,0,1,0,A01,3.17805383034795,0.947366692465045,0.0526333075349554,0.0526333075349554,0.5,0.0526333075349554,0.5,0.0526333075349554,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.994459469875862,1.09231641024092,1,1,0,0A,1A,0.947366692465045,0.0526333075349554,0.947366692465045,0.0526333075349554,1,1,0.0526333075349554,0.047092777410817,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,12.4832624830057,0.999992193070759,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
130,1,10,C,2,0,a,27,1,0.95,2C,0C,1,0,1,0,C20,3.2188758248682,0.994459469875862,0.0526333075349554,0.0526333075349554,0.5,0.0526333075349554,0.5,0.0526333075349554,0.5,0.5,0.5,0.947366692465045,0.5,0.5,0.5,0.5,0.994459469875862,1.51131641024092,1,1,0,2C,0C,0.947366692465045,0.5,0.654545041969677,0.345454958030323,1,1,0.0526333075349554,0.047092777410817,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.961920274284115,1.02831641024092,9.01843137039908,1.44975131950152,0.5,0.550155782830142,0.983129003231915,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.894733384930089,1.0328478182949,9.12741320221727,1.43999746135054,0.5,-37.9867555745955
