ID,mask,task,hemisphere,beta
CBC_1098,A,TV,wholeBrain,-0.250962998529678
CBC_1101,A,TV,wholeBrain,0.548505038135451
CBC_1102,A,TV,wholeBrain,0.9011351245941
CBC_1104,A,TV,wholeBrain,-0.0324694956087352
CBC_1105,A,TV,wholeBrain,-0.47364313996753
CBC_1106,A,TV,wholeBrain,0.496965221276318
CBC_1107,A,TV,wholeBrain,-0.194432333282894
CBC_1109,A,TV,wholeBrain,0.13569864623654
CBC_1116,A,TV,wholeBrain,0.222821702267223
CBC_1133,A,TV,wholeBrain,-0.398519974447334
CBC_1142,A,TV,wholeBrain,0.48562590535048
CBC_1143,A,TV,wholeBrain,0.121263363835197
CBC_1144,A,TV,wholeBrain,-0.00557951824935699
CBC_1149,A,TV,wholeBrain,0.127359543032862
