ID,mask,file,task,hemisphere,label,beta
CBC_1107,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,-1.2046770017698
CBC_1109,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,-0.217574753700222
CBC_1116,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,0.922268152835466
CBC_1133,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,0.817040323808164
CBC_1142,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,-0.164469532917677
CBC_1143,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,-0.855381434302215
CBC_1144,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,-0.261509773817592
CBC_1149,A,SPE_A_cluster1_-13_-67_55_roi.mat,AV,left,superior parietal lobe,0.334060440558604
CBC_1001,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.00752557401607201
CBC_1002,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.392902382739508
CBC_1003,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.494303340409837
CBC_1005,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.181507631633179
CBC_1006,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.252080349548841
CBC_1007,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.304065810378826
CBC_1013,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.345921238368109
CBC_1014,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.261127610293792
CBC_1015,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.610912771722694
CBC_1016,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.230229490475196
CBC_1017,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.0258506980383921
CBC_1019,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.0941685340246623
CBC_1020,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.905982237283481
CBC_1024,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.327632134669409
CBC_1027,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.223830283625541
CBC_1029,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.376738077969359
CBC_1032,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.43455539340736
CBC_1033,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.213730699134487
CBC_1036,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-1.12034566951726
CBC_1037,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.752642455228527
CBC_1039,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.0883522053810366
CBC_1040,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,1.09122511853015
CBC_1046,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.767254233022253
CBC_1047,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.439635434682476
CBC_1049,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.0864568287908085
CBC_1051,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.01702848848205
CBC_1055,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,1.28830977706208
CBC_1056,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.637241707466419
CBC_1057,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.773321830377741
CBC_1058,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.333687203650263
CBC_1062,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.381175459417978
CBC_1063,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.282427238414204
CBC_1065,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,1.00977536413432
CBC_1069,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.0970567930744681
CBC_1072,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.241259707351031
CBC_1074,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.849069793007454
CBC_1075,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.108462898338001
CBC_1077,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.494859074705628
CBC_1080,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.370497207300057
CBC_1083,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.14104547037629
CBC_1084,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-1.24520092086403
CBC_1086,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,1.2639327385252
CBC_1095,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.183880261031516
CBC_1098,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.412903719144501
CBC_1101,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.439725163253733
CBC_1102,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.955039448798056
CBC_1104,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.279687084226936
CBC_1105,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-1.01748663745723
CBC_1106,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.156451918749752
CBC_1107,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.0765291163839477
CBC_1109,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.211892220784939
CBC_1116,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.329105220018669
CBC_1133,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-1.06251166037771
CBC_1142,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.813505704915662
CBC_1143,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.0123715866436467
CBC_1144,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,-0.0929436708865704
CBC_1149,A,SPE_A_cluster1_-13_-67_55_roi.mat,TV,left,superior parietal lobe,0.465294902638174
