ID,session,fit_percModel,fit_respModel,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,accuracy,probFB,model
101,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,0.9772727272727273,1,CBCsimpleRW_CBCdriftDiffusionLR
102,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0842726697318457,0.298471132118253,10.9878104721293,3.54479997533147,0.5,0.5,0.0964792151426498,0.235098996004829,12.3716411755075,3.79083146702313,0.5,42.4321867195323,0.8863636363636364,0.95,CBCsimpleRW_CBCdriftDiffusionLR
103,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.642926148435846,0.216546196431756,5.77825470364611,3.38296757714763,0.5,0.5,0.897365526146299,0.242773683419974,5.39912885139071,3.15585848370469,0.5,6.28775010208939,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
104,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.40545438708501,1.72304154679184,11.1361546976519,3.57493206306081,0.5,0.5,0.405763318739698,1.6982513635855,10.6908965535666,3.65410755066894,0.5,-1.51092807939366,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
105,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.94597812267006,1.68680850585199,14.9891049321636,3.68369435539305,0.5,0.5,0.982251923248452,1.69461973936942,14.9421419931267,3.68230320264661,0.5,-44.0248204738561,0.7272727272727273,0.73,CBCsimpleRW_CBCdriftDiffusionLR
106,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.48392558946416,0.515342381322041,13.9723256550654,2.59542077771304,0.5,0.5,0.428721719843472,0.532983431484267,14.9717883872744,2.49118118477902,0.5,-33.369819697274004,0.8863636363636364,1,CBCsimpleRW_CBCdriftDiffusionLR
107,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.641655501335722,0.601744719375809,8.08658255697787,4.31965670307996,0.5,0.5,0.644341793456005,0.705358306388201,6.33497273899043,3.5064679847115,0.5,27.9951189503749,0.7045454545454546,0.73,CBCsimpleRW_CBCdriftDiffusionLR
108,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.360437890152852,1.97478480402624,0.0729403166193093,1.98888359176513,0.5,0.5,0.971691066697573,1.95000855248929,0.579210375941164,2.11969088596798,0.5,68.425827241934,0.6363636363636364,0.95,CBCsimpleRW_CBCdriftDiffusionLR
109,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.920253152066055,2.70974321644815,0.7992547183263,4.63880267088044,0.5,0.5,0.657582216242213,2.94758521801037,1.08981040865452,3.97512430511182,0.5,104.018446459471,0.8636363636363636,1,CBCsimpleRW_CBCdriftDiffusionLR
110,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.829880298600381,2.82033386810633,12.6073498132749,3.77358055276485,0.5,0.5,0.719011638230903,2.81253738619395,13.8604105287413,3.92419870659769,0.5,-17.5500092564383,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
111,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0393299842289274,1.64732485655183,2.98736212849822,2.37183894913641,0.5,0.5,0.0260790456016795,1.6999527631322,0.163164837018274,2.14961129367167,0.5,75.6802715159508,0.4318181818181818,0.73,CBCsimpleRW_CBCdriftDiffusionLR
112,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.999741929905093,0.918536487480009,12.8893071683425,2.90304740517145,0.5,0.5,0.851723907586729,0.873608992252698,14.8620642052635,3.77586296270448,0.5,-39.8185343222932,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
113,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.343216108951487,2.23256172781615,6.58556753305059,2.59126106315681,0.5,0.5,0.275099126048013,2.28565284108186,6.5148307135622,2.32018516914682,0.5,19.7813824202496,0.9318181818181818,1,CBCsimpleRW_CBCdriftDiffusionLR
114,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.268162196698806,1.50405747889936,5.79904650195256,3.30649192154117,0.5,0.5,0.299971678080448,1.42461451001511,5.81843431085856,3.36168037229001,0.5,49.1691024671697,1,0.91,CBCsimpleRW_CBCdriftDiffusionLR
115,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.954293185624389,1.12395167244873,8.48273573327206,3.97584281672053,0.5,0.5,0.992478681367036,1.15555793087961,9.1517177605578,3.67966266148464,0.5,-13.9200872231324,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
