ID,session,mod2Type,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,NLL,model,accuracy,probFB,nparms,nparms2,AIC,BIC,AIC2,BIC2
CBC_1001,1,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,14.993968719565023,CBCsimpleRW_CBCdriftDiffusionLR,0.8809523809523809,0.82,4,6,37.98793743913005,45.12469597480309,41.98793743913005,52.69307524263961
CBC_1001,2,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0293558816981553,1.33293970845869,6.29456525426775,2.33161212043791,0.5,70.8846706550173,26.806075900840924,CBCsimpleRW_CBCdriftDiffusionLR,0.6428571428571429,0.91,4,6,61.61215180168185,68.74891033735489,65.61215180168185,76.3172896051914
CBC_1001,3,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0558594494160629,1.47748700589259,10.9766238387815,2.14550949749502,0.5,47.9440162205966,16.103937266731343,CBCsimpleRW_CBCdriftDiffusionLR,0.8837209302325582,0.82,4,6,40.207874533462686,47.34463306913573,44.207874533462686,54.91301233697225
CBC_1001,4,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.145783493741218,0.993547345565713,8.34506113198006,2.86478022554316,0.5,39.4446348013344,10.032180555394222,CBCsimpleRW_CBCdriftDiffusionLR,0.9772727272727273,0.91,4,6,28.064361110788443,35.201119646461486,32.06436111078844,42.76949891429801
CBC_1002,1,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.213189690489629,2.1796809951005,2.1029237693739,1.44504805439833,0.5,30.2782577162077,24.662930845079288,CBCsimpleRW_CBCdriftDiffusionLR,0.6829268292682927,0.95,4,6,57.325861690158575,64.46262022583161,61.325861690158575,72.03099949366813
CBC_1002,2,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0529775928164782,1.29818307406943,3.34421893261396,2.27991564436311,0.5,63.6214692440165,24.727080523949574,CBCsimpleRW_CBCdriftDiffusionLR,0.5789473684210527,0.95,4,6,57.45416104789915,64.59091958357219,61.45416104789915,72.15929885140872
CBC_1002,3,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0266236298948315,0.969857071423629,2.38727010770854,2.23329050182206,0.5,74.3004455172544,30.26639278177652,CBCsimpleRW_CBCdriftDiffusionLR,0.6363636363636364,0.95,4,6,68.53278556355303,75.66954409922609,72.53278556355303,83.2379233670626
CBC_1002,4,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.309866139731376,0.716532668967204,2.41063528540846,2.14419199284451,0.5,54.420121182958,18.904414368245558,CBCsimpleRW_CBCdriftDiffusionLR,0.8837209302325582,0.95,4,6,45.808828736491115,52.94558727216416,49.808828736491115,60.51396654000068
CBC_1003,1,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,1,0.40241827499777,0.00802892692553514,2.78489884931779,0.5,78.9975628055725,25.654220215703894,CBCsimpleRW_CBCdriftDiffusionLR,0.5,0.82,4,6,59.30844043140779,66.44519896708083,63.30844043140779,74.01357823491736
CBC_1003,2,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0166270434437445,0.68687150028235,6.23225646070752,2.60718779175865,0.5,77.2253392802763,26.449633254723988,CBCsimpleRW_CBCdriftDiffusionLR,0.675,0.95,4,6,60.899266509447976,68.03602504512102,64.89926650944798,75.60440431295754
CBC_1005,1,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0148521029668891,1.56964197884658,0.0155136530095472,2.10476761001717,0.5,69.2672819815931,29.822932560956062,CBCsimpleRW_CBCdriftDiffusionLR,0.3953488372093023,0.95,4,6,67.64586512191212,74.78262365758516,71.64586512191212,82.35100292542168
CBC_1005,2,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.00216409084973912,1.82152679357381,0.0097450828902329,2.05870614340132,0.5,65.1980469207305,29.81034436351229,CBCsimpleRW_CBCdriftDiffusionLR,0.4883720930232558,0.91,4,6,67.62068872702457,74.75744726269762,71.62068872702457,82.32582653053414
CBC_1005,3,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.978428094929892,0.202501241345891,0.12157876845472,3.37063575917395,0.5,101.072088287267,28.048599491686296,CBCsimpleRW_CBCdriftDiffusionLR,0.6097560975609756,0.95,4,6,64.09719898337259,71.23395751904563,68.09719898337259,78.80233678688217
CBC_1005,4,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.370400408494498,1.13739891810475,1.62925101541818,2.71445414178694,0.5,70.7051802902479,22.645358572142406,CBCsimpleRW_CBCdriftDiffusionLR,0.75,0.95,4,6,53.29071714428481,60.42747567995786,57.29071714428481,67.99585494779438
CBC_1006,1,aud,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0296713928238149,1.16073894877461,8.15511037014475,2.28771675701662,0.5,70.2788097964892,26.121461917303083,CBCsimpleRW_CBCdriftDiffusionLR,0.7209302325581395,0.95,4,6,60.24292383460617,67.37968237027921,64.24292383460616,74.94806163811573
CBC_1006,2,tac,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0313953462858066,0.894137957673047,4.14524603283827,2.58986640415949,0.5,81.5250221389367,27.823899935380886,CBCsimpleRW_CBCdriftDiffusionLR,0.5714285714285714,0.91,4,6,63.64779987076177,70.78455840643481,67.64779987076177,78.35293767427135
