ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,version
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,11,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,1.78561600000012,1,0,1,1,2C,3C,C23,2.56494935746154,0.550832694491018,0.5,0.5,0.5,0.5,0.524806369031023,0.5,0.5,0.5,0.5,0.526097422718033,0.473902577281967,0.5,0.5,0.473902577281967,0.473902577281967,0.526097422718033,0.473902577281967,0.526097422718033,0.473902577281967,0.533004826712352,0.879283311493284,0.473902577281967,0.0247352717729855,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,12,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,1.59718599999997,0,1,1,1,1B,0B,B01,2.60268968544438,0.550832694491018,0.5,0.5,0.5,0.5,0.524806369031023,0.5,0.5,0.5,0.5,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.473902577281967,0.512102954168053,0.487897045831947,0.524806369031023,0.5,0.425514490069732,0.712998386905455,0.475193630968977,0.0248026581206286,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,13,1,0,z,0,1,0,aud,A,63,0,1A,0A,1,0,z,1.70943140000008,0,1,1,0,0A,1A,A10,2.63905732961526,0.550832694491018,0.5,0.5,0.5,0.5,0.549609027151651,0.5,0.5,0.5,0.5,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.473902577281967,0.524186863787884,0.475813136212116,0.550832694491018,0.5,0.549534003584456,0.863359913224503,-0.550832694491018,-0.0287506273500903,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,14,2,1,b,1,0,2,aud,C,9,1,2C,1C,1,0,z,3.18978910000033,0,1,0,0,1C,2C,C21,3.36729582998647,0.522082067140928,0.5,0.5,0.5,0.5,0.549609027151651,0.5,0.5,0.5,0.5,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.473902577281967,0.475813136212116,0.524186863787884,0.5,0.550832694491018,0.0195289736785692,0.136578642609556,-0.5,-0.0260974227180329,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,15,0,1,b,1,0,0,aud,A,63,1,0A,1A,NA,NA,[],NA,NA,NA,NA,NA,,,A01,3.40119738166216,0.522082067140928,0.5,0.5,0.5,0.5,0.549609027151651,0.5,0.5,0.5,0.473902577281967,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.473902577281967,0,0,0,0,NA,0,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,16,1,3,z,0,1,3,aud,D,27,1,1D,3D,0,1,z,2.58515670000043,0,1,1,1,3D,1D,D13,3.43398720448515,0.522082067140928,0.5,0.5,0.5,0.5,0.549609027151651,0.5,0.5,0.5,0.473902577281967,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.473902577281967,0.486601625600547,0.513398374399453,0.473902577281967,0.5,0.0738913741915674,0.26470628563692,0.526097422718033,0.0274595736630803,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,17,1,0,b,1,0,1,aud,B,63,1,1B,0B,1,0,b,1.56869869999991,1,0,1,1,1B,0B,B10,2.77258872223978,0.522082067140928,0.5,0.5,0.5,0.5,0.549609027151651,0.5,0.5,0.5,0.473902577281967,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.523632145812559,0.476367854187441,0.549609027151651,0.5,0.598397336432266,0.857594079106649,0.450390972848349,0.0235080872136189,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,18,3,2,z,0,1,2,aud,C,63,0,3C,2C,1,0,z,3.12383599999976,0,1,1,0,2C,3C,C32,3.49650756146648,0.522082067140928,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.537536581070323,0.462463418929678,0.550832694491018,0.473902577281967,0.0985503568710026,0.945718620125742,-0.550832694491018,-0.0287506273500903,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,19,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,b,1.14921000000004,1,0,1,1,0A,2A,A02,3.52636052461616,0.522082067140928,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.510802492212146,0.489197507787854,0.522082067140928,0.5,0.129330566018633,0.694940556635683,0.477917932859072,0.0249448526367033,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,20,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,z,2.32911330000024,0,1,1,1,3D,2D,D23,2.4567357728213,0.547026919777631,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.514078010240871,0.485921989759129,0.501362150945047,0.473902577281967,0.258235335114717,0.744535050923732,0.498637849054953,0.0260263254599956,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,21,1,3,b,1,0,1,aud,B,27,1,1B,3B,1,0,b,2.61349879999989,1,0,1,1,1B,3B,B13,3.58351893845611,0.547026919777631,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.534067630357623,0.465932369642377,0.57311711436527,0.5,0.212176981966778,0.930405297030184,0.42688288563473,0.0222810862350065,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,22,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,2.32661290000033,1,0,1,1,2C,3C,C23,2.51230562397611,0.547026919777631,0.5,0.5,0.5,0.5,0.595398200600277,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.524186863787884,0.475813136212116,0.522082067140928,0.473902577281967,0.299999700391094,0.863185779645548,0.477917932859072,0.0249448526367033,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,23,1,0,z,0,1,0,aud,A,63,0,1A,0A,1,0,z,1.51755240000011,0,1,1,0,0A,1A,A10,2.53897387105828,0.547026919777631,0.5,0.5,0.5,0.5,0.595398200600277,0.5,0.5,0.5,0.473902577281967,0.547026919777631,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.522457359447653,0.477542640552347,0.547026919777631,0.5,0.594336785568796,0.846819991902406,-0.547026919777631,-0.0285519855271606,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433,v3
