ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,version
101,1,1,A,1,0,l,63,1,1,1A,0A,0,1,0,1,A10,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7.66265595866308,0,0,1,0A,1A,0.5,0.5,0.5,0.5,1,1,0.5,0.497065862511352,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0136287571695322,0.499166935632091,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,2,C,2,3,a,63,1,1,2C,3C,1,0,1,0,C23,2.83321334405622,0.997065862511352,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.64665595866308,1,1,0,2C,3C,0.5,0.5,0.5,0.5,1,1,0.5,0.497065862511352,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0483580836203229,0.499420805478436,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,3,A,2,0,l,27,1,1,2A,0A,0,1,0,1,A20,2.89037175789616,0.997065862511352,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.997065862511352,0.5,0.5,0.5,0.5,0.5,1.04565595866308,0,0,1,0A,2A,0.997065862511352,0.5,0.666013358182357,0.333986641817643,1,1,0.00293413748864801,0.00291691916304343,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.558544594216684,0.987187506425789,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,4,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.94443897916644,0.999982781674395,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.997065862511352,0.5,0.5,0.5,0.5,0.5,6.28065595866308,0,0,1,1B,0B,0.5,0.5,0.5,0.5,1,1,0.5,0.497065862511352,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0244283955161805,0.500906575093448,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,5,B,1,0,a,63,1,1,1B,0B,1,0,1,0,B10,2.99573227355399,0.999982781674395,0.5,0.5,0.5,0.5,0.997065862511352,0.5,0.5,0.5,0.5,0.997065862511352,0.5,0.5,0.5,0.5,0.5,3.99965595866308,1,1,0,1B,0B,0.997065862511352,0.5,0.666013358182357,0.333986641817643,1,1,0.00293413748864801,0.00291691916304343,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0358779754289238,0.987120776150743,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,6,C,2,3,a,63,1,1,2C,3C,1,0,1,0,C23,2.35137525716348,0.999982781674395,0.5,0.5,0.5,0.5,0.999982781674395,0.5,0.5,0.5,0.5,0.997065862511352,0.5,0.5,0.5,0.5,0.5,1.11365595866308,1,1,0,2C,3C,0.997065862511352,0.5,0.666013358182357,0.333986641817643,1,1,0.00293413748864801,0.00291691916304343,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.640908849968415,0.987111329235207,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,7,D,1,3,l,27,1,1,1D,3D,0,1,0,1,D13,3.09104245335832,0.999982781674395,0.5,0.5,0.5,0.5,0.999982781674395,0.5,0.5,0.5,0.5,0.999982781674395,0.5,0.5,0.5,0.5,0.5,2.22665595866308,0,0,1,3D,1D,0.5,0.5,0.5,0.5,1,1,0.5,0.497065862511352,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.132294909175449,0.500655281288679,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,8,C,2,1,a,9,1,1,2C,1C,1,0,1,0,C21,3.13549421592915,0.999982781674395,0.5,0.5,0.5,0.5,0.999982781674395,0.5,0.5,0.5,0.5,0.999982781674395,0.5,0.5,0.5,0.5,0.997065862511352,1.79165595866308,1,1,0,2C,1C,0.999982781674395,0.5,0.666662840328166,0.333337159671834,1,1,1.72183256045289e-5,1.71172837352329e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.504580177783746,0.987317011628295,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,9,B,1,3,a,27,1,1,1B,3B,1,0,1,0,B13,3.17805383034795,0.999982781674395,0.5,0.5,0.5,0.5,0.999982781674395,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.997065862511352,3.31065595866308,1,1,0,1B,3B,0.999982781674395,0.5,0.666662840328166,0.333337159671834,1,1,1.72183256045289e-5,1.71172837352329e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.082348387324391,0.987362409405862,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,10,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,3.2188758248682,0.999982781674395,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.997065862511352,1.13065595866308,0,0,1,3D,2D,0.997065862511352,0.5,0.666013358182357,0.333986641817643,1,1,0.00293413748864801,0.00291691916304343,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.657450187268833,0.987189232347945,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
