ID,session,trialNr,visStimLeft,mod2Stim,match,correctKey,frequency,rewardAccurate,stimPair,probFB,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,reactionTime,choice,beliefPair,choiceAccurate,reward,rewardPE,update2,choicePE,update1,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_alpha2,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
173,1,1,0,A,1,left,50,1,0A,0.9,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.34979076693408,1,0.5,1,1,0.5,0.21803714358916,0.5,0.21803714358916,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,0.0931318236656255,0.499562114885331,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,2,1,C,0,left,36,1,1C,0.9,2.30258509299405,0.71803714358916,0.00195239650085977,0.00195239650085977,0.00195239650085977,0.5,0.5,0.00195239650085977,0.5,0.5,2.75779076693408,1,0.5,0,0,-0.5,-0.49804760349914,-0.5,-0.21803714358916,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,0.110199238732108,0.500032996360344,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,3,0,B,0,left,36,1,0B,0.9,2.39789527279837,0.71803714358916,0.00195239650085977,0.00195239650085977,0.00195239650085977,0.5,0.5,0.00195239650085977,0.00195239650085977,0.5,1.11579076693408,0,0.00195239650085977,1,1,0.00195239650085977,-0.000851389912401868,-0.00195239650085977,-0.000851389912401868,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,7.8172143884687,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,4,2,C,1,left,50,1,2C,0.9,2.484906649788,0.71803714358916,0.00195239650085977,0.00195239650085977,0.0011010065884579,0.5,0.5,0.00195239650085977,0.00195239650085977,0.5,6.44379076693409,1,0.5,1,1,0.5,0.21803714358916,0.5,0.21803714358916,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,0.0349106788843212,0.500561872067202,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,5,0,A,1,left,50,1,0A,0.9,1.87180217690159,0.71803714358916,0.00195239650085977,7.62370419313892e-06,0.0011010065884579,0.5,0.00195239650085977,7.62370419313892e-06,7.62370419313892e-06,0.71803714358916,1.40479076693408,1,0.71803714358916,1,1,0.28196285641084,0.12295675162012,0.28196285641084,0.12295675162012,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,1.81191904278353,0.999999998427411,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,6,2,C,1,left,50,1,2C,0.9,1.94591014905531,0.84099389520928,7.62370419313892e-06,2.97689867805485e-08,4.29920282145747e-06,0.5,0.00195239650085977,2.97689867805485e-08,7.62370419313892e-06,0.71803714358916,1.27579076693408,1,0.71803714358916,1,1,0.28196285641084,0.12295675162012,0.28196285641084,0.12295675162012,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,3.65263206766142,0.999999998415487,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,7,1,A,0,left,14,1,1A,0.9,2.70805020110221,0.84099389520928,7.62370419313892e-06,1.16241731248966e-10,4.29920282145747e-06,0.5,7.62370419313892e-06,1.16241731248966e-10,2.97689867805485e-08,0.84099389520928,1.09579076693408,0,7.62370419313892e-06,1,1,7.62370419316039e-06,-3.32450137169078e-06,-7.62370419313892e-06,-3.32450137168142e-06,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,11.1531659177318,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,8,0,B,0,left,36,1,0B,0.9,2.07944154167984,0.84099389520928,4.29920282144813e-06,1.16241731248966e-10,4.29920282145747e-06,0.5,7.62370419313892e-06,1.16241731248966e-10,2.97689867805485e-08,0.84099389520928,1.11379076693408,0,4.29920282145747e-06,1,1,4.29920282141172e-06,-1.87477180578214e-06,-4.29920282145747e-06,-1.87477180580209e-06,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,8.0975285891782,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,9,2,C,1,left,50,1,2C,0.9,1.73460105538811,0.84099389520928,4.29920282144813e-06,1.16241731248966e-10,2.42443101567533e-06,0.5,7.62370419313892e-06,1.16241731248966e-10,2.97689867805485e-08,0.84099389520928,1.07979076693408,1,0.84099389520928,1,1,0.15900610479072,0.0693384738036145,0.15900610479072,0.0693384738036145,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,2.35691418491319,0.999999999999983,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,10,1,B,1,left,50,0,1B,0.9,2.89037175789616,0.84099389520928,4.29920282144813e-06,4.53899898688726e-13,2.42443101567533e-06,0.5,2.97689867805485e-08,4.53899898688726e-13,1.16241731248966e-10,0.910332369012894,3.42679076693408,0,0.5,0,1,0.5,-0.21803714358916,0.5,0.21803714358916,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,0.0911051254397316,0.500324392034922,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,11,0,C,0,left,14,1,0C,0.9,2.94443897916644,0.84099389520928,4.29920282144813e-06,4.53899898688726e-13,2.42443101567533e-06,0.28196285641084,2.97689867805485e-08,4.53899898688726e-13,1.16241731248966e-10,0.910332369012894,1.06579076693408,0,4.53899898688726e-13,1,1,4.53859172466764e-13,-1.97916315112786e-13,-4.53899898688726e-13,-1.97934074770998e-13,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,10.5968717762632,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,12,1,B,1,left,50,1,1B,0.9,2.30258509299405,0.84099389520928,4.29920282144813e-06,4.53899898688726e-13,2.42443101567533e-06,0.28196285641084,2.97689867805485e-08,2.5598358357594e-13,1.16241731248966e-10,0.910332369012894,1.25579076693408,0,0.28196285641084,0,0,-0.71803714358916,0.715233357175898,0.71803714358916,0.3131175355582,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,3.72731559846709,0.999999998429152,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,13,2,A,0,left,36,1,2A,0.9,3.04452243772342,0.84099389520928,4.29920282144813e-06,4.53899898688726e-13,2.42443101567533e-06,0.997196213586738,2.97689867805485e-08,2.5598358357594e-13,1.16241731248966e-10,0.910332369012894,1.11979076693408,0,4.53899898688726e-13,1,1,4.53859172466764e-13,-1.97916315112786e-13,-4.53899898688726e-13,-1.97934074770998e-13,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,6.97680715191777,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,14,1,C,0,left,36,1,1C,0.9,2.39789527279837,0.84099389520928,4.29920282144813e-06,2.5598358357594e-13,2.42443101567533e-06,0.997196213586738,2.97689867805485e-08,2.5598358357594e-13,1.16241731248966e-10,0.910332369012894,1.19679076693408,0,1.16241731248966e-10,1,1,1.16241682945883e-10,-5.06900090310344e-11,-1.16241731248966e-10,-5.06900300947668e-11,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,0.328141918443662,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,15,2,A,0,left,36,1,2A,0.9,2.4423470353692,0.84099389520928,4.29920282144813e-06,2.5598358357594e-13,2.42443101567533e-06,0.997196213586738,2.97689867805485e-08,2.5598358357594e-13,6.55517222179319e-11,0.910332369012894,1.09379076693408,0,2.5598358357594e-13,1,1,2.56017429478561e-13,-1.11642618065089e-13,-2.5598358357594e-13,-1.1162785873723e-13,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,11.4027362822374,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,16,1,B,1,left,50,1,1B,0.9,2.07944154167984,0.84099389520928,4.29920282144813e-06,1.44340965510851e-13,2.42443101567533e-06,0.997196213586738,2.97689867805485e-08,2.5598358357594e-13,6.55517222179319e-11,0.910332369012894,1.05679076693408,1,0.997196213586738,1,1,0.00280378641326173,0.00122265916156337,0.00280378641326173,0.00122265916156337,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,8.25672071212133,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,17,2,A,0,left,36,1,2A,0.9,2.12026353620009,0.84099389520928,1.67874970901635e-08,1.44340965510851e-13,9.46690126316062e-09,0.998418872748302,1.16241731248966e-10,2.5598358357594e-13,2.55965906167247e-13,0.910332369012894,1.07479076693408,0,1.44340965510851e-13,1,1,1.4432899320127e-13,-6.29381628294086e-14,-1.44340965510851e-13,-6.29433836457747e-14,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,11.862856017685,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,18,1,B,1,left,50,1,1B,0.9,1.87180217690159,0.84099389520928,1.67874970901635e-08,8.14028026814422e-14,9.46690126316062e-09,0.998418872748302,1.16241731248966e-10,2.5598358357594e-13,2.55965906167247e-13,0.910332369012894,1.05879076693408,1,0.998418872748302,1,1,0.00158112725169834,0.000689488939222572,0.00158112725169834,0.000689488939222572,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,8.87780593358577,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,19,0,A,1,left,50,1,0A,0.9,2.19722457733622,0.84099389520928,6.5551701154059e-11,8.14028026814422e-14,3.69662898003599e-11,0.999108361687524,4.53899898688726e-13,2.5598358357594e-13,9.99493879080673e-16,0.910332369012894,1.15179076693408,1,0.84099389520928,1,1,0.15900610479072,0.0693384738036145,0.15900610479072,0.0693384738036145,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,6.9857319130746,0.999999999999983,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,20,2,C,1,left,50,1,2C,0.9,1.94591014905531,0.910332369012894,2.55965823917176e-13,3.17861094230854e-16,1.44345709711983e-13,0.999108361687524,4.53899898688726e-13,9.995629057024e-16,9.99493879080673e-16,0.910332369012894,1.17379076693408,1,0.910332369012894,1,1,0.0896676309871055,0.0391017482656707,0.0896676309871055,0.0391017482656707,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,4.29833303405856,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,21,0,B,0,left,36,1,0B,0.9,2.26868354131836,0.910332369012894,2.55965823917176e-13,1.24118177627157e-18,1.44345709711983e-13,0.999108361687524,1.77238514788095e-15,3.90308623896518e-18,3.90281670429574e-18,0.949434117278565,1.03179076693408,0,1.44345709711983e-13,1,1,1.4432899320127e-13,-6.29381628294086e-14,-1.44345709711983e-13,-6.29454524699016e-14,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,2.04159284179882,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
173,1,22,2,C,1,left,50,1,2C,0.9,1.79175946922805,0.910332369012894,2.55965823917176e-13,1.24118177627157e-18,8.14075468825742e-14,0.999108361687524,1.77238514788095e-15,3.90308623896518e-18,3.90281670429574e-18,0.949434117278565,1.10379076693408,1,0.949434117278565,1,1,0.0505658827214348,0.0220504812632922,0.0505658827214348,0.0220504812632922,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.433926930314902,0.975290150393004,0.23069232153398,0.934790766934084,10.991424088809,3.33274210320712,0.5,10.301888593437,1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.43607428717832,0.99609520699828,0.0753489978533071,0.926142032632825,11.8316947809476,3.92848354439204,0.5,-58.3840188595475
