"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"version";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile";"group";"trials_runs.visual_stim_right";"trials_runs.correctKey"
"CBC_1032";"20";"1";"2";"50";"z";"0,98667610000120476";"0";"0";"1";"easy";"0,95";"v1";"0,421052631578947";"0,5789473684210527";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"21";"2";"0";"36";"b";"2,21464470000137226";"0";"0";"1";"easy";"0,95";"v1";"0,400000000000000";"0,6000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"22";"0";"1";"14";"z";"2,42898370000148134";"1";"1";"1";"easy";"0,95";"v1";"0,428571428571429";"0,5714285714285714";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"23";"2";"2";"14";"b";"1,19148479999967094";"0";"0";"1";"easy";"0,95";"v1";"0,409090909090909";"0,5909090909090908";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"24";"0";"0";"50";"None";NA;NA;"3";"1";"easy";"0,95";"v1";"0,409090909090909";"0,5909090909090908";NA;NA;"1";"0";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"25";"1";"1";"36";"z";"1,81981110000015178";"1";"1";"1";"easy";"0,95";"v1";"0,434782608695652";"0,5652173913043479";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"26";"0";"0";"50";"z";"2,93335039999874425";"0";"0";"1";"easy";"0,95";"v1";"0,416666666666667";"0,5833333333333333";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"27";"1";"1";"36";"z";"0,93554249999942840";"1";"1";"1";"easy";"0,95";"v1";"0,440000000000000";"0,5600000000000001";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"28";"2";"2";"14";"z";"4,35716529999990598";"1";"1";"1";"easy";"0,95";"v1";"0,461538461538462";"0,5384615384615384";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"29";"0";"0";"50";"b";"1,64366239999981190";"1";"1";"1";"easy";"0,95";"v1";"0,481481481481481";"0,5185185185185186";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"30";"2";"1";"50";"z";"0,19488160000037169";"0";"0";"1";"easy";"0,95";"v1";"0,464285714285714";"0,5357142857142857";"1";"0";"0";"0";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"31";"0";"0";"50";"b";"0,56162000000040280";"1";"1";"1";"easy";"0,95";"v1";"0,482758620689655";"0,5172413793103448";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"32";"1";"1";"36";"z";"0,73703960000057123";"1";"1";"1";"easy";"0,95";"v1";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"33";"2";"0";"36";"b";"1,58102880000114965";"0";"0";"1";"easy";"0,95";"v1";"0,483870967741935";"0,5161290322580645";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"34";"1";"2";"50";"z";"1,30701790000057372";"0";"1";"1";"easy";"0,95";"v1";"0,468750000000000";"0,5312500000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"35";"2";"0";"36";"b";"0,95763269999952172";"0";"0";"1";"easy";"0,95";"v1";"0,454545454545455";"0,5454545454545454";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"36";"1";"2";"50";"z";"0,45188570000027539";"0";"0";"1";"easy";"0,95";"v1";"0,441176470588235";"0,5588235294117647";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"37";"2";"1";"50";"z";"1,61171990000002552";"0";"0";"1";"easy";"0,95";"v1";"0,428571428571429";"0,5714285714285714";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"38";"2";"1";"50";"z";"4,92739849999998114";"0";"0";"1";"easy";"0,95";"v1";"0,416666666666667";"0,5833333333333333";"0";"1";"0";"0";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"39";"0";"2";"36";"b";"2,63526970000020810";"0";"0";"1";"easy";"0,95";"v1";"0,405405405405405";"0,5945945945945945";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
