"ID";"session";"tsDifficulty";"prob.Feedback";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"logfile";"group";"version"
"CBC_1029";"1";"easy";"0,95";"0,613636363636364";"0,000000000000000";"0,800000000000000";"2,51725854545405";"1,28888779999942926";"3,65741829999934";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1029_MSI_AV_v3_Vset2_Aset2_2023-07-21_14h51.03.497.csv";"children";"v3"
"CBC_1029";"2";"hard";"0,95";"0,522727272727273";"0,448275862068966";"1,000000000000000";"2,32215175454580";"1,20068580000042857";"3,96560479999971";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1029_MSI_TV_v3_Vset5_Tset2_2023-07-21_14h59.39.665.csv";"children";"v3"
"CBC_1033";"2";"easy";"0,95";"1,000000000000000";"1,000000000000000";"1,000000000000000";"1,36061676590938";"0,71329020000030141";"2,51908509999976";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1033_MSI_AV_v3_Vset1_Aset1_2023-12-13_14h51.00.395.csv";"children";"v3"
"CBC_1033";"3";"easy";"0,95";"0,744186046511628";"0,285714285714286";"1,000000000000000";"2,14512606046529";"1,18501640000067709";"3,74355310000010";"0,0227272727272727";"0,0000000000000000";;;"tv";"vib";"CBC_1033_MSI_TV_v3_Vset2_Tset3_2023-12-13_15h01.20.123.csv";"children";"v3"
"CBC_1036";"1";"hard";"0,95";"0,666666666666667";"0,000000000000000";"0,666666666666667";"2,35014945714366";"-0,01724049999938870";"4,34973530000116";"0,0454545454545455";"0,0000000000000000";;;"tv";"vib";"CBC_1036_MSI_TV_v3_Vset2_Tset3_2023-12-06_14h51.37.594.csv";"children";"v3"
"CBC_1036";"3";"hard";"0,95";"0,750000000000000";"0,000000000000000";"0,777777777777778";"1,87609534772690";"0,94607709999945655";"3,56627889999982";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1036_MSI_AV_v3_Vset3_Aset1_2023-12-06_15h58.00.246.csv";"children";"v3"
"CBC_1037";"1";"hard";"0,95";"0,750000000000000";"0,500000000000000";"1,000000000000000";"2,41098767045474";"1,13264540000000125";"4,29734139999982";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1037_MSI_AV_v3_Vset3_Aset2_2024-01-04_12h44.35.607.csv";"children";"v3"
"CBC_1037";"3";"hard";"0,90";"0,512195121951220";"0,000000000000000";"0,714285714285714";"2,92593511707341";"0,11797509999996691";"4,72891400000026";"0,0681818181818182";"0,0000000000000000";;;"tv";"vib";"CBC_1037_MSI_TV_v3_Vset1_Tset3_2024-01-04_13h52.51.148.csv";"children";"v3"
"CBC_1040";"1";"hard";"0,90";"0,795454545454545";"0,500000000000000";"1,000000000000000";"2,57538201590881";"1,44367869999950926";"3,39026529999956";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1040_MSI_TV_v3_Vset6_Tset2_2023-12-20_15h38.50.725.csv";"children";"v3"
"CBC_1040";"2";"hard";"0,90";"0,909090909090909";"0,500000000000000";"1,000000000000000";"2,30474697045386";"1,64602689999901486";"3,24532869999894";"0,0000000000000000";"0,0227272727272727";;;"av";"env";"CBC_1040_MSI_AV_v3_Vset5_Aset3_2023-12-20_15h47.19.244.csv";"children";"v3"
