"ID";"session";"tsDifficulty";"prob.Feedback";"version";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"group";"logfile";"participant"
"CBC_P004";"1";"hard";"0,8";"v1";"0,736842105263158";"0,571428571428571";"1,000000000000000";"2,139690160523682";"0,960682600001746";"3,29750729999796";"0,0952380952380952";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"2";"hard";"0,8";"v1";"0,800000000000000";"0,500000000000000";"1,000000000000000";"1,786058000004960";"0,575192200005404";"2,97666150000441";"0,0476190476190476";"0,0000000000000000";;;"av";"env";"adults";"CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv";"CBC_P004"
"CBC_P005";"1";"hard";"0,9";"v1";"0,333333333333333";"0,000000000000000";"0,400000000000000";"1,506251558970409";"0,738455299993802";"2,35574009999982";"0,0714285714285714";"0,0000000000000000";;;"av";"env";"adults";"CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv";"CBC_P005"
"CBC_P005";"2";"hard";"0,9";"v1";"0,571428571428571";"0,277777777777778";"1,000000000000000";"1,618723076196537";"0,950893900007941";"2,22732070000347";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv";"CBC_P005"
"CBC_P006";"1";"hard";"0,8";"v1";"0,666666666666667";"0,000000000000000";"0,750000000000000";"1,583285464286746";"0,823077400003967";"2,54301250000572";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P006_TV_prob0.8_Vset2_Aset2_2023-03-15_18h35.47.090.csv";"CBC_P006"
"CBC_P006";"2";"hard";"0,8";"v1";"0,925000000000000";"0,000000000000000";"0,947368421052632";"1,165054637500543";"0,757413400002406";"2,25994199999695";"0,0476190476190476";"0,0500000000000000";;;"av";"env";"adults";"CBC_P006_AV_prob0.8_Vset3_Aset2_2023-03-15_18h44.03.839.csv";"CBC_P006"
"CBC_P007";"1";"hard";"0,8";"v1";"0,853658536585366";"0,400000000000000";"1,000000000000000";"1,628269002439948";"0,828340799998841";"2,46586570000363";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P007_AV_prob0.8_Vset1_Aset4_2023-03-17_14h16.00.846.csv";"CBC_P007"
"CBC_P007";"2";"hard";"0,8";"v1";"0,846153846153846";"0,500000000000000";"1,000000000000000";"2,081880866668190";"0,884784100002435";"2,60571350000100";"0,0714285714285714";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P007_TV_prob0.8_Vset2_Aset2_2023-03-17_14h24.26.428.csv";"CBC_P007"
"CBC_P009";"1";"hard";"0,9";"v1";"0,951219512195122";"0,000000000000000";"0,951219512195122";"1,050709263413698";"0,537218699999357";"1,95912619999945";"0,0238095238095238";"0,0243902439024390";;;"av";"env";"adults";"CBC_P009_AV_prob0.9_Vset2_Aset4_2023-03-17_16h27.01.985.csv";"CBC_P009"
"CBC_P009";"2";"hard";"0,9";"v1";"0,902439024390244";"0,600000000000000";"1,000000000000000";"1,134970697560120";"0,624651699999959";"2,20876000000135";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P009_TV_prob0.9_Vset4_Aset1_2023-03-17_16h35.18.383.csv";"CBC_P009"
