ID,filename,session,trial,mod2Type,stimPair,triplet,matchingPair,nonMatchingPair,frequency,reactionTime,version,run,simpleSurprise,nonMatchPairSurprise,group
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,27,aud,2B,NA,NA,NA,0.15,1.38068000000203,v1,MR,3.55534806148941,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,28,aud,1C,NA,NA,NA,0.35,1.18674360000296,v1,MR,2.19722457733622,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,29,aud,0B,NA,NA,NA,0.35,1.27816690000327,v1,MR,2.00148000021012,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,30,aud,2C,NA,NA,NA,0.5,0.667795900008059,v1,MR,1.84582669049833,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,31,aud,0A,NA,NA,NA,0.5,0.921241500000178,v1,MR,1.87180217690159,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,32,aud,2B,NA,NA,NA,0.15,1.57016130000557,v1,MR,2.99573227355399,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,33,aud,1C,NA,NA,NA,0.35,0.890625600004569,v1,MR,2.10413415427021,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,34,aud,2A,NA,NA,NA,0.35,NA,v1,MR,2.63905732961526,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,35,aud,1B,NA,NA,NA,0.5,2.18147100000351,v1,MR,2.15176220325946,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,36,aud,0C,NA,NA,NA,0.15,0.993049500008055,v1,MR,3.09104245335832,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,37,aud,1B,NA,NA,NA,0.5,1.57641760000115,v1,MR,2.01490302054226,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,38,aud,2A,NA,NA,NA,0.35,1.70199150000553,v1,MR,2.4423470353692,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,39,aud,1C,NA,NA,NA,0.35,1.59986570000183,v1,MR,2.058388132482,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,40,aud,0A,NA,NA,NA,0.5,1.22754060000443,v1,MR,1.92529086185258,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,41,aud,1B,NA,NA,NA,0.5,1.27867130000959,v1,MR,1.94591014905531,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,42,aud,2C,NA,NA,NA,0.5,0.575192200005404,v1,MR,1.96611285637283,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,1,tac,2C,NA,NA,NA,0.5,2.99273069999617,v1,MR,2.19722457733622,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,2,tac,1B,NA,NA,NA,0.5,NA,v1,MR,2.30258509299405,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,3,tac,0C,NA,NA,NA,0.15,3.13294119999773,v1,MR,2.39789527279837,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,4,tac,2A,NA,NA,NA,0.35,2.45535669999663,v1,MR,2.484906649788,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,5,tac,1C,NA,NA,NA,0.35,2.51796579999791,v1,MR,2.56494935746154,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,6,tac,2A,NA,NA,NA,0.35,NA,v1,MR,1.94591014905531,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,7,tac,1B,NA,NA,NA,0.5,2.15779809999367,v1,MR,2.01490302054226,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,8,tac,0A,NA,NA,NA,0.5,2.40315840000403,v1,MR,2.77258872223978,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,9,tac,1B,NA,NA,NA,0.5,2.36734330000036,v1,MR,1.73460105538811,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,10,tac,2C,NA,NA,NA,0.5,2.40268420000211,v1,MR,2.19722457733622,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,11,tac,0B,NA,NA,NA,0.35,NA,v1,MR,2.94443897916644,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,12,tac,1C,NA,NA,NA,0.35,1.81463909999729,v1,MR,2.30258509299405,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,13,tac,0A,NA,NA,NA,0.5,2.55410219999612,v1,MR,2.35137525716348,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,14,tac,2B,NA,NA,NA,0.15,2.19264419999672,v1,MR,3.09104245335832,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,15,tac,1A,NA,NA,NA,0.15,3.29750729999796,v1,MR,3.13549421592915,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,16,tac,0C,NA,NA,NA,0.15,2.06024439999601,v1,MR,2.484906649788,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,17,tac,1B,NA,NA,NA,0.5,2.91315739999118,v1,MR,1.83258146374831,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,18,tac,2C,NA,NA,NA,0.5,2.02408749999449,v1,MR,2.15948424935337,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,19,tac,0B,NA,NA,NA,0.35,2.59727510000084,v1,MR,2.60268968544438,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,20,tac,1C,NA,NA,NA,0.35,2.69924819999869,v1,MR,2.23359222150709,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,21,tac,0A,NA,NA,NA,0.5,2.51846109999315,v1,MR,2.26868354131836,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,22,tac,1C,NA,NA,NA,0.35,2.48894169999403,v1,MR,2.01490302054226,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,23,tac,0A,NA,NA,NA,0.5,2.14978419999534,v1,MR,2.04769284336526,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,24,tac,2C,NA,NA,NA,0.5,1.97279399999388,v1,MR,2.07944154167984,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,25,tac,0B,NA,NA,NA,0.35,2.21756449999521,v1,MR,2.39789527279837,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,26,tac,2A,NA,NA,NA,0.35,1.85513569999603,v1,MR,2.42774823594805,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,27,tac,1B,NA,NA,NA,0.5,2.1164340999967,v1,MR,1.94591014905531,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,28,tac,0A,NA,NA,NA,0.5,1.80341400000179,v1,MR,1.97408102602201,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,29,tac,2C,NA,NA,NA,0.5,2.03434189999825,v1,MR,2.00148000021012,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,30,tac,1A,NA,NA,NA,0.15,1.90787589999672,v1,MR,2.94443897916644,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,31,tac,2C,NA,NA,NA,0.5,1.91429510000307,v1,MR,1.87180217690159,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,32,tac,1B,NA,NA,NA,0.5,2.24418089999381,v1,MR,1.89711998488588,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,33,tac,0A,NA,NA,NA,0.5,0.960682600001746,v1,MR,1.92181259747625,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,34,tac,1C,NA,NA,NA,0.35,1.59052439999505,v1,MR,2.12823170584927,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,35,tac,2A,NA,NA,NA,0.35,1.79795949999971,v1,MR,2.37490575457367,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,36,tac,0B,NA,NA,NA,0.35,NA,v1,MR,2.39789527279837,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,37,tac,2C,NA,NA,NA,0.5,1.14017029999377,v1,MR,1.86075234071501,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,38,tac,0B,NA,NA,NA,0.35,1.2280791000012,v1,MR,2.21920348405499,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,39,tac,1C,NA,NA,NA,0.35,1.75832339999761,v1,MR,2.058388132482,NA,adults
