ID,filename,session,trial,mod2Type,stimPair,frequency,rewardAccurate,reactionTime,choice,choiceAccurate,reward,beliefPair,rewardPE,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,version,run,alphaT,model,mBIC
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,15,aud,0B,0.35,1,2.2603023000047,1,0,0,0.497394458091213,-0.497394458091213,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,16,aud,1A,0.15,1,2.57815980000305,1,0,0,0.536093918523671,-0.536093918523671,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,17,aud,2C,0.5,1,1.92112910000287,1,1,1,0.569582295138555,0.430417704861445,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,18,aud,0A,0.5,0,0.92652060000546,1,1,0,0.600653218279384,-0.600653218279384,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,19,aud,2C,0.5,1,1.03527120000217,1,1,1,0.600653218279384,0.399346781720616,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,20,aud,1B,0.5,1,2.27018460000545,1,1,1,0.569582295138555,0.430417704861445,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,21,aud,2A,0.35,1,1.85983740000665,0,1,1,0.536093918523671,0.536093918523671,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,22,aud,0B,0.35,0,1.63364990000264,1,0,1,0.461488628002274,0.538511371997726,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,23,aud,2C,0.5,1,0.933627200007322,1,1,1,0.629481198683612,0.370518801316388,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,24,aud,1B,0.5,0,NA,NA,NA,NA,0.600653218279384,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
