ID,session,version,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_alpha2,sim_alpha22,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,sim_delta1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,accuracy,probFB,model
182,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.651005970727579,NA,0.355657876055271,NA,2.66425692604182,14.6353535162604,2.35642956349557,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.624119323275019,NA,0.389927672673438,NA,2.67577648048944,14.625869304586,2.11231362067812,0.5,-95.5924811570715,NA,0.9772727272727273,0.95,CBCbothPairsRW_CBCdriftDiffusionLR_pwBelief
182,1,v3,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.850203004338329,NA,NA,NA,2.83034918111065,11.7031714734201,2.83931092567785,0.5,0.733638185974605,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.807762869012475,NA,NA,NA,2.86853894143413,14.9946118142084,3.04529010907988,0.5,-23.7049899898039,0.79187424866922,0.9318181818181818,0.95,CBCpearceHall_CBCdriftDiffusionLR
182,1,v3,CBCpearceHall,CBCdriftDiffusionLR_pwBelief,0.5,0.423776000597972,NA,NA,NA,1.99544066189522,6.96538669032853,3.68839578289648,0.5,0.234740550831042,CBCpearceHall,CBCdriftDiffusionLR_pwBelief,0.5,0.489297886709646,NA,NA,NA,1.9924524894485,8.07357381195631,4.38989086026407,0.5,-21.7838010363001,0.473921569587782,0.9318181818181818,0.95,CBCpearceHall_CBCdriftDiffusionLR_pwBelief
182,1,v3,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.955274080910305,0.49416128973712,NA,NA,0.854712916003157,2.48079052132699,3.03951060116187,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.840743280695975,0.452683131751442,NA,NA,0.83806497058888,3.38425810900896,3.28930631012714,0.5,47.5763249337496,NA,0.8863636363636364,0.95,CBCsimpleAsymRW_CBCdriftDiffusionLR
182,1,v3,CBCsimpleAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.756820848079974,0.0522776496409131,NA,NA,1.51518093923696,12.7833749545964,4.87044199791707,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.734838773590227,0.0415125113677259,NA,NA,1.53985023919512,13.2036805683461,4.57215549708521,0.5,-55.6229132755953,NA,0.9545454545454546,0.95,CBCsimpleAsymRW_CBCdriftDiffusionLR_pwBelief
182,1,v3,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.689636917991832,NA,NA,NA,2.42910872191276,10.1822931824811,4.60329588224976,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.719527320717349,NA,NA,NA,2.46230918959871,9.84630138085648,3.82559506688489,0.5,-8.30875600385912,NA,0.8863636363636364,0.95,CBCsimpleRW_CBCdriftDiffusionLR
182,1,v3,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.100988659252086,NA,NA,NA,2.1184374428813,11.2223932753834,4.52335748051558,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0699926958243827,NA,NA,NA,2.15067661537102,14.8580275658153,4.13981177399723,0.5,4.81036077213467,NA,0.9772727272727273,0.95,CBCsimpleRW_CBCdriftDiffusionLR_pwBelief
183,1,v1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.910634947991406,0.426040422588654,0.375093111020232,NA,2.48522661768839,0.896810969337207,4.40649544395293,0.5,NA,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.799888259486608,0.649568741688807,0.307757972252258,NA,2.62222036089864,0.847361867038576,4.08406614726214,0.5,81.469063753533,NA,0.9285714285714286,0.95,CBC2StepAsymRW_CBCdriftDiffusionLR
183,1,v1,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.458236360765757,NA,0.729932469106965,NA,1.19164930287176,1.01663549530786,4.26538284091583,0.5,NA,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.235793675206594,NA,0.898101321743985,NA,1.38173299148235,1.05788271406122,3.49492068604899,0.5,82.0170347013659,NA,0.8571428571428571,0.95,CBC2StepRW_CBCdriftDiffusionLR
183,1,v1,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.408088502450257,NA,NA,NA,0.530193836271285,14.272156883009,1.36186506980798,0.5,0.614651417162846,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.586413787429951,NA,NA,NA,0.526231408930344,14.9744330668063,1.49215723189295,0.5,-68.7498532468137,0.707174092047202,0.9047619047619048,0.95,CBCpearceHall_CBCdriftDiffusionLR
