ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,choicePE,update1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,version,run,alphaT,fit_delta1
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,1,0,1,aud,0.5,1,z,A,0A,1,z,2.97666150000441,1,1,1,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0829841953867453,0.499017205528886,0.5,0.190206785504416,0.5,0.190206785504416,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,2,1,0,aud,0.35,1,z,C,1C,0,z,2.41118660000939,1,0,0,2.30258509299405,0.690206785504416,0.474771023194807,0.474771023194807,0.474771023194807,0.5,0.5,0.474771023194807,0.5,0.5,0.5,0.114777889578589,0.499970288628159,-0.5,-0.0252289768051932,-0.5,-0.190206785504416,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,3,0,2,aud,0.35,0,z,B,0B,0,b,2.30901150000136,0,1,0,2.39789527279837,0.690206785504416,0.474771023194807,0.474771023194807,0.474771023194807,0.5,0.5,0.474771023194807,0.474771023194807,0.5,0.474771023194807,0.139827508295091,0.57398594625852,-0.525228976805193,0.0265019793464672,-0.474771023194807,-0.180609340345054,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,4,2,0,aud,0.5,1,z,C,2C,1,z,2.37695540000277,1,1,1,2.484906649788,0.690206785504416,0.474771023194807,0.474771023194807,0.501273002541274,0.5,0.5,0.474771023194807,0.474771023194807,0.5,0.5,0.117211386573786,0.500718233920511,0.5,0.190206785504416,0.5,0.190206785504416,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,5,1,2,aud,0.5,1,z,B,1B,1,z,2.37050400000589,1,1,1,2.56494935746154,0.690206785504416,0.474771023194807,0.450815048930888,0.501273002541274,0.5,0.474771023194807,0.450815048930888,0.450815048930888,0.690206785504416,0.5,0.117708825764791,0.501000472824437,0.5,0.190206785504416,0.5,0.190206785504416,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,6,2,1,aud,0.35,0,z,A,2A,0,z,2.71724350000295,1,0,1,2.63905732961526,0.690206785504416,0.450815048930888,0.450815048930888,0.475979792632907,0.690206785504416,0.450815048930888,0.450815048930888,0.428067844105069,0.690206785504416,0.450815048930888,0.0690876589050479,0.359626386895379,0.549184951069112,0.208917408380512,-0.450815048930888,-0.17149616262832,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,7,0,2,aud,0.35,1,z,B,0B,0,z,2.4682526000106,1,0,0,2.01490302054226,0.65538036353986,0.428067844105069,0.659732457311399,0.475979792632907,0.690206785504416,0.428067844105069,0.450815048930888,0.428067844105069,0.65538036353986,0.475979792632907,0.0954743824587707,0.429464156072638,-0.475979792632907,-0.0240169662961526,-0.475979792632907,-0.181069172643528,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,8,2,0,aud,0.5,1,z,C,2C,1,z,2.64726230000815,1,1,1,2.07944154167984,0.65538036353986,0.428067844105069,0.659732457311399,0.451962826336755,0.690206785504416,0.428067844105069,0.450815048930888,0.428067844105069,0.65538036353986,0.65538036353986,0.16182575466241,0.859719704022195,0.34461963646014,0.131097986545567,0.34461963646014,0.131097986545567,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,9,0,1,aud,0.5,1,z,A,0A,1,z,2.02688390000549,1,1,1,2.14006616349627,0.65538036353986,0.428067844105069,0.626443707585115,0.451962826336755,0.690206785504416,0.406468416685117,0.428067844105069,0.406468416685117,0.786478350085428,0.65538036353986,0.259047593549713,0.859842120665352,0.34461963646014,0.131097986545567,0.34461963646014,0.131097986545567,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,10,1,0,aud,0.35,1,z,C,1C,0,b,2.1064358000076,0,1,1,2.19722457733622,0.786478350085428,0.406468416685117,0.594834640048266,0.429157707011836,0.690206785504416,0.406468416685117,0.406468416685117,0.406468416685117,0.786478350085428,0.406468416685117,0.209413549063225,0.74902211248186,0.406468416685117,-0.154626101893491,-0.406468416685117,-0.154626101893491,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
