ID,filename,session,trial,mod2Type,stimPair,triplet,matchingPair,nonMatchingPair,frequency,reactionTime,version,run,simpleSurprise,nonMatchPairSurprise,group
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,31,aud,1B,NA,NA,NA,0.5,0.194881600000372,v1,MR,2.05412373369555,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,32,aud,0A,NA,NA,NA,0.5,0.561620000000403,v1,MR,1.74296930505862,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,33,aud,1C,NA,NA,NA,0.36,0.737039600000571,v1,MR,2.10413415427021,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,34,aud,0B,NA,NA,NA,0.36,1.58102880000115,v1,MR,2.35137525716348,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,35,aud,2C,NA,NA,NA,0.5,1.30701790000057,v1,MR,1.96944064646551,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,36,aud,0B,NA,NA,NA,0.36,0.957632699999522,v1,MR,2.17475172148416,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,37,aud,2C,NA,NA,NA,0.5,0.451885700000275,v1,MR,1.86075234071501,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,38,aud,1B,NA,NA,NA,0.5,1.61171990000003,v1,MR,2.03688192726104,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,39,aud,1B,NA,NA,NA,0.5,4.92739849999998,v1,MR,1.90423745265475,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,40,aud,2A,NA,NA,NA,0.36,2.63526970000021,v1,MR,2.484906649788,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,41,aud,0C,NA,NA,NA,0.14,0.681111099998816,v1,MR,3.19867311755068,NA,children
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,42,aud,2A,NA,NA,NA,0.36,2.37362399999984,v1,MR,2.30258509299405,NA,children
CBC_1032,CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv,2,1,tac,2A,NA,NA,NA,0.36,2.43629049999981,v1,MR,2.19722457733622,NA,children
CBC_1032,CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv,2,2,tac,1B,NA,NA,NA,0.5,2.37794150000082,v1,MR,2.30258509299405,NA,children
CBC_1032,CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv,2,3,tac,2A,NA,NA,NA,0.36,2.43933590000051,v1,MR,1.70474809223843,NA,children
