ID,filename,session,trial,mod2Type,stimPair,triplet,frequency,rewardAccurate,reactionTime,choice,choiceAccurate,choiceLeft,choiceRight,reward,beliefPair,beliefPairNorm,beliefOtherPair,beliefOtherPairNorm,rewardPE,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,fit_alpha22,version,run,alphaT,model,mBIC
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,13,aud,2A,NA,0.36,1,2.47998670000015,1,0,NA,NA,0,0.5,NA,NA,NA,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,14,aud,1C,NA,0.36,1,1.71766810000008,0,1,NA,NA,1,0.00265495792728437,NA,NA,NA,0.00265495792728432,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,15,aud,2A,NA,0.36,1,2.50963830000001,1,0,NA,NA,0,0.00265495792728437,NA,NA,NA,-0.00265495792728437,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,16,aud,1B,NA,0.5,1,NA,NA,NA,NA,NA,NA,0.999985902396809,NA,NA,NA,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,17,aud,2A,NA,0.36,1,2.32721239999955,0,1,NA,NA,1,1.40976031913001e-5,NA,NA,NA,1.40976031912654e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,18,aud,1B,NA,0.5,1,1.35207489999993,0,0,NA,NA,0,0.999985902396809,NA,NA,NA,-1.40976031912654e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,19,aud,0A,NA,0.5,1,2.53405399999974,1,1,NA,NA,1,0.999985902396809,NA,NA,NA,1.40976031912654e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,20,aud,2C,NA,0.5,1,NA,NA,NA,NA,NA,NA,0.999999925142913,NA,NA,NA,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,21,aud,2C,NA,0.5,1,0.986676100001205,0,0,NA,NA,0,0.999999925142913,NA,NA,NA,-7.48570867514786e-8,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,22,aud,0B,NA,0.36,1,2.21464470000137,1,0,NA,NA,0,1.40976031913556e-5,NA,NA,NA,-1.40976031913556e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
