ID,mask,task,hemisphere,beta
CBC_1069,unexpected,TV,wholeBrain,0.140256855808655
CBC_1072,unexpected,TV,wholeBrain,0.00394369538648087
CBC_1074,unexpected,TV,wholeBrain,-0.131440265886712
CBC_1075,unexpected,TV,wholeBrain,0.0549023666736153
CBC_1077,unexpected,TV,wholeBrain,-0.108911312235148
CBC_1080,unexpected,TV,wholeBrain,0.130200314611202
CBC_1083,unexpected,TV,wholeBrain,-0.0143195626500636
CBC_1084,unexpected,TV,wholeBrain,0.0416472881656436
CBC_1086,unexpected,TV,wholeBrain,0.206795637841592
CBC_1095,unexpected,TV,wholeBrain,-0.190627634834933
CBC_1098,unexpected,TV,wholeBrain,-0.473858218390642
CBC_1101,unexpected,TV,wholeBrain,-0.0839148343861318
CBC_1102,unexpected,TV,wholeBrain,-0.139623012789248
CBC_1104,unexpected,TV,wholeBrain,0.181616236010565
CBC_1105,unexpected,TV,wholeBrain,0.132023106980092
CBC_1106,unexpected,TV,wholeBrain,0.378567476464785
CBC_1107,unexpected,TV,wholeBrain,-0.285834176421463
CBC_1109,unexpected,TV,wholeBrain,0.204975004138783
CBC_1116,unexpected,TV,wholeBrain,-0.0649856542179101
CBC_1133,unexpected,TV,wholeBrain,-0.123326346099045
CBC_1142,unexpected,TV,wholeBrain,0.200898570529708
CBC_1143,unexpected,TV,wholeBrain,0.0133426279817614
CBC_1144,unexpected,TV,wholeBrain,-0.147266163379813
CBC_1149,unexpected,TV,wholeBrain,-0.332143034782865
