ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCsimpleRW_CBCsimpleSigmoid_pwBelief_startBelief,fitCBCsimpleRW_CBCsimpleSigmoid_pwBelief_alpha1,fitCBCsimpleRW_CBCsimpleSigmoid_pwBelief_beta,fit_CBCsimpleRW_CBCsimpleSigmoid_pwBelief_NLL
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,11,0,1,r,0,1,3,aud,B,63,1,0B,1B,0,1,r,2.52676439999959,0,1,1,1,1B,0B,B01,2.56494935746154,0.968749997105252,0.5,0.5,0.5,0.5,0.99218749891447,0.5,0.5,0.5,0.5,0.874999994210505,0.0312500028947478,0.5,0.5,0.5,0.968749997105252,0.99218749891447,0.00781250108553044,0.99218749891447,0.00781250108553044,0.804927927066447,0.804927927066447,0.00781250108553044,0.00585937572368695,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,12,2,0,b,1,0,0,aud,C,27,1,2C,0C,1,0,b,2.93466040000021,1,0,1,1,2C,0C,C20,3.29583686600433,0.968749997105252,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.874999994210505,0.0312500028947478,0.5,0.5,0.5,0.968749997105252,0.874999994210505,0.125000005789495,0.874999994210505,0.125000005789495,0.746477204059329,0.746477204059329,0.125000005789495,0.0937500028947476,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,13,2,3,r,0,1,1,aud,D,63,0,2D,3D,1,0,r,3.20244809999986,0,1,1,0,3D,2D,D23,2.63905732961526,0.968749997105252,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.0312500028947478,0.5,0.5,0.5,0.968749997105252,0.968749997105252,0.0312500028947478,0.968749997105252,0.0312500028947478,0.79411151022559,0.79411151022559,-0.968749997105252,-0.726562486611792,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,14,0,1,b,1,0,2,aud,A,63,1,0A,1A,1,0,b,3.22194690000015,1,0,1,1,0A,1A,A01,3.36729582998647,0.968749997105252,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.0312500028947478,0.5,0.5,0.5,0.24218751049346,0.968749997105252,0.0312500028947478,0.968749997105252,0.0312500028947478,0.79411151022559,0.79411151022559,0.0312500028947478,0.0234375018092173,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,15,3,2,r,0,1,0,aud,C,63,1,3C,2C,0,1,b,2.5822449999996,1,0,0,0,3C,2C,C32,3.40119738166216,0.99218749891447,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.0312500028947478,0.5,0.5,0.5,0.24218751049346,0.0010395012380887,0.998960498761911,0.0010395012380887,0.998960498761911,0.192027677981243,0.192027677981243,-0.0010395012380887,-0.000779625916530148,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,16,2,0,r,0,1,2,aud,A,27,1,2A,0A,0,1,r,2.55049800000052,0,1,1,1,0A,2A,A20,2.7408400239252,0.99218749891447,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.5,0.24218751049346,0.99218749891447,0.00781250108553044,0.99218749891447,0.00781250108553044,0.804927927066447,0.804927927066447,0.00781250108553044,0.00585937572368695,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,17,3,2,b,1,0,1,aud,D,63,1,3D,2D,1,0,r,2.89420020000034,0,1,0,0,2D,3D,D32,3.46573590279973,0.998046874638157,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.5,0.24218751049346,0.75781248950654,0.24218751049346,0.75781248950654,0.24218751049346,0.677528973328703,0.677528973328703,-0.75781248950654,-0.568359358355201,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,18,2,3,r,0,1,1,aud,D,63,1,2D,3D,0,1,r,3.51926300000014,0,1,1,1,3D,2D,D23,2.39789527279837,0.998046874638157,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.189453131151339,0.24218751049346,0.577579244546128,0.422420755453872,0.577579244546128,0.422420755453872,0.555621315994138,0.555621315994138,0.422420755453872,0.316815561699198,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,19,1,3,b,1,0,3,aud,B,27,1,1B,3B,1,0,b,3.14478270000018,1,0,1,1,1B,3B,B13,2.83321334405622,0.998046874638157,0.5,0.5,0.5,0.5,0.998046874638157,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.189453131151339,0.894394806245326,0.998046874638157,0.00195312536184344,0.998046874638157,0.00195312536184344,0.807563780212874,0.807563780212874,0.00195312536184344,0.00146484399876736,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,20,3,0,b,1,0,1,aud,D,9,1,3D,0D,1,0,b,2.31929440000022,1,0,1,1,3D,0D,D30,3.55534806148941,0.998046874638157,0.5,0.5,0.5,0.5,0.999511718636924,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.189453131151339,0.894394806245326,0.894394806245326,0.105605193754674,0.894394806245326,0.105605193754674,0.756901020561815,0.756901020561815,0.105605193754674,0.079203894093204,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,21,0,1,r,0,1,3,aud,B,63,1,0B,1B,0,1,r,3.1340022000004,0,1,1,1,1B,0B,B01,2.484906649788,0.998046874638157,0.5,0.5,0.5,0.5,0.999511718636924,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.189453131151339,0.97359870033853,0.999511718636924,0.000488281363076104,0.999511718636924,0.000488281363076104,0.808218488925541,0.808218488925541,0.000488281363076104,0.000366211016653273,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,22,0,1,b,1,0,2,aud,A,63,1,0A,1A,1,0,b,2.31202909999956,1,0,1,1,0A,1A,A01,2.91777073208428,0.998046874638157,0.5,0.5,0.5,0.5,0.999877929653577,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.189453131151339,0.97359870033853,0.998046874638157,0.00195312536184344,0.998046874638157,0.00195312536184344,0.807563780212874,0.807563780212874,0.00195312536184344,0.00146484399876736,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,23,3,2,r,0,1,0,aud,C,63,1,3C,2C,0,1,r,2.87545639999917,0,1,1,1,2C,3C,C32,2.94443897916644,0.999511718636924,0.5,0.5,0.5,0.5,0.999877929653577,0.5,0.5,0.5,0.5,0.968749997105252,0.00025987532155855,0.5,0.5,0.189453131151339,0.97359870033853,0.999991614815501,8.38518449941539e-06,0.999991614815501,8.38518449941539e-06,0.808432607640696,0.808432607640696,8.38518449941539e-06,6.28888827746957e-06,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,24,2,0,r,0,1,2,aud,A,27,1,2A,0A,0,1,r,2.53492809999989,0,1,1,1,0A,2A,A20,2.56494935746154,0.999511718636924,0.5,0.5,0.5,0.5,0.999877929653577,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.97359870033853,0.999511718636924,0.000488281363076104,0.999511718636924,0.000488281363076104,0.808218488925541,0.808218488925541,0.000488281363076104,0.000366211016653273,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,25,0,1,r,0,1,3,aud,B,63,1,0B,1B,0,1,r,3.57656150000003,0,1,1,1,1B,0B,B01,2.30258509299405,0.999877929653577,0.5,0.5,0.5,0.5,0.999877929653577,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.97359870033853,0.999877929653577,0.000122070346422865,0.999877929653577,0.000122070346422865,0.808381900410876,0.808381900410876,0.000122070346422865,9.1552758403697e-05,0.5,0.749999988421009,1.43988180305045,21.923461270794
