ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,choicePE,update1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,1,0,2,aud,0.5,1,b,A,0A,1,b,1.64207890000398,1,1,1,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.217058817371932,0.5001839945819,0.5,0.216007188132182,0.5,0.216007188132182,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,2,2,1,aud,0.5,1,b,C,2C,1,z,1.61299010000221,0,0,0,2.30258509299405,0.716007188132182,0.496654088390497,0.496654088390497,0.496654088390497,0.5,0.5,0.496654088390497,0.5,0.5,0.5,0.222401034498516,0.499900724900492,-0.5,0.00334591160950265,0.5,0.216007188132182,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,3,0,0,aud,0.36,1,b,B,0B,0,z,2.33654690000185,0,1,1,2.39789527279837,0.716007188132182,0.496654088390497,0.496654088390497,0.496654088390497,0.5,0.5,0.496654088390497,0.5,0.503345911609503,0.496654088390497,0.119679041038286,0.50325034146986,0.496654088390497,-0.214561706215167,-0.496654088390497,-0.214561706215167,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,4,1,1,aud,0.36,1,b,C,1C,0,z,1.53931650000231,0,1,1,2.484906649788,0.716007188132182,0.496654088390497,0.496654088390497,0.28209238217533,0.5,0.5,0.496654088390497,0.5,0.503345911609503,0.5,0.236762781413447,0.499897176253109,0.5,-0.216007188132182,-0.5,-0.216007188132182,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,5,2,0,aud,0.14,1,b,B,2B,0,b,1.47865660000025,1,0,0,2.56494935746154,0.716007188132182,0.496654088390497,0.496654088390497,0.28209238217533,0.5,0.5,0.496654088390497,0.283992811867818,0.503345911609503,0.5,0.248977131576283,0.499625863165072,-0.5,-0.00334591160950265,-0.5,-0.216007188132182,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,6,0,2,aud,0.5,1,b,A,0A,1,b,1.74551300000167,1,1,1,1.94591014905531,0.716007188132182,0.496654088390497,0.496654088390497,0.28209238217533,0.5,0.496654088390497,0.496654088390497,0.283992811867818,0.503345911609503,0.716007188132182,0.262516266903454,0.655952685951028,0.283992811867818,0.122688977482638,0.283992811867818,0.122688977482638,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,7,1,0,aud,0.5,1,b,B,1B,1,z,2.04189419999966,0,0,0,2.70805020110221,0.838696165614821,0.493330567029992,0.493330567029992,0.280204669822385,0.5,0.496654088390497,0.493330567029992,0.283992811867818,0.503345911609503,0.5,0.153671165187828,0.500328464389774,-0.5,0.00334591160950265,0.5,0.216007188132182,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,8,1,0,aud,0.5,1,b,B,1B,1,b,2.03643799999918,1,1,1,2.07944154167984,0.838696165614821,0.493330567029992,0.493330567029992,0.280204669822385,0.503345911609503,0.496654088390497,0.493330567029992,0.283992811867818,0.503345911609503,0.503345911609503,0.154637049917697,0.501095099744057,0.496654088390497,0.214561706215167,0.496654088390497,0.214561706215167,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,9,2,2,aud,0.36,1,b,A,2A,0,b,3.03706840000086,1,0,0,2.83321334405622,0.838696165614821,0.490029286086896,0.493330567029992,0.278329589706794,0.71790761782467,0.493330567029992,0.493330567029992,0.28209238217533,0.503345911609503,0.493330567029992,0.0640562098930751,0.494957162152151,-0.493330567029992,-0.00330128094309635,-0.493330567029992,-0.213125897207607,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
CBC_1057,CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv,2,10,0,0,aud,0.36,1,b,B,0B,0,b,1.08090459999949,1,0,0,2.19722457733622,0.838696165614821,0.490029286086896,0.490029286086896,0.278329589706794,0.71790761782467,0.493330567029992,0.493330567029992,0.28209238217533,0.503345911609503,0.278329589706794,0.227092418465774,0.338432961124245,-0.278329589706794,-0.00186253241093614,-0.278329589706794,-0.120242384093097,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.432014376264364,0.0066918232190053,0.142294353543729,0.567036844467194,0.630742926077066,2.38366301472279,0.5,69.2940058855896
