ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,choicePE,update1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,1,0,2,aud,0.5,0,z,A,0A,1,z,1.35625100000016,1,1,0,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.175534933588946,0.500281481335094,-0.5,-0.0249779794682689,0.5,0.124673270955508,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,2,1,1,aud,0.35,1,z,C,1C,0,b,3.37675220000028,0,1,1,2.30258509299405,0.475022020531731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0834613150399203,0.49935201195864,0.5,-0.124673270955508,-0.5,-0.124673270955508,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,3,0,0,aud,0.35,1,z,B,0B,0,z,2.36919679999983,1,0,0,2.39789527279837,0.475022020531731,0.5,0.5,0.5,0.5,0.5,0.5,0.375326729044492,0.5,0.5,0.135924612456193,0.499274901872402,-0.5,-0.0249779794682689,-0.5,-0.124673270955508,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,4,2,1,aud,0.5,1,z,C,2C,1,z,2.43122730000005,1,1,1,2.484906649788,0.475022020531731,0.5,0.5,0.475022020531731,0.5,0.5,0.5,0.375326729044492,0.5,0.5,0.13227215247879,0.5003471158819,0.5,0.124673270955508,0.5,0.124673270955508,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,5,1,0,aud,0.5,1,z,B,1B,1,None,NaN,NaN,NaN,NaN,2.56494935746154,0.475022020531731,0.5,0.475022020531731,0.475022020531731,0.5,0.475022020531731,0.475022020531731,0.35657692238056,0.624673270955508,0.5,NaN,NaN,0,0,0,0,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,6,2,2,aud,0.35,1,z,A,2A,0,z,2.47646239999995,1,0,0,2.63905732961526,0.475022020531731,0.5,0.475022020531731,0.475022020531731,0.5,0.475022020531731,0.475022020531731,0.35657692238056,0.624673270955508,0.475022020531731,0.106481679348185,0.409602653158332,-0.475022020531731,-0.0237301805516343,-0.475022020531731,-0.118445098151171,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,7,0,0,aud,0.35,1,z,B,0B,0,z,3.1716964000002,1,0,0,2.01490302054226,0.475022020531731,0.5,0.451291839980097,0.475022020531731,0.5,0.475022020531731,0.475022020531731,0.35657692238056,0.624673270955508,0.475022020531731,0.0758498113051019,0.410540504739482,-0.475022020531731,-0.0237301805516343,-0.475022020531731,-0.118445098151171,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,8,2,1,aud,0.5,1,z,C,2C,1,z,2.85792790000005,1,1,1,2.07944154167984,0.475022020531731,0.5,0.451291839980097,0.451291839980097,0.5,0.475022020531731,0.475022020531731,0.35657692238056,0.624673270955508,0.624673270955508,0.186923664006476,0.85844537507274,0.375326729044492,0.093586421974017,0.375326729044492,0.093586421974017,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,9,0,2,aud,0.5,1,z,A,0A,1,z,3.42378860000008,1,1,1,2.14006616349627,0.475022020531731,0.5,0.428747123353657,0.451291839980097,0.5,0.451291839980097,0.451291839980097,0.3387637802884,0.718259692929525,0.475022020531731,0.0670017088463116,0.410774427626308,0.524977979468269,0.130901443759845,0.524977979468269,0.130901443759845,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
CBC_P021,CBC_P021_AV_prob0.9_Vset2_Aset4_2023-04-02_11h40.48.975.csv,1,10,1,1,aud,0.35,1,z,C,1C,0,None,NaN,NaN,NaN,NaN,2.19722457733622,0.605923464291576,0.475022020531731,0.407328649665243,0.428747123353657,0.5,0.451291839980097,0.428747123353657,0.3387637802884,0.718259692929525,0.3387637802884,NaN,NaN,0,0,0,0,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.249346541911016,0.0499559589365377,0.160309222979378,0.686636130713991,2.2720795458187,3.17899914248235,0.5,58.8024442432387
