trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,220.66704489999938,None,t,80.70599140000013,220.66704489999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
,,,,,,,,,,None,301.3996449999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
0,0,0,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.71372710086949,2.6299100644723,None,301.59948579999946,None,304.1993773299999,304.1993773299999,304.2160287299992,None,[],['z'],[0.47708219999913126],306.1967298999989,None,z,2.4770821999991313,1,1,1.0,None,309.9235625000001,None,309.9235625000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
1,0,1,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.190022164497369,3.33124983260532,None,311.7325727999996,None,315.0345092299993,315.0345092299993,315.05003302999995,None,[],"['b', 'z']","[0.6960127999991528, 2.0692834000001312]",317.0408063999985,None,b,2.6960127999991528,0,0,0.5,None,321.2372383999991,None,321.2372383999991,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
2,0,2,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,3.2062024266105302,0.952147612306987,None,323.0502792999996,None,323.98368122999983,323.98368122999983,324.0001579299986,None,[],['b'],[1.922447099999772],325.98836049999954,None,b,3.922447099999772,1,1,0.6666666666666666,None,329.19333019999976,None,329.19333019999976,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
3,0,3,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.77034425507967,1.21250262048173,None,331.00029539999923,None,332.19984732999893,332.19984732999893,332.21575362999994,None,[],['z'],[1.2599775000016962],334.1957251999993,None,z,3.259977500001696,0,0,0.5,None,338.97159250000004,None,338.97159250000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
4,0,4,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,2.2759877950103027,1.96568735158996,None,340.78373909999937,None,342.7336935299989,342.7336935299989,342.7500691299991,None,[],['b'],[0.9686155999988841],344.7366676999991,None,b,2.968615599998884,0,0,0.4,None,347.01317949999975,None,347.01317949999975,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
5,0,5,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.526044641065533,1.36309078069689,None,348.8171199999997,None,350.16576112999957,350.16576112999957,350.18288682999975,None,[],['z'],[0.832534700000906],352.1642075999989,None,z,2.832534700000906,0,0,0.3333333333333333,None,354.700761099999,None,354.700761099999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
6,0,6,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,3.76873691643126,2.40378712856304,None,356.5003801999992,None,358.8836587299991,358.8836587299991,358.9003754299991,None,[],['z'],[0.5104400000018359],360.8880045999995,None,z,2.510440000001836,1,1,0.42857142857142855,None,364.65485420000005,None,364.65485420000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
7,0,7,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,4.01714354611405,3.1963008326951,None,366.4671550000003,None,369.65038622999947,369.65038622999947,369.66699812999997,None,[],['b'],[0.4886968999999226],371.65728879999915,None,b,2.4886968999999226,1,1,0.5,None,375.67996649999986,None,375.67996649999986,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
8,0,8,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.342239579230602,1.53243550275999,None,377.4837759999991,None,379.00052363000015,379.00052363000015,379.017230629999,z,['z'],None,,381.04526559999977,None,z,1.7129172000004473,1,1,0.5555555555555556,None,383.3830256000001,None,383.3830256000001,None,1.7129172000004473,[1.7129172000004473],,,,,,,,,,,,,,,,,,,,,,CBC_1093,3,2,2,7,22,0.95,2024-05-05_15h13.09.552,MSI_TV_v3,2022.1.1,59.99167315565334,
