trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.31929419319838,0.77703640172831,None,261.73415260000183,None,262.48540119000535,262.48540119000535,262.5020176900027,None,[],['z'],[0.5063233999971999],264.4856480000017,None,z,2.5063233999972,1,1,0.5,None,267.80785950000427,None,267.80785950000427,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
20,0,20,0,,,,,,,,,,1,0.0,3.0,z,9.0,1.0,3.73326136168326,3.06992456303453,None,269.61775740000303,None,272.6687964900004,272.6687964900004,272.6853719899984,None,[],['z'],[0.325852499998291],274.6696305000005,None,z,2.325852499998291,1,1,0.5238095238095238,None,278.42045820000203,None,278.42045820000203,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
21,0,21,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,3.2062024266105302,0.80788063606262,None,280.2355308999977,None,281.01872279000526,281.01872279000526,281.03524579000367,None,[],['b'],[0.4623239999928046],283.0255453999998,None,b,2.4623239999928046,1,1,0.5454545454545454,None,286.2348359000025,None,286.2348359000025,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
22,0,22,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,3.35133458220192,0.952147612306987,None,288.0362434999988,None,288.96890819000254,288.96890819000254,288.9854979900003,None,[],['z'],[0.4589966999919852],290.9747877000045,None,z,2.4589966999919852,1,1,0.5652173913043478,None,294.32668820000254,None,294.32668820000254,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
23,0,23,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,4.82531807167306,1.12425433982333,None,296.13525310000114,None,297.2355478900019,297.2355478900019,297.25238269000255,None,[],['z'],[0.47703969999565743],299.2427792000017,None,z,2.4770396999956574,1,1,0.5833333333333334,None,304.0662830000001,None,304.0662830000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
24,0,24,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.342239579230602,1.25817747924478,None,305.8691147999998,None,307.10218168999853,307.10218168999853,307.11883529000187,None,[],['z'],[0.6652996999910101],309.1076996000047,None,z,2.66529969999101,1,1,0.6,None,311.4507569999987,None,311.4507569999987,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
25,0,25,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.678526077912375,2.49839527409216,None,313.25290959999984,None,315.7356236900043,315.7356236900043,315.75211049000353,None,[],['b'],[0.43587819999083877],317.7414288,None,b,2.4358781999908388,1,1,0.6153846153846154,None,320.4179837999982,None,320.4179837999982,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
26,0,26,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,4.01714354611405,2.10421507306074,None,322.21898099999817,None,324.3023884899987,324.3023884899987,324.31919499000213,None,[],['b'],[1.0241167999993195],326.3077317999996,None,b,3.0241167999993195,1,1,0.6296296296296297,None,330.32497570000123,None,330.32497570000123,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
27,0,27,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.629554641171433,2.40378712856304,None,332.1355363000039,None,334.5197294900019,334.5197294900019,334.53585868999943,None,[],['z'],[1.5353273999935482],336.5245576000016,None,z,3.535327399993548,1,1,0.6428571428571429,None,339.152465799998,None,339.152465799998,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
28,0,28,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,4.40017271499661,1.53122835510861,None,340.95135429999937,None,342.45250469000456,342.45250469000456,342.4690617900007,None,[],['b'],[0.577535699994769],344.4595502000011,None,b,2.577535699994769,1,1,0.6551724137931034,None,348.85973450000165,None,348.85973450000165,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
29,0,29,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.792365600763554,1.25920145784721,None,350.6690598999994,None,351.90224109000263,351.90224109000263,351.91906629000295,None,[],['z'],[0.4931817999968189],353.9033930000005,None,z,2.493181799996819,1,1,0.6666666666666666,None,356.6974179000026,None,356.6974179000026,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
30,0,30,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.517541937862754,1.78643585472448,None,358.50260379999963,None,360.26913409000116,360.26913409000116,360.2856869900017,None,[],['b'],[0.3909053999959724],362.2754222000003,None,b,2.3909053999959724,1,1,0.6774193548387096,None,364.78919419999875,None,364.78919419999875,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
31,0,31,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.92731383428727,1.90743690794447,None,366.60118689999945,None,368.4858891900032,368.4858891900032,368.5026142900053,None,[],['b'],[0.42130299999553245],370.4905241000015,None,b,2.4213029999955324,1,1,0.6875,None,373.4200523000036,None,373.4200523000036,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
32,0,32,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,4.61004669244928,1.95130344756745,None,375.21910899999784,None,377.15246718999987,377.15246718999987,377.1691307899993,None,[],['z'],[0.47525169999426],379.15794050000113,None,z,2.47525169999426,1,1,0.696969696969697,None,383.7749441999986,None,383.7749441999986,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
