trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,36.45214620000024,None,t,70.34782769999947,36.45214620000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
,,,,,,,,,,None,106.83092240000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
0,0,0,0,,,,,,,,,,2,1,3,b,27,1,2.792365600763554,1.52290599571961,None,107.03116099999988,None,108.53137543000048,108.53137543000048,108.54800973000056,b,['b'],1.7934465999996974,[1.7934465999996974],None,110.57807120000052,None,b,1.7934465999996974,1,1,1.0,None,113.39995050000016,None,113.39995050000016,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
1,0,1,0,,,,,,,,,,3,3,2,z,63,1,2.2759877950103027,2.10421507306074,None,115.18056830000023,None,117.26466402999995,117.26466402999995,117.28112303000034,z,['z'],1.5830814999990253,[1.5830814999990253],None,119.30565070000011,None,z,1.5830814999990253,1,1,1.0,None,121.57707130000017,None,121.57707130000017,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
2,0,2,0,,,,,,,,,,1,3,2,b,63,1,4.53337421950507,2.09887870490381,None,123.38131040000007,None,125.46354323000014,125.46354323000014,125.48015783000028,None,[],,,['b'],127.4596304000006,None,b,2.367555099999663,1,1,1.0,None,131.98899880000045,None,131.98899880000045,None,[0.36755509999966307],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
3,0,3,0,,,,,,,,,,2,0,1,z,63,1,4.77034425507967,3.4543169006169,None,133.79790250000042,None,137.23128533,137.23128533,137.2478230300003,None,[],,,['b'],139.23660689999997,None,b,2.1691123999999036,0,0,0.75,None,144.01912960000027,None,144.01912960000027,None,[0.16911239999990357],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
4,0,4,0,,,,,,,,,,0,0,3,b,9,1,2.592312596923728,3.33124983260532,None,145.8303463000002,None,149.13113333,149.13113333,149.14788843000042,None,[],,,['b'],151.13035320000017,None,b,2.8455321999999796,1,1,0.8,None,153.7254227000003,None,153.7254227000003,None,[0.8455321999999796],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
5,0,5,0,,,,,,,,,,1,3,2,b,63,1,4.190022164497369,2.40378712856304,None,155.5312840000006,None,157.91426322999996,157.91426322999996,157.93095433000053,None,[],,,['b'],159.91883870000038,None,b,3.0292658999997,1,1,0.8333333333333334,None,164.11873079999987,None,164.11873079999987,None,[1.0292658999997002],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
6,0,6,0,,,,,,,,,,3,0,2,z,27,1,2.91303524001082,0.974903167432984,None,165.9311462000005,None,166.88156503000027,166.88156503000027,166.89816453000003,None,[],,,['b'],168.87802680000004,None,b,2.9926181000000724,0,0,0.7142857142857143,None,171.7916868000002,None,171.7916868000002,None,[0.9926181000000724],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
7,0,7,0,,,,,,,,,,0,0,1,b,63,1,4.01714354611405,1.1243895841892,None,173.59811319999972,None,174.69816722999985,174.69816722999985,174.7147078300004,b,['b'],1.9066597999990336,[1.9066597999990336],None,176.71524969999973,None,b,1.9066597999990336,1,1,0.75,None,180.7430417000005,None,180.7430417000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
8,0,8,0,,,,,,,,,,2,1,0,b,63,1,4.40017271499661,1.43470440954152,None,182.54797690000032,None,183.9649149300003,183.9649149300003,183.98142922999978,None,[],,,['z'],185.96907230000033,None,z,2.7337751999993998,0,0,0.6666666666666666,None,190.37545020000016,None,190.37545020000016,None,[0.7337751999993998],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
9,0,9,0,,,,,,,,,,1,1,3,z,27,1,2.629554641171433,1.96568735158996,None,192.18006260000038,None,194.13108813000053,194.13108813000053,194.1478768300003,None,[],,,['b'],196.13577030000033,None,b,2.955301999999392,0,0,0.6,None,198.77251930000057,None,198.77251930000057,None,[0.9553019999993921],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
10,0,10,0,,,,,,,,,,3,3,2,z,63,1,4.72585056748869,2.78346932462847,None,200.5815558000004,None,203.34781012999974,203.34781012999974,203.36449003000052,z,['z'],1.992079499999818,[1.992079499999818],None,205.38902460000008,None,z,1.992079499999818,1,1,0.6363636363636364,None,210.11350990000028,None,210.11350990000028,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
11,0,11,0,,,,,,,,,,2,1,0,b,63,1,3.26539063535182,1.53122835510861,None,211.91498930000034,None,213.43137312999988,213.43137312999988,213.44783732999986,None,[],,,['b'],215.4335968000005,None,b,4.045802399999957,1,1,0.6666666666666666,None,218.7116104000006,None,218.7116104000006,None,[2.045802399999957],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
12,0,12,0,,,,,,,,,,0,0,1,b,63,1,3.7500315165247198,3.06992456303453,None,220.51360600000044,None,223.5646185300002,223.5646185300002,223.5815553299999,None,[],,,['z'],225.56252060000043,None,z,3.464652699999533,0,0,0.6153846153846154,None,229.31445780000013,None,229.31445780000013,None,[1.464652699999533],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
13,0,13,0,,,,,,,,,,3,1,2,z,9,1,4.12485271162806,1.95130344756745,None,231.1149862000002,None,233.0475840300005,233.0475840300005,233.0638387300005,b,['b'],1.4294386000001396,[1.4294386000001396],None,235.08126429999993,None,b,1.4294386000001396,0,0,0.5714285714285714,None,239.20798449999984,None,239.20798449999984,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
14,0,14,0,,,,,,,,,,0,1,0,z,63,1,2.678526077912375,1.90743690794447,None,241.01400360000025,None,242.89818132999972,242.89818132999972,242.91498973000034,None,[],,,['z'],244.90158080000037,None,z,3.325111299999662,1,1,0.6,None,247.58831139999984,None,247.58831139999984,None,[1.3251112999996622],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
15,0,15,0,,,,,,,,,,1,3,1,b,27,1,2.7134565917469198,1.25920145784721,None,249.39803610000035,None,250.6315247299999,250.6315247299999,250.6482138299998,None,[],,,['b'],252.63546599999972,None,b,2.6671666000002006,1,1,0.625,None,255.35674480000034,None,255.35674480000034,None,[0.6671666000002006],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
16,0,16,0,,,,,,,,,,2,0,1,z,63,1,2.6391747348430608,0.80788063606262,None,257.16499790000034,None,257.9484660300004,257.9484660300004,257.9652330300005,None,[],,,['z'],259.9514672000005,None,z,3.333088299999872,1,1,0.6470588235294118,None,262.5987892000003,None,262.5987892000003,None,[1.333088299999872],,,,,,,,,,,,,,,,,,,,,,,CBC_1028,001,6,3,1,3,0.95,2023-07-21_13h48.20.813,MSI_TV_v3,2022.1.1,60.32130747670652,
