trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.820930099998805,None,t,54.338426600001185,28.820930099998805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
,,,,,,,,,,None,83.18415079999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
0,0,0,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,2.629554641171433,1.12425433982333,None,83.38417429999936,None,84.48401055999929,84.48401055999929,84.50085245999944,b,['b'],1.616073500001221,[1.616073500001221],None,86.5057111999995,None,b,1.616073500001221,0,0,0.0,None,89.1504950999988,None,89.1504950999988,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
1,0,1,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.678526077912375,1.78643585472448,None,90.93395199999941,None,92.70086435999983,92.70086435999983,92.71749895999855,None,[],,,['z'],94.69456119999995,None,z,2.408021999999619,1,1,0.5,None,97.37931469999967,None,97.37931469999967,None,[0.40802199999961886],,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
2,0,2,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.46924002178158,1.96568735158996,None,99.18402869999954,None,101.1340241599988,101.1340241599988,101.15056736000005,z,['z'],1.6842606000009255,[1.6842606000009255],None,103.16184909999902,None,z,1.6842606000009255,0,0,0.3333333333333333,None,107.62693930000023,None,107.62693930000023,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
3,0,3,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,3.26539063535182,1.52290599571961,None,109.43390720000025,None,110.93354856000005,110.93354856000005,110.95060186000009,None,[],,,['z'],112.92616799999996,None,z,2.282448399999339,1,1,0.5,None,116.22232900000017,None,116.22232900000017,None,[0.282448399999339],,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
4,0,4,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,2.693348633324513,2.6299100644723,None,118.01729749999868,None,120.63418905999933,120.63418905999933,120.65090285999904,z,['z'],1.8785353999992367,[1.8785353999992367],None,122.66371149999941,None,z,1.8785353999992367,1,1,0.6,None,125.36043069999869,None,125.36043069999869,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
5,0,5,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.526044641065533,3.1424449555106,None,127.17462929999965,None,130.28407235999984,130.28407235999984,130.30082446000014,None,[],,,['b'],132.27681080000002,None,b,2.7973829000002297,1,1,0.6666666666666666,None,134.81251359999987,None,134.81251359999987,None,[0.7973829000002297],,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
6,0,6,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.11514536789087,0.979776149765883,None,136.61756219999916,None,137.58421366000002,137.58421366000002,137.60092995999875,None,[],,,['z'],139.5772249999991,None,z,2.446337700001095,1,1,0.7142857142857143,None,143.7028449999998,None,143.7028449999998,None,[0.4463377000010951],,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
7,0,7,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.01714354611405,1.64421109900286,None,145.51756919999934,None,147.13404785999919,147.13404785999919,147.15073645999982,None,[],,,['b'],149.12754649999988,None,b,2.5036448999999266,1,1,0.75,None,153.1442447999998,None,153.1442447999998,None,[0.5036448999999266],,,,,,,,,,,,,,,,,,,,,CBC_1021,002,2,3,3,20,0.95,2023-07-18_14h49.36.888,MSI_TV_v3,2022.1.1,59.97418710946416,
