trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,40.14643220000016,None,t,53.8890494999996,40.14643220000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
,,,,,,,,,,None,94.05961630000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.53337421950507,1.38289892513751,None,94.25984450000033,None,95.62672730999967,95.62672730999967,95.64286361000032,None,[],['z'],[1.7255239999994956],97.63582580000002,None,z,3.7255239999994956,0,0,0.0,None,102.18108349999966,None,102.18108349999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.26539063535182,1.36309078069689,None,103.97601909999958,None,105.32634401000033,105.32634401000033,105.34312930999968,None,[],['z'],[2.844211799999357],107.33062989999962,None,z,4.844211799999357,0,0,0.0,None,110.6016483000003,None,110.6016483000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.517541937862754,1.1243895841892,None,112.40976709999995,None,113.50976611000024,113.50976611000024,113.52639390999994,None,[],None,,115.51305320000029,None,None,[],0,3,0.0,None,118.03677289999996,['b'],118.03677289999996,None,[0.17023060000065016],,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.31929419319838,1.53243550275999,None,119.8428087000002,None,121.35985500999996,121.35985500999996,121.37644470999967,None,[],['b'],[1.6057888999994248],123.36355689999982,None,b,3.6057888999994248,0,0,0.0,None,126.67999200000031,None,126.67999200000031,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
4,0,4,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.12485271162806,2.22427187882546,None,128.4933176000004,None,130.6928636099996,130.6928636099996,130.70943841000044,None,[],['b'],[1.0253933999993023],132.6983968000004,None,b,3.0253933999993023,1,1,0.2,None,136.80986099999973,None,136.80986099999973,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
5,0,5,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.666404967794728,2.15533949826702,None,138.6099733000001,None,140.74284340999967,140.74284340999967,140.75950290999972,None,[],['z'],[2.1621150000000853],142.7458256,None,z,4.162115000000085,1,1,0.3333333333333333,None,145.4094613999996,None,145.4094613999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,3.6438386551209,1.95130344756745,None,147.20992490000026,None,149.1429245100002,149.1429245100002,149.15981900999978,None,[],['b'],[1.213906400000269],151.14736900000025,None,b,3.213906400000269,1,1,0.42857142857142855,None,154.80154479999965,None,154.80154479999965,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.592312596923728,2.49839527409216,None,156.61004109999976,None,159.09296691,159.09296691,159.1095966099996,None,[],['z'],[0.6983185999997659],161.09929569999986,None,z,2.698318599999766,1,1,0.5,None,163.68824529999983,None,163.68824529999983,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,002,2,3,3,12,0.9,2024-03-20_14h28.58.206,MSI_TV_v3,2022.1.1,60.07644126379946,
