trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,258.19942360000005,None,t,70.77967099999933,258.19942360000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
,,,,,,,,,,None,328.99692909999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
0,0,0,0,,,,,,,,,,1,3,1,r,27,1,3.6438386551209,2.22427187882546,None,329.1969760999991,None,331.3960784900003,331.3960784900003,331.4136207900004,None,[],['b'],[0.46447120000084396],333.4019813999994,None,b,2.464471200000844,0,0,0.0,None,337.06613070000003,None,337.06613070000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
1,0,1,0,,,,,,,,,,0,2,3,b,63,1,3.71372710086949,2.09887870490381,None,338.86267449999923,None,340.9304585900002,340.9304585900002,340.9469887899989,None,[],['b'],[0.6356704999998328],342.9359505000002,None,b,2.635670499999833,1,1,0.5,None,346.6515757999996,None,346.6515757999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
2,0,2,0,,,,,,,,,,3,2,3,r,63,1,2.82320408183943,1.64421109900286,None,348.46375069999976,None,350.0803305900002,350.0803305900002,350.0969914899991,r,['r'],None,,352.12445949999983,None,r,1.4875618999994913,1,1,0.6666666666666666,None,354.9448517999999,None,354.9448517999999,None,1.4875618999994913,[1.4875618999994913],,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
3,0,3,0,,,,,,,,,,1,1,0,b,63,1,2.592312596923728,1.90743690794447,None,356.7461467000003,None,358.63073109000044,358.63073109000044,358.6471565900004,None,[],['b'],[0.44850489999953425],360.63462119999986,None,b,2.4485048999995342,1,1,0.75,None,363.2252024999989,None,363.2252024999989,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
4,0,4,0,,,,,,,,,,2,3,0,r,9,1,4.46924002178158,0.952147612306987,None,365.03039160000026,None,365.96434248999986,365.96434248999986,365.9805637900002,None,[],['b'],[0.6571889000006195],367.9702993000001,None,b,2.6571889000006195,0,0,0.6,None,372.4470597999998,None,372.4470597999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
5,0,5,0,,,,,,,,,,3,2,3,r,63,1,4.61004669244928,1.43470440954152,None,374.2470607999994,None,375.6638286899991,375.6638286899991,375.6804332900004,None,[],['r'],[0.1094703999988269],377.6667088999993,None,r,2.109470399998827,1,1,0.6666666666666666,None,382.2738313999989,None,382.2738313999989,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
6,0,6,0,,,,,,,,,,0,2,0,b,27,1,2.433630701072358,2.40378712856304,None,384.08031199999914,None,386.4637857899991,386.4637857899991,386.4802568899989,None,[],['r'],[0.8862093999996432],388.46764879999955,None,r,2.886209399999643,0,0,0.5714285714285714,None,390.9113052999992,None,390.9113052999992,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
7,0,7,0,,,,,,,,,,2,1,0,r,63,1,4.77723667052879,3.4543169006169,None,392.7126333999995,None,396.1469931900004,396.1469931900004,396.1635602899999,None,[],['b'],[1.1414131999990786],398.1518451999991,None,b,3.1414131999990786,0,0,0.5,None,402.9351558999997,None,402.9351558999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
8,0,8,0,,,,,,,,,,1,0,1,r,63,1,4.77034425507967,2.78346932462847,None,404.7469742000003,None,407.51362888999876,407.51362888999876,407.53019238999997,None,[],['r'],[1.1599456000003556],409.51795089999996,None,r,3.1599456000003556,1,1,0.5555555555555556,None,414.29264520000015,None,414.29264520000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,003,1,3,5,14,0.95,2024-06-07_15h09.59.248,MSI_TV_v3,2022.1.1,59.82818541715423,
