trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,218.00197740000112,None,t,58.96671250000145,218.00197740000112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
,,,,,,,,,,None,276.9953766000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
0,0,0,0,,,,,,,,,,0,1,0,z,63,1,4.82531807167306,2.22427187882546,None,277.1952431000009,None,279.5704773999987,None,279.5704773999987,None,279.5779007999987,None,['b'],[1.2671506999995472],279.5704773999987,None,None,281.42485900000065,None,b,1.2671506999995472,0,0,0.0,286.26548699999876,None,None,286.26548699999876,None,,,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,4.53337421950507,3.1963008326951,None,288.06192589999955,None,291.3558510000021,None,291.3558510000021,None,291.36194310000104,None,None,,291.3558510000021,None,['b'],293.26177479999933,None,b,2.121040699998048,1,1,0.5,297.77708919999895,None,None,297.77708919999895,None,[0.12104069999804778],,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
2,0,2,0,,,,,,,,,,2,2,0,b,27,1,4.77034425507967,1.1243895841892,None,299.5792442000002,None,300.73881820000133,None,300.73881820000133,None,300.7450002000005,None,['z'],[1.5093237000019144],300.73881820000133,None,None,302.71130970000195,None,z,1.5093237000019144,0,0,0.3333333333333333,307.48271980000027,None,None,307.48271980000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
3,0,3,0,,,,,,,,,,0,1,0,z,63,1,4.40017271499661,1.60731937853708,None,309.2954660000014,None,310.9141828000011,None,310.9141828000011,None,310.9117160000009,None,None,,310.9141828000011,None,['z'],312.8954238999995,None,z,2.4948376000011194,1,1,0.5,317.2896034000023,None,None,317.2896034000023,None,[0.4948376000011194],,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
4,0,4,0,,,,,,,,,,1,3,1,z,27,1,4.46924002178158,1.53243550275999,None,319.0955311000016,None,320.6671475999992,None,320.6671475999992,None,320.6617627999996,None,None,,320.6671475999992,None,['z'],322.62827890000153,None,z,3.1167457999999897,1,1,0.6,327.0865042000023,None,None,327.0865042000023,None,[1.1167457999999897],,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
5,0,5,0,,,,,,,,,,2,2,3,b,63,1,3.76873691643126,1.12425433982333,None,328.8941304000018,None,330.031423800001,None,330.031423800001,None,330.0286107999986,None,['b'],[1.7965954999981477],330.031423800001,None,None,332.02741219999916,None,b,1.7965954999981477,1,1,0.6666666666666666,335.8022155999988,None,None,335.8022155999988,None,,,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
6,0,6,0,,,,,,,,,,3,2,3,z,63,1,2.7134565917469198,1.52290599571961,None,337.6117374000005,None,339.1324947000012,None,339.1324947000012,None,339.1443899999999,None,None,,339.1324947000012,None,['b'],341.11172049999914,None,b,2.5367213999979867,0,0,0.5714285714285714,343.80903059999946,None,None,343.80903059999946,None,[0.5367213999979867],,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
7,0,7,0,,,,,,,,,,1,1,0,b,63,1,4.72585056748869,1.25920145784721,None,345.61168480000015,None,346.8631802,None,346.8631802,None,346.86085799999967,None,None,,346.8631802,None,"['z', 'b', 'b', 'b', 'b']",348.8452645000016,None,z,2.324208099997122,0,0,0.5,353.56667919999927,None,None,353.56667919999927,None,"[0.3242080999971222, 0.7444578999984515, 1.1344161999968492, 1.8096515999986877, 2.504764699997395]",,,,,,,,,,,,,,,,,,,,,CBC_1143,3,3,2,6,0,0.95,2024-09-27_17h11.17.983,MSI_AV_v3,2022.1.1,60.02264054055796,
