trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.11514536789087,3.06992456303453,None,161.94605850000153,None,165.03552280000076,None,165.03552280000076,None,165.04582632000094,None,None,,165.03552280000076,None,"['b', 'b']",167.01260879999973,None,b,2.3695102000019688,0,0,0.5555555555555556,171.12642950000009,None,None,171.12642950000009,None,"[0.36951020000196877, 1.5881444000006013]",,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
9,0,9,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.7533305109883095,2.49839527409216,None,172.9295149999998,None,175.44933619999938,None,175.44933619999938,None,175.44589299000145,None,None,,175.44933619999938,None,['b'],177.42935600000055,None,b,2.097452999998495,1,1,0.6,182.1718925999994,None,None,182.1718925999994,None,[0.09745299999849522],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
10,0,10,0,,,,,,,,,,0,0.0,1.0,z,63.0,0.0,2.433630701072358,1.60731937853708,None,183.97960329999842,None,185.60119929999928,None,185.60119929999928,None,185.59648248999875,None,None,,185.60119929999928,None,"['z', 'z']",187.57973299999867,None,z,3.4509854999960226,1,0,0.6363636363636364,190.00775509999949,None,None,190.00775509999949,None,"[1.4509854999960226, 2.089461699997628]",,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
11,0,11,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.2062024266105302,1.53243550275999,None,191.81303370000023,None,193.36725569999908,None,193.36725569999908,None,193.3627318899984,None,None,,193.36725569999908,None,['b'],195.34617269999944,None,b,2.3403517000006104,0,0,0.5833333333333334,198.53602799999862,None,None,198.53602799999862,None,[0.34035170000061044],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
12,0,12,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.342239579230602,3.1963008326951,None,200.34613170000011,None,203.566079799999,None,203.566079799999,None,203.56269719000048,None,None,,203.566079799999,None,"['z', 'z', 'z']",205.54650879999826,None,z,2.0908387999988918,0,0,0.5384615384615384,207.88260539999828,None,None,207.88260539999828,None,"[0.09083879999889177, 0.6750264000002062, 0.8984339999988151]",,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
13,0,13,0,,,,,,,,,,3,0.0,2.0,z,27.0,0.0,4.82531807167306,1.25817747924478,None,209.69647429999895,None,210.96826969999893,None,210.96826969999893,None,210.97956261999863,None,None,,210.96826969999893,None,['z'],212.9450695000014,None,z,3.5820188999969105,1,0,0.5714285714285714,217.75587190000078,None,None,217.75587190000078,None,[1.5820188999969105],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
14,0,14,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.77034425507967,2.09887870490381,None,219.5630343999983,None,221.68378120000125,None,221.68378120000125,None,221.67959149000163,None,None,,221.68378120000125,None,['b'],223.66313100000116,None,b,2.750635100001091,0,0,0.5333333333333333,228.41990430000078,None,None,228.41990430000078,None,[0.7506351000010909],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
15,0,15,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,3.68371079902891,1.52290599571961,None,230.2295774000013,None,231.7675874000015,None,231.7675874000015,None,231.76313988999974,None,None,,231.7675874000015,None,['z'],233.7463519999983,None,z,2.45242159999907,1,1,0.5625,237.42514500000107,None,None,237.42514500000107,None,[0.45242159999907017],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
16,0,16,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.592312596923728,1.94858485820231,None,239.2297034000003,None,241.18293880000056,None,241.18293880000056,None,241.1790736599993,None,['b'],[1.4863461999957508],241.18293880000056,None,None,243.18341259999943,None,b,1.4863461999957508,1,1,0.5882352941176471,245.7888168999998,None,None,245.7888168999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
17,0,17,0,,,,,,,,,,1,3.0,2.0,b,63.0,0.0,3.26539063535182,1.90743690794447,None,247.59683930000028,None,249.51844540000093,None,249.51844540000093,None,249.52955722000044,None,None,,249.51844540000093,None,['z'],251.49637190000067,None,z,2.5807430999993812,0,1,0.5555555555555556,254.75341689999914,None,None,254.75341689999914,None,[0.5807430999993812],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
