trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.40017271499661,1.21250262048173,None,342.86559099999977,None,344.06578313,344.06578313,344.08216632999984,None,[],['b'],[0.3179276999999274],346.0709913999999,None,b,2.3179276999999274,1,1,0.5,None,350.457504,None,350.457504,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
26,0,26,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.592312596923728,1.96568735158996,None,352.26467409999987,None,354.19892192999987,354.19892192999987,354.2156714299995,None,[],['b'],[1.3032890000004045],356.20512939999935,None,b,3.3032890000004045,1,1,0.5185185185185185,None,358.78851249999934,None,358.78851249999934,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
27,0,27,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.82531807167306,2.15533949826702,None,360.598978,None,362.73159372999953,362.73159372999953,362.74823373000027,None,[],None,,364.7282060999996,None,None,[],0,3,0.5,None,369.55515359999936,['z'],369.55515359999936,None,[0.9398734000005788],,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
28,0,28,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,2.91303524001082,0.80788063606262,None,371.3658869000001,None,372.14902553,372.14902553,372.1658450299997,None,[],['z'],[1.6297772999996596],374.15778989999944,None,z,3.6297772999996596,0,1,0.4827586206896552,None,377.0768840999999,None,377.0768840999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
29,0,29,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.3728785608729996,3.33124983260532,None,378.8829949000001,None,382.1990163300002,382.1990163300002,382.2156866299997,None,[],['b'],[0.9803602000001774],384.2044175000001,None,b,2.9803602000001774,0,0,0.4666666666666667,None,387.57021299999997,None,387.57021299999997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
30,0,30,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.496959177995529,3.1424449555106,None,389.3825347000002,None,392.49905773,392.49905773,392.51561422999976,z,['z'],None,,394.5417043999996,None,z,1.9945041999999376,1,1,0.4838709677419355,None,397.0447666,None,397.0447666,None,,1.9945041999999376,[1.9945041999999376],,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
31,0,31,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,3.76873691643126,1.34668860557497,None,398.84911049999937,None,400.1823665299994,400.1823665299994,400.1990896299999,None,[],['z'],[1.9273792000003596],402.1876569999995,None,z,3.9273792000003596,0,0,0.46875,None,405.94413429999986,None,405.94413429999986,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
32,0,32,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.7533305109883095,1.12425433982333,None,407.7492451999997,None,408.8484380300001,408.8484380300001,408.86473912999963,None,[],['z'],[0.6481889000006049],410.8435663,None,z,2.648188900000605,1,1,0.48484848484848486,None,415.6044452999995,None,415.6044452999995,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
33,0,33,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.11514536789087,1.18065738546375,None,417.4160357999999,None,418.58246173,418.58246173,418.5992170300001,None,[],['b'],[1.8319965999999113],420.5883367999995,None,b,3.8319965999999113,0,0,0.47058823529411764,None,424.6909819000002,None,424.6909819000002,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
34,0,34,0,,,,,,,,,,2,0.0,1.0,b,63.0,0.0,2.92731383428727,2.6299100644723,['z'],426.4981444999994,None,429.09860073000027,429.09860073000027,429.1153929299994,b,['b'],None,,431.1329367999997,None,b,0.11797509999996691,1,0,0.4857142857142857,None,434.0586591000001,None,434.0586591000001,None,,0.11797509999996691,[0.11797509999996691],[1.388419700000668],,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
