trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,31.472535199998674,None,t,61.04947480000192,31.472535199998674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
,,,,,,,,,,None,92.53896429999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
0,0,0,0,,,,,,,,,,2,1,0,z,63,1,2.517541937862754,3.24569326556923,None,92.73902839999937,None,96.04351029999998,None,96.04351029999998,None,96.03942748000009,None,None,96.04351029999998,None,['z'],[0.46510510000007343],97.97244759999921,None,z,2.4651051000000734,1,1,1.0,100.49094289999994,None,None,100.49094289999994,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
1,0,1,0,,,,,,,,,,3,3,2,z,63,1,4.61004669244928,1.64421109900286,None,102.28946219999852,None,103.92495830000007,None,103.92495830000007,None,103.92193776000022,None,None,103.92495830000007,None,['b'],[1.060629000001427],105.90595969999958,None,b,3.060629000001427,0,0,0.5,110.50622789999943,None,None,110.50622789999943,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
2,0,2,0,,,,,,,,,,2,0,2,b,27,1,2.592312596923728,1.27538462653558,None,112.30586599999879,None,113.59313769999972,None,113.59313769999972,None,113.58915299,None,['z'],113.59313769999972,None,None,,115.58905479999885,None,z,1.516236300001765,0,0,0.3333333333333333,118.17786539999906,None,None,118.17786539999906,None,[1.516236300001765],,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
3,0,3,0,,,,,,,,,,0,1,0,b,63,1,2.92731383428727,1.36309078069689,None,119.98912359999849,None,121.36099659999854,None,121.36099659999854,None,121.3727819199994,None,None,121.36099659999854,None,['b'],[0.2341459000017494],123.33927589999985,None,b,2.2341459000017494,1,1,0.5,126.25228979999883,None,None,126.25228979999883,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
4,0,4,0,,,,,,,,,,1,2,3,z,63,1,3.6438386551209,2.40378712856304,None,128.05592429999888,None,130.47556179999992,None,130.47556179999992,None,130.47233778999907,None,None,130.47556179999992,None,['z'],[0.7522491000017908],132.45500840000022,None,z,2.752249100001791,1,1,0.6,136.08731699999953,None,None,136.08731699999953,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
5,0,5,0,,,,,,,,,,0,1,2,b,9,1,4.46924002178158,0.80788063606262,None,137.8891597999991,None,138.71023269999932,None,138.71023269999932,None,138.70575258999997,None,None,138.71023269999932,None,['z'],[0.3265092000019649],140.6889771999995,None,z,2.326509200001965,0,0,0.5,145.1420779,None,None,145.1420779,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
6,0,6,0,,,,,,,,,,1,1,3,z,27,1,4.40017271499661,1.53243550275999,None,146.95599869999933,None,148.5151506000002,None,148.5151506000002,None,148.52255721999973,None,None,148.5151506000002,None,['z'],[0.6193115000023681],150.48884149999867,None,z,2.619311500002368,1,1,0.5714285714285714,154.87277149999863,None,None,154.87277149999863,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
7,0,7,0,,,,,,,,,,2,1,0,z,63,1,3.26539063535182,1.18065738546375,None,156.6725538999999,None,157.85591430000022,None,157.85591430000022,None,157.85495295999863,None,None,157.85591430000022,None,['z'],[1.0604440000006434],159.84271329999865,None,z,3.0604440000006434,1,1,0.625,163.12194219999947,None,None,163.12194219999947,None,,,,,,,,,,,,,,,,,,,,CBC_1014,005,5,2,4,13,0.95,2023-06-25_12h52.52.235,MSI_AV_v3,2022.1.1,59.98616718970231,
