trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,238.50745840000036,None,t,72.03667620000033,238.50745840000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
,,,,,,,,,,None,310.56648640000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
0,0,0,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,2.342239579230602,2.15533949826702,None,310.7666072000002,None,312.9000828900007,312.9000828900007,312.91663119000077,z,['z'],1.5774246999999377,[1.5774246999999377],None,314.95146430000113,None,z,1.5774246999999377,1,1,1.0,None,317.28869530000065,None,317.28869530000065,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
1,0,1,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.73326136168326,1.25920145784721,None,319.0834387999994,None,320.3161419900007,320.3161419900007,320.33286598999985,None,[],,,['b'],322.3154906999998,None,b,2.6516680000013366,0,0,0.5,None,326.0608395999998,None,326.0608395999998,None,[0.6516680000013366],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
2,0,2,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.31929419319838,1.53122835510861,None,327.8666882000007,None,329.38298399000087,329.38298399000087,329.39938469000117,None,[],,,['z'],331.38680699999986,None,z,2.363251700001456,0,0,0.3333333333333333,None,334.71646509999937,None,334.71646509999937,None,[0.3632517000014559],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
3,0,3,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.77034425507967,1.18065738546375,None,336.5163166000011,None,337.6820623900003,337.6820623900003,337.69869369000116,None,[],,,['z'],339.67856239999946,None,z,2.502180899999985,1,1,0.5,None,344.4372379000006,None,344.4372379000006,None,[0.5021808999999848],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
4,0,4,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,4.52047235037039,3.1424449555106,None,346.2499146,None,349.36650869000005,349.36650869000005,349.38319858999967,z,['z'],1.8078016999998,[1.8078016999998],None,351.410992600001,None,z,1.8078016999998,1,1,0.6,None,355.9268651000011,None,355.9268651000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
5,0,5,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.517541937862754,0.77703640172831,None,357.73307190000105,None,358.4831560900002,358.4831560900002,358.49975669000014,None,[],,,['b'],360.4821894000006,None,b,2.5850189999991926,1,1,0.6666666666666666,None,363.00946139999996,None,363.00946139999996,None,[0.5850189999991926],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
6,0,6,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.433630701072358,0.974903167432984,None,364.81661970000005,None,365.76520698999957,365.76520698999957,365.7820073900002,None,[],,,['b'],367.7614569999996,None,b,2.6338497999995525,0,0,0.5714285714285714,None,370.18905859999995,None,370.18905859999995,None,[0.6338497999995525],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
7,0,7,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,3.6438386551209,0.952147612306987,None,372.00043670000105,None,372.9333393899997,372.9333393899997,372.94995079,None,[],,,['b'],374.93927390000044,None,b,2.414570400001139,1,1,0.625,None,378.59310430000096,None,378.59310430000096,None,[0.4145704000011392],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
8,0,8,0,,,,,,,,,,2,3.0,0.0,b,9.0,1.0,4.82531807167306,2.78346932462847,None,380.39990769999986,None,383.16656608999983,383.16656608999983,383.1835648899996,None,[],,,['b'],385.17090030000054,None,b,2.53577530000166,1,1,0.6666666666666666,None,389.9900329000002,None,389.9900329000002,None,[0.5357753000016601],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
9,0,9,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.11514536789087,1.52290599571961,None,391.8003004000011,None,393.29993339000066,393.29993339000066,393.3164003900001,None,[],,,['z'],395.30280760000005,None,z,2.6875997999986794,1,1,0.7,None,399.42446930000096,None,399.42446930000096,None,[0.6875997999986794],,,,,,,,,,,,,,,,,,,,,CBC_1139,003,1,3,3,20,0.95,2024-07-08_17h11.14.330,MSI_TV_v3,2022.1.1,60.14042789964578,
