trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,,1,0,1,z,63,1,1.6718976049999998,2.349749758,None,223.7639833000003,None,226.13483130000031,None,226.13483130000031,None,226.1465910599999,None,['z'],226.13483130000031,None,None,,228.11421259999997,None,z,1.5971859999999651,1,1,0.75,229.8037102000003,None,None,229.8037102000003,None,,,[1.5971859999999651],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
12,0,12,0,,,,,,,,,,0,1,0,z,63,0,2.818459073,1.53162701,None,231.81397170000037,None,233.34890910000013,None,233.34890910000013,None,233.34589518,None,['z'],233.34890910000013,None,None,,235.34737489999998,None,z,1.709431400000085,1,0,0.7692307692307693,238.16253940000024,None,None,238.16253940000024,None,,,[1.709431400000085],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
13,0,13,0,,,,,,,,,,2,2,1,b,9,1,1.758742576,1.378098418,None,240.1633713000001,None,241.55218749999995,None,241.55218749999995,None,241.5637404600001,None,None,241.55218749999995,None,['z'],[1.1897891000003256],243.52935100000013,None,z,3.1897891000003256,0,0,0.7142857142857143,245.26685140000018,None,None,245.26685140000018,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
14,0,14,0,,,,,,,,,,0,0,1,b,63,1,1.109698721,1.732943574,None,247.28050620000022,None,249.03739300000007,None,249.03739300000007,None,249.04675706000026,None,None,249.03739300000007,None,None,,251.0129009000002,None,[],[],0,3,0.6666666666666666,252.1020764,None,"['b', 'b']",252.1020764,None,"[0.15803199999982098, 1.3710685999999441]",,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
15,0,15,0,,,,,,,,,,3,1,3,z,27,1,3.044827724,3.321420384,"['b', 'b']",254.11371450000024,None,257.4535840000003,None,257.4535840000003,None,257.4637930600001,None,None,257.4535840000003,None,['z'],[0.5851567000004252],259.43045230000007,None,z,2.585156700000425,1,1,0.6875,262.4693892,None,None,262.4693892,None,,"[0.6264664000000266, 1.8509808999997404]",,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
16,0,16,0,,,,,,,,,,1,1,0,b,63,1,2.278602942,2.573610938,None,264.4805967000002,None,267.06967570000006,None,267.06967570000006,None,267.0801808600003,None,['b'],267.06967570000006,None,None,,269.04819780000025,None,b,1.5686986999999135,1,1,0.7058823529411765,271.32969200000025,None,None,271.32969200000025,None,,,[1.5686986999999135],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
17,0,17,0,,,,,,,,,,2,3,2,z,63,0,3.278108735,0.977134615,None,273.3305594000003,None,274.3002428,None,274.3002428,None,274.31314176999996,None,None,274.3002428,None,['z'],[1.1238359999997556],276.2806625000003,None,z,3.1238359999997556,1,0,0.7222222222222222,279.5490973000001,None,None,279.5490973000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
18,0,18,0,,,,,,,,,,0,0,2,b,27,1,2.397501916,2.495793893,None,281.5633554000001,None,284.0866146000003,None,284.0866146000003,None,284.0973395600003,None,['b'],284.0866146000003,None,None,,286.08050679999997,None,b,1.1492100000000391,1,1,0.7368421052631579,288.48818470000015,None,None,288.48818470000015,None,,,[1.1492100000000391],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
19,0,19,0,,,,,,,,,,3,2,3,z,63,1,3.869831913,2.071213329,None,290.49748880000016,None,292.5876873000002,None,292.5876873000002,None,292.59742976,None,None,292.5876873000002,None,['z'],[0.32911330000024464],294.56338760000017,None,z,2.3291133000002446,1,1,0.75,298.4271199,None,None,298.4271199,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
20,0,20,0,,,,,,,,,,1,1,3,b,27,1,1.887650177,2.502774076,None,300.4307613000001,None,302.95332110000027,None,302.95332110000027,None,302.96368246000014,None,None,302.95332110000027,None,['b'],[0.6134987999998884],304.92986310000015,None,b,2.6134987999998884,1,1,0.7619047619047619,306.81096760000037,None,None,306.81096760000037,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
