trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,2,1,0,z,63,1,2.693348633324513,1.64421109900286,None,252.54968929999995,None,254.2019280000004,None,254.2019280000004,None,254.2001495000004,None,None,254.2019280000004,None,['z'],[0.3472937999995338],256.18311110000104,None,z,2.347293799999534,1,1,0.45,258.8684876999996,None,None,258.8684876999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
20,0,20,0,,,,,,,,,,1,2,0,b,27,1,2.629554641171433,1.60731937853708,None,260.68235280000044,None,262.3020944,None,262.3020944,None,262.2997298999999,None,None,262.3020944,None,['b'],[0.5324922999989212],264.2831335999999,None,b,2.5324922999989212,1,1,0.47619047619047616,266.9064651000008,None,None,266.9064651000008,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
21,0,21,0,,,,,,,,,,3,0,1,z,63,1,3.7500315165247198,1.25920145784721,None,268.7154148999998,None,269.9878081000006,None,269.9878081000006,None,269.98309510000036,None,None,269.9878081000006,None,['z'],[0.7066778999997041],271.96607849999964,None,z,2.706677899999704,1,1,0.5,275.7140608000009,None,None,275.7140608000009,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
22,0,22,0,,,,,,,,,,1,2,0,b,27,1,2.433630701072358,1.27538462653558,None,277.5163862999998,None,278.78553509999983,None,278.78553509999983,None,278.7820264000002,None,None,278.78553509999983,None,None,,280.7661322999993,None,[],[],0,3,0.4782608695652174,283.189088000001,None,['z'],283.189088000001,None,[0.21325989999968442],,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
23,0,23,0,,,,,,,,,,0,3,2,b,63,1,3.02234236141277,3.1424449555106,None,284.99989149999965,None,288.15347549999933,None,288.15347549999933,None,288.1497493000006,None,None,288.15347549999933,None,['b'],[0.8201453999990918],290.13319950000005,None,b,2.8201453999990918,1,1,0.5,293.1370074999995,None,None,293.1370074999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
24,0,24,0,,,,,,,,,,2,1,0,z,63,1,3.71372710086949,1.94858485820231,None,294.95051650000096,None,296.9006633000008,None,296.9006633000008,None,296.89852690000043,None,None,296.9006633000008,None,['b'],[0.7592003999998269],298.88321410000026,None,b,2.759200399999827,0,0,0.48,302.5879208000006,None,None,302.5879208000006,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
25,0,25,0,,,,,,,,,,1,3,2,z,63,1,4.46924002178158,2.10421507306074,None,304.398855200001,None,306.5220327999996,None,306.5220327999996,None,306.53308599999946,None,None,306.5220327999996,None,['z'],[0.9643042999996396],308.50005880000026,None,z,2.9643042999996396,1,1,0.5,312.9581407000005,None,None,312.9581407000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
26,0,26,0,,,,,,,,,,2,2,0,z,27,1,3.2062024266105302,2.49839527409216,None,314.76545199999964,None,317.25420510000004,None,317.25420510000004,None,317.26533930000005,None,None,317.25420510000004,None,['b'],[0.7700406000003568],319.2332408000002,None,b,2.770040600000357,0,0,0.48148148148148145,322.4357433999994,None,None,322.4357433999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
27,0,27,0,,,,,,,,,,0,3,2,b,63,1,3.6438386551209,1.38289892513751,None,324.2497899000009,None,325.6569452999993,None,325.6569452999993,None,325.6666671999992,None,None,325.6569452999993,None,['b'],[0.5122933000002377],327.63245350000034,None,b,2.5122933000002377,1,1,0.5,331.2623633000003,None,None,331.2623633000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
28,0,28,0,,,,,,,,,,0,3,2,b,63,1,2.496959177995529,0.77703640172831,None,333.0666889999993,None,333.85774950000086,None,333.85774950000086,None,333.8667408000001,None,['b'],333.85774950000086,None,None,,335.85395400000016,None,b,1.4769347999990714,1,1,0.5172413793103449,338.3566205999996,None,None,338.3566205999996,None,,,[1.4769347999990714],,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
