trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,32.725898900000175,None,t,59.45887770000081,32.725898900000175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
,,,,,,,,,,None,92.2046762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
0,0,0,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,2.433630701072358,0.77703640172831,None,92.40479549999964,None,93.35209440000017,None,93.35209440000017,None,93.35389228000066,None,None,93.35209440000017,None,['b'],[0.08949329999995825],95.17124409999997,None,b,2.0894932999999583,1,1,1.0,97.60848840000017,None,None,97.60848840000017,None,,,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
1,0,1,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.40017271499661,3.4543169006169,None,99.40463160000036,None,102.93912939999973,None,102.93912939999973,None,102.93808702000032,None,None,102.93912939999973,None,['z'],[0.013921300000220072],104.8542908999998,None,z,2.01392130000022,1,1,1.0,109.24398430000019,None,None,109.24398430000019,None,,,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
2,0,2,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,3.76873691643126,0.917519910446003,None,111.05463899999995,None,111.99510159999954,None,111.99510159999954,None,112.00476053999974,None,"['b', 'b']",111.99510159999954,None,None,,113.98871359999976,None,b,1.207973000000493,1,1,1.0,117.76228639999954,None,None,117.76228639999954,None,"[1.207973000000493, 1.9411380999999892]",,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
3,0,3,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.53337421950507,1.34668860557497,None,119.57109440000022,None,120.95755980000013,None,120.95755980000013,None,120.95461293999979,None,['b'],120.95755980000013,None,None,,122.94184539999969,None,b,1.2000538000002052,1,1,1.0,127.47771250000005,None,None,127.47771250000005,None,[1.2000538000002052],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
4,0,4,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.01714354611405,2.09887870490381,None,129.28800169999977,None,131.40749899999992,None,131.40749899999992,None,131.40483208000015,None,['z'],131.40749899999992,None,None,,133.40402429999995,None,z,1.2797093000008317,1,1,1.0,137.42727149999973,None,None,137.42727149999973,None,[1.2797093000008317],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
5,0,5,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.11514536789087,1.90743690794447,None,139.23830569999973,None,141.16052490000038,None,141.16052490000038,None,141.1714814400004,None,['z'],141.16052490000038,None,None,,143.1544154000003,None,z,1.446668700000373,1,1,1.0,147.27763390000018,None,None,147.27763390000018,None,[1.446668700000373],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
6,0,6,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.629554641171433,3.40155979865722,None,149.08805500000017,None,152.52651229999992,None,152.52651229999992,None,152.53778250000005,None,['b'],152.52651229999992,None,None,,154.50817199999983,None,b,1.311314499999753,1,1,1.0,157.14414469999974,None,None,157.14414469999974,None,[1.311314499999753],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
7,0,7,0,,,,,,,,,,0,1.0,2.0,z,9.0,1.0,4.77723667052879,1.12425433982333,None,158.9548020000002,None,160.0933398999996,None,160.0933398999996,None,160.10491313999975,None,['z'],160.0933398999996,None,None,,162.09158430000025,None,z,1.672175500000776,1,1,1.0,166.87848289999965,None,None,166.87848289999965,None,[1.672175500000776],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
8,0,8,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,3.3728785608729996,1.53122835510861,None,168.68787410000004,None,170.24558069999966,None,170.24558069999966,None,170.2549389400003,None,['z'],170.24558069999966,None,None,,172.23854800000026,None,z,1.686947200000759,1,1,1.0,175.61296889999994,None,None,175.61296889999994,None,[1.686947200000759],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
9,0,9,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.12485271162806,1.25817747924478,None,177.42168909999964,None,178.69395470000018,None,178.69395470000018,None,178.70474514000054,None,['b'],178.69395470000018,None,None,,180.68546799999967,None,b,1.5802411000004213,1,1,1.0,184.8136811000004,None,None,184.8136811000004,None,[1.5802411000004213],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
10,0,10,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.72585056748869,2.10421507306074,None,186.62188520000018,None,188.74268080000002,None,188.74268080000002,None,188.75464814000063,None,['b'],188.74268080000002,None,None,,190.73718869999993,None,b,1.5097046999999293,1,1,1.0,195.45798110000032,None,None,195.45798110000032,None,[1.5097046999999293],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
11,0,11,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,4.190022164497369,0.974903167432984,None,197.27169560000038,None,198.26373580000018,None,198.26373580000018,None,198.27193454000027,None,['z'],198.26373580000018,None,None,,200.2579012999995,None,z,1.4518410999999105,1,1,1.0,204.4593089,None,None,204.4593089,None,[1.4518410999999105],,,,,,,,,,,,,,,,,,,,,CBC_1033,002,1,1,6,10,0.95,2023-12-13_14h51.00.395,MSI_AV_v3,2022.1.1,60.00510043351715,
