trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.496959177995529,1.43470440954152,None,222.55967789999704,None,223.97656333999947,223.97656333999947,223.99318603999671,None,[],['z'],[0.7132854999981646],225.9821738999999,None,z,2.7132854999981646,0,0,0.4444444444444444,None,228.47079299999677,None,228.47079299999677,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
18,0,18,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,4.82531807167306,1.53243550275999,None,230.27614729999914,None,231.7933007399999,231.7933007399999,231.8098007399978,None,[],['z'],[0.7414325999998255],233.79659629999878,None,z,2.7414325999998255,1,1,0.47368421052631576,None,238.6149725999967,None,238.6149725999967,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
19,0,19,0,,,,,,,,,,1,0.0,3.0,z,9.0,1.0,2.92731383428727,3.24569326556923,None,240.42651379999734,None,243.64336803999794,243.64336803999794,243.66033263999742,None,[],['z'],[0.5416484999987006],245.64851129999806,None,z,2.5416484999987006,1,1,0.5,None,248.577770099997,None,248.577770099997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
20,0,20,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.7533305109883095,0.952147612306987,None,250.39337859999796,None,251.32673733999872,251.32673733999872,251.34322673999958,None,[],['z'],[1.8395666999967943],253.33367989999897,None,z,3.8395666999967943,0,0,0.47619047619047616,None,258.0898171999979,None,258.0898171999979,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
21,0,21,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.11514536789087,2.15533949826702,None,259.89341069999864,None,262.0268056399993,262.0268056399993,262.0432370399987,None,[],['z'],[1.5944589999999152],264.032203499999,None,z,3.5944589999999152,1,1,0.5,None,268.1483023999972,None,268.1483023999972,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
22,0,22,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.2759877950103027,1.25817747924478,None,269.9599053999991,None,271.1933742399971,271.1933742399971,271.21005773999894,None,[],['z'],[0.7963213999973959],273.19854119999945,None,z,2.796321399997396,0,0,0.4782608695652174,None,275.4694165999972,None,275.4694165999972,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
23,0,23,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.6391747348430608,1.34668860557497,None,277.27692769999703,None,278.61011043999787,278.61011043999787,278.62681593999986,None,[],None,,280.6151751999969,None,None,[],0,3,0.4583333333333333,None,283.2554848999971,None,283.2554848999971,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
24,0,24,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.26539063535182,0.761758675042088,None,285.0602986999984,None,285.793724139997,285.793724139997,285.81009913999986,b,['b'],None,,287.8390768999998,None,b,1.648859100001573,1,1,0.48,None,291.10744649999833,None,291.10744649999833,None,,1.648859100001573,[1.648859100001573],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
25,0,25,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.678526077912375,1.78643585472448,None,292.9102583999993,None,294.677166339997,294.677166339997,294.6934751399978,z,['z'],None,,296.7223782000001,None,z,1.6360619999977644,1,1,0.5,None,299.4037025999969,None,299.4037025999969,None,,1.6360619999977644,[1.6360619999977644],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
26,0,26,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,4.01714354611405,0.979776149765883,None,301.2099891999969,None,302.17701653999865,302.17701653999865,302.19342803999933,None,[],['b'],[0.3206811000018206],304.18309880000015,None,b,2.3206811000018206,1,1,0.5185185185185185,None,308.20312569999805,None,308.20312569999805,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
