trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.rt,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.517541937862754,0.979776149765883,None,,327.2434001999991,None,328.2316766999993,None,328.2316766999993,None,328.2434995399988,None,None,328.2316766999993,None,['z'],[0.3109234000021388],330.2106401000001,None,z,2.310923400002139,1,1,0.8518518518518519,332.7176120999993,None,None,332.7176120999993,None,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
27,0,27,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,4.77034425507967,3.06992456303453,None,,334.52665889999844,None,337.6140886999983,None,337.6140886999983,None,337.62675483999993,None,['b'],337.6140886999983,None,None,,339.60984929999904,None,b,1.2910446000005322,1,1,0.8571428571428571,344.3841713999991,None,None,344.3841713999991,None,[1.2910446000005322],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
28,0,28,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.82320408183943,2.6299100644723,None,,346.19357469999886,None,348.84777679999934,None,348.84777679999934,None,348.8601378399988,None,['z'],348.84777679999934,None,None,,350.8648009999997,None,z,1.8419367999995302,1,1,0.8620689655172413,353.6835897000001,None,None,353.6835897000001,None,[1.8419367999995302],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
29,0,29,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.2062024266105302,1.1243895841892,None,,355.49342239999896,None,356.6303887999984,None,356.6303887999984,None,356.62667727999957,None,['b'],356.6303887999984,None,None,,358.6273062,None,b,0.9867164000006596,1,1,0.8666666666666667,361.8335544999991,None,None,361.8335544999991,None,[0.9867164000006596],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
30,0,30,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,3.7500315165247198,1.27538462653558,None,,363.6441939999986,None,364.9305053999997,None,364.9305053999997,None,364.92683387999983,None,['b'],364.9305053999997,None,None,,366.9281135000001,None,b,1.0789282000005187,1,1,0.8709677419354839,370.68121169999904,None,None,370.68121169999904,None,[1.0789282000005187],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
31,0,31,0,,,,,,,,,,3,0.0,3.0,z,9.0,1.0,4.77723667052879,1.38289892513751,None,,372.49350889999914,None,373.8971658999999,None,373.8971658999999,None,373.8935625799991,None,['z'],373.8971658999999,None,None,,375.89161799999965,None,z,1.2128924000007828,1,1,0.875,380.6673904999989,None,None,380.6673904999989,None,[1.2128924000007828],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
32,0,32,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.2759877950103027,0.917519910446003,None,,382.4768123999984,None,383.41683869999906,None,383.41683869999906,None,383.427199139999,None,['b'],383.41683869999906,None,None,,385.41182709999885,None,b,1.2987521000013658,1,1,0.8787878787878788,387.69782549999945,None,None,387.69782549999945,None,[1.2987521000013658],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
33,0,33,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.53337421950507,2.40378712856304,None,,389.51015599999846,None,391.9304169999996,None,391.9304169999996,None,391.926780979999,None,['b'],391.9304169999996,None,None,,393.93010909999975,None,b,1.4076998000000458,1,1,0.8823529411764706,398.4643941999984,None,None,398.4643941999984,None,[1.4076998000000458],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
34,0,34,0,,,,,,,,,,2,1.0,0.0,z,63.0,0.0,4.82531807167306,1.25920145784721,None,,400.27689309999914,None,401.5492207999996,None,401.5492207999996,None,401.5603045399992,None,['z'],401.5492207999996,None,None,,403.5469390999988,None,z,0.9568670000007842,1,0,0.8857142857142857,408.382638699999,None,None,408.382638699999,None,[0.9568670000007842],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
35,0,35,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.02234236141277,1.53243550275999,None,,410.1936408999991,None,411.74680219999937,None,411.74680219999937,None,411.74349967999893,None,['b'],411.74680219999937,None,None,,413.7398252999992,None,b,1.0052780000005441,1,1,0.8888888888888888,416.76602589999857,None,None,416.76602589999857,None,[1.0052780000005441],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
