trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,27.074923600000147,None,t,68.0827421999993,27.074923600000147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
,,,,,,,,,,None,95.17397999999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
0,0,0,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.71372710086949,1.95130344756745,None,95.37377169999945,None,97.49575069999992,None,97.49575069999992,None,97.50610746999963,None,None,97.49575069999992,None,['z'],[0.29527059999963967],99.32388449999962,None,z,2.2952705999996397,1,1,1.0,103.03052949999983,None,None,103.03052949999983,None,,,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
1,0,1,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.73326136168326,1.53122835510861,None,104.84064269999999,None,106.41862750000018,None,106.41862750000018,None,106.42356605000032,None,['z'],106.41862750000018,None,None,,108.3903537999995,None,z,1.9051260999995066,1,1,1.0,112.1291242999996,None,None,112.1291242999996,None,[1.9051260999995066],,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
2,0,2,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,2.6391747348430608,2.6299100644723,None,113.94071489999988,None,116.62659019999955,None,116.62659019999955,None,116.62353783999951,None,['b'],116.62659019999955,None,None,,118.57172999999966,None,b,1.8712353999999323,1,1,1.0,121.21204680000028,None,None,121.21204680000028,None,[1.8712353999999323],,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
3,0,3,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.77723667052879,2.15533949826702,None,123.02369410000028,None,125.19603430000006,None,125.19603430000006,None,125.20693176000005,None,None,125.19603430000006,None,['z'],[0.9979876999996122],127.17367319999994,None,z,2.9979876999996122,0,0,0.75,131.9407738,None,None,131.9407738,None,,,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
4,0,4,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,3.68371079902891,1.36309078069689,None,133.7406590999999,None,135.1691952000001,None,135.1691952000001,None,135.17345003999964,None,['z'],135.1691952000001,None,None,,137.12943610000002,None,z,1.5898207999998704,1,1,0.8,140.8132928999994,None,None,140.8132928999994,None,[1.5898207999998704],,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
5,0,5,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.666404967794728,0.917519910446003,None,142.62421019999965,None,143.56044539999948,None,143.56044539999948,None,143.55681716999962,None,None,143.56044539999948,None,['z'],[0.8678337999999712],145.54056200000014,None,z,2.8678337999999712,0,0,0.6666666666666666,148.20003129999986,None,None,148.20003129999986,None,,,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
6,0,6,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,2.693348633324513,1.60731937853708,None,150.00757780000004,None,151.62833219999993,None,151.62833219999993,None,151.64034576000014,None,None,151.62833219999993,None,['b'],[0.2126137999994171],153.6070179999997,None,b,2.212613799999417,0,0,0.5714285714285714,156.28525910000008,None,None,156.28525910000008,None,,,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
7,0,7,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.592312596923728,1.34668860557497,None,158.0905077999996,None,159.46147550000023,None,159.46147550000023,None,159.4570940699995,None,['b'],159.46147550000023,None,None,,161.45869849999963,None,b,1.4483844000005774,1,1,0.625,164.0615398,None,None,164.0615398,None,[1.4483844000005774],,,,,,,,,,,,,,,,,,CBC_1017,4,1,2,7,16,0.9,2023-06-25_11h31.46.540,MSI_AV_v3,2022.1.1,59.92261593389795,
