trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,49.01104469999973,None,t,70.2001509999991,49.01104469999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
,,,,,,,,,,None,119.23261829999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
0,0,0,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,3.73326136168326,0.917519910446003,None,119.43248620000031,None,120.33268720000032,120.33268720000032,120.34948279999989,None,[],['z'],[0.6579965999990236],122.33880709999994,None,z,2.6579965999990236,1,1,1.0,None,126.09920359999978,None,126.09920359999978,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
1,0,1,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.40017271499661,3.1424449555106,None,127.88283899999988,None,130.9993806999997,130.9993806999997,131.01612069999973,None,[],['z'],[1.8292779000003065],133.00445000000036,None,z,3.8292779000003065,1,1,1.0,None,137.39661140000044,None,137.39661140000044,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
2,0,2,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.629554641171433,1.90743690794447,None,139.19862430000012,None,141.08290329999963,141.08290329999963,141.09942459999965,None,[],None,,143.0889857000002,None,None,[],0,3,0.6666666666666666,None,145.74584659999982,['z'],145.74584659999982,None,[0.2721148999999059],,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
3,0,3,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.02234236141277,3.1963008326951,None,147.51557859999957,None,150.69909619999962,150.69909619999962,150.7158094000002,None,[],['z'],[1.3190175999998246],152.70359559999997,None,z,3.3190175999998246,1,1,0.75,None,155.72545069999978,None,155.72545069999978,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
4,0,4,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.71372710086949,2.09887870490381,None,157.5322183999997,None,159.6149779000003,159.6149779000003,159.63178800000023,None,[],['z'],[2.801528999999391],161.61237770000025,None,z,4.801528999999391,1,1,0.8,None,165.32596639999974,None,165.32596639999974,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
5,0,5,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.82320408183943,3.40155979865722,None,167.13266740000017,None,170.5155608000001,170.5155608000001,170.53240409999998,None,[],['z'],[2.096243500000128],172.5176836999999,None,z,4.096243500000128,0,0,0.6666666666666666,None,175.3576235999999,None,175.3576235999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
6,0,6,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.792365600763554,3.33124983260532,None,177.16615730000012,None,180.4813454000001,180.4813454000001,180.49847279999958,None,[],['z'],[1.1073509999996531],182.4804721999999,None,z,3.107350999999653,1,1,0.7142857142857143,None,185.28067589999955,None,185.28067589999955,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
7,0,7,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,3.6438386551209,1.12425433982333,None,187.08271419999983,None,188.18162059999995,188.18162059999995,188.19840460000032,None,[],['z'],[1.183994499999244],190.1794662000002,None,z,3.183994499999244,0,0,0.625,None,193.84524880000026,None,193.84524880000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
8,0,8,0,,,,,,,,,,1,3.0,0.0,b,9.0,1.0,2.91303524001082,2.10421507306074,None,195.64795649999996,None,197.73248399999974,197.73248399999974,197.74904250000017,None,[],['b'],[1.768117099999472],199.7359531000002,None,b,3.768117099999472,1,1,0.6666666666666666,None,202.63777719999962,None,202.63777719999962,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
9,0,9,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.666404967794728,1.1243895841892,None,204.44912250000016,None,205.54899390000045,205.54899390000045,205.5657545,None,[],['z'],[1.38835139999901],207.55449680000038,None,z,3.38835139999901,1,1,0.7,None,210.21357530000023,None,210.21357530000023,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
10,0,10,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.53337421950507,1.43470440954152,None,212.01608430000033,None,213.4316077999998,213.4316077999998,213.4483444000003,None,[],['b'],[1.5436038999996526],215.42904759999965,None,b,3.5436038999996526,1,1,0.7272727272727273,None,219.96263799999997,None,219.96263799999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
11,0,11,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.3728785608729996,1.36309078069689,None,221.76593169999978,None,223.1162024000001,223.1162024000001,223.13269209999962,None,[],['b'],[1.302538199999617],225.11995970000044,None,b,3.302538199999617,1,1,0.75,None,228.4918458000002,None,228.4918458000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
12,0,12,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.678526077912375,1.34668860557497,None,230.2994190999998,None,231.63190939999967,231.63190939999967,231.6483277000003,None,[],['z'],[1.3222087999993164],233.62709280000036,None,z,3.3222087999993164,0,0,0.6923076923076923,None,236.315877,None,236.315877,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
13,0,13,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,2.6391747348430608,0.761758675042088,None,238.11619520000022,None,238.8495256000002,238.8495256000002,238.86582299999972,None,[],['b'],[1.5288519999994605],240.8535523999999,None,b,3.5288519999994605,0,0,0.6428571428571429,None,243.48027749999983,None,243.48027749999983,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
14,0,14,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.77034425507967,2.49839527409216,None,245.2828116999999,None,247.76568949999964,247.76568949999964,247.7824292000001,None,[],['z'],[2.8213727999991534],249.7690359999997,None,z,4.821372799999153,0,0,0.6,None,254.53128920000017,None,254.53128920000017,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
15,0,15,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.693348633324513,0.77703640172831,None,256.3329279999998,None,257.0986422000002,257.0986422000002,257.1148378000004,None,[],['z'],[0.7201436999994257],259.0944735000003,None,z,2.7201436999994257,1,1,0.625,None,261.7839584000003,None,261.7839584000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
16,0,16,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,3.7500315165247198,1.18065738546375,None,263.59922050000023,None,264.76468009999974,264.76468009999974,264.78171350000014,None,[],['z'],[1.6083785999999236],266.76037220000035,None,z,3.6083785999999236,1,1,0.6470588235294118,None,270.5124751000003,None,270.5124751000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
17,0,17,0,,,,,,,,,,2,3.0,2.0,z,63.0,0.0,2.342239579230602,2.15533949826702,None,272.31496979999974,None,274.4495739,274.4495739,274.4661083999996,None,[],['z'],[0.8847447999996803],276.45112359999985,None,z,2.8847447999996803,1,0,0.6666666666666666,None,278.7768030999996,None,278.7768030999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
18,0,18,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.68371079902891,1.53243550275999,None,280.5825093000003,None,282.0995386000001,282.0995386000001,282.1160935000004,None,[],['b'],[1.061085099999218],284.10425229999964,None,b,3.061085099999218,1,1,0.6842105263157895,None,287.7797829000001,None,287.7797829000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
19,0,19,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.12485271162806,2.22427187882546,None,289.58260530000007,None,291.7825588000002,291.7825588000002,291.7990527999997,None,[],['z'],[2.620492699999886],293.7872735000001,None,z,4.620492699999886,1,1,0.7,None,297.9166494000001,None,297.9166494000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1030,001,3,1,3,5,0.95,2023-08-23_15h04.35.874,MSI_TV_v3,2022.1.1,60.14838606833631,
