trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,,1,2,1,z,9,1,2.517541937862754,1.60731937853708,None,272.94012920000023,None,274.5391443999997,None,274.5391443999997,None,274.5391224199999,None,['z'],[1.3314387000009447],274.5391443999997,None,None,276.5420173000002,None,z,1.3314387000009447,1,1,0.7058823529411765,279.0628591000004,None,None,279.0628591000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
17,0,17,0,,,,,,,,,,2,3,1,b,27,1,4.46924002178158,3.06992456303453,None,280.8732597999997,None,283.95568060000005,None,283.95568060000005,None,283.9566251300002,None,['z'],[1.4210486000001765],283.95568060000005,None,None,285.95752429999993,None,z,1.4210486000001765,0,0,0.6666666666666666,290.42797410000003,None,None,290.42797410000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
18,0,18,0,,,,,,,,,,3,1,0,z,63,1,3.02234236141277,1.52290599571961,None,292.23999710000044,None,293.7732573000003,None,293.7732573000003,None,293.77330803000035,None,None,,293.7732573000003,None,['b'],295.75719240000035,None,b,3.0897924000000785,0,0,0.631578947368421,298.76241240000036,None,None,298.76241240000036,None,[1.0897924000000785],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
19,0,19,0,,,,,,,,,,3,0,1,b,63,1,2.693348633324513,1.25920145784721,None,300.57890769999995,None,301.84011910000027,None,301.84011910000027,None,301.84001362999965,None,None,,301.84011910000027,None,['z'],303.82327520000035,None,z,2.6108318000005966,0,0,0.6,306.51483629999984,None,None,306.51483629999984,None,[0.6108318000005966],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
20,0,20,0,,,,,,,,,,0,0,2,z,27,1,3.2062024266105302,1.95130344756745,None,308.32350979999956,None,310.2722858999996,None,310.2722858999996,None,310.2724537199998,None,None,,310.2722858999996,None,['b'],312.2567144000004,None,b,2.5038155000002007,0,0,0.5714285714285714,315.45350549999966,None,None,315.45350549999966,None,[0.5038155000002007],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
21,0,21,0,,,,,,,,,,1,1,0,b,63,1,4.11514536789087,2.6299100644723,None,317.2569196000004,None,319.90780859999995,None,319.90780859999995,None,319.90665993000033,None,None,,319.90780859999995,None,['b'],321.8900365999998,None,b,3.2429962000005617,1,1,0.5909090909090909,325.99554420000004,None,None,325.99554420000004,None,[1.2429962000005617],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
22,0,22,0,,,,,,,,,,0,0,2,z,27,1,2.666404967794728,0.917519910446003,None,327.80670100000043,None,328.7431360999999,None,328.7431360999999,None,328.7400026300001,None,None,,328.7431360999999,None,['z'],330.7226291999996,None,z,2.142398900000444,1,1,0.6086956521739131,333.37632360000043,None,None,333.37632360000043,None,[0.14239890000044397],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
23,0,23,0,,,,,,,,,,2,2,3,z,63,1,2.678526077912375,2.09887870490381,None,335.1902917999996,None,337.3066044999996,None,337.3066044999996,None,337.30694343000044,None,None,,337.3066044999996,None,['z'],339.29024990000016,None,z,2.2712227000001803,1,1,0.625,341.9886927999996,None,None,341.9886927999996,None,[0.27122270000018034],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
24,0,24,0,,,,,,,,,,3,0,1,b,63,1,2.342239579230602,1.38289892513751,None,343.7893125999999,None,345.1744424999997,None,345.1744424999997,None,345.1736080299997,None,['z'],[1.6521060000004582],345.1744424999997,None,None,347.18157429999974,None,z,1.6521060000004582,0,0,0.6,349.52800339999976,None,None,349.52800339999976,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
25,0,25,0,,,,,,,,,,0,2,3,b,63,1,4.77723667052879,1.36309078069689,None,351.33962470000006,None,352.70715199999995,None,352.70715199999995,None,352.70695772999983,None,None,,352.70715199999995,None,['b'],354.6902203999998,None,b,2.5770855999999185,1,1,0.6153846153846154,359.45616059999975,None,None,359.45616059999975,None,[0.5770855999999185],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
26,0,26,0,,,,,,,,,,3,0,2,b,27,1,2.6391747348430608,0.974903167432984,None,361.2570882,None,362.2612769999996,None,362.2612769999996,None,362.27356805000045,None,['z'],[1.7717108000006192],362.2612769999996,None,None,364.22328469999957,None,z,1.7717108000006192,0,0,0.5925925925925926,366.8726961000002,None,None,366.8726961000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
27,0,27,0,,,,,,,,,,2,2,3,z,63,1,4.12485271162806,1.64421109900286,None,368.6736959,None,370.32421220000015,None,370.32421220000015,None,370.3237410299998,None,['z'],[1.8064944999996442],370.32421220000015,None,None,372.3241035000001,None,z,1.8064944999996442,1,1,0.6071428571428571,376.4623902000003,None,None,376.4623902000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
28,0,28,0,,,,,,,,,,2,2,3,z,63,1,4.61004669244928,1.94858485820231,None,378.27386600000045,None,380.24057559999983,None,380.24057559999983,None,380.2404250300005,None,None,,380.24057559999983,None,['b'],382.2227874,None,b,2.0734197000001586,0,0,0.5862068965517241,386.81201239999973,None,None,386.81201239999973,None,[0.07341970000015863],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
