trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
15,0,15,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,3.76873691643126,1.25920145784721,None,220.97820420000062,None,222.25048330000027,None,222.25048330000027,None,222.26260446000126,None,None,222.25048330000027,None,['b'],[0.8341169000013906],224.22909150000123,None,b,2.8341169000013906,1,1,0.4375,227.99522969999998,None,None,227.99522969999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
16,0,16,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.6391747348430608,2.49839527409216,None,229.79579530000046,None,232.31963090000136,None,232.31963090000136,None,232.32954296000136,None,None,232.31963090000136,None,['z'],[2.532199200000832],234.29569960000117,None,z,4.532199200000832,1,1,0.47058823529411764,236.93027800000164,None,None,236.93027800000164,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
17,0,17,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.294664843639333,1.78643585472448,None,238.74492650000138,None,240.55113170000004,None,240.55113170000004,None,240.56252935999984,None,None,240.55113170000004,None,['b'],[0.37635520000003453],242.52907200000118,None,b,2.3763552000000345,1,1,0.5,244.81659750000108,None,None,244.81659750000108,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
18,0,18,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,4.46924002178158,3.33124983260532,None,246.6290538000012,None,249.95777970000017,None,249.95777970000017,None,249.96255152000086,None,None,249.95777970000017,None,['z'],[0.785842600000251],251.94588730000032,None,z,2.785842600000251,1,1,0.5263157894736842,256.40477009999995,None,None,256.40477009999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
19,0,19,0,,,,,,,,,,2,0.0,3.0,z,9.0,1.0,2.433630701072358,0.979776149765883,None,258.21170600000005,None,259.18033710000054,None,259.18033710000054,None,259.1783299800005,None,None,259.18033710000054,None,['z'],[0.5719890000000305],261.16230520000136,None,z,2.5719890000000305,1,1,0.55,263.5926206000004,None,None,263.5926206000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
20,0,20,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.12485271162806,1.52290599571961,None,265.39554540000063,None,266.9120631000005,None,266.9120631000005,None,266.91149008000104,None,None,266.9120631000005,None,['b'],[0.38708240000050864],268.8955614000006,None,b,2.3870824000005086,1,1,0.5714285714285714,273.0092020000011,None,None,273.0092020000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
21,0,21,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.517541937862754,0.974903167432984,None,274.8125791000002,None,275.79532700000163,None,275.79532700000163,None,275.79584352000023,None,None,275.79532700000163,None,['b'],[0.8470302999994601],277.77899590000015,None,b,2.84703029999946,0,0,0.5454545454545454,280.27700090000144,None,None,280.27700090000144,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
22,0,22,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.26539063535182,0.952147612306987,None,282.0781198000004,None,283.04717450000135,None,283.04717450000135,None,283.04595242,None,None,283.04717450000135,None,['z'],[1.8194873000011285],285.0291840000009,None,z,3.8194873000011285,0,0,0.5217391304347826,288.27853959999993,None,None,288.27853959999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
23,0,23,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.82320408183943,1.21250262048173,None,290.0784747000016,None,291.3017318000002,None,291.3017318000002,None,291.31299786000017,None,None,291.3017318000002,None,['b'],[0.5798110000014276],293.2794619000015,None,b,2.5798110000014276,1,1,0.5416666666666666,296.09689120000075,None,None,296.09689120000075,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
24,0,24,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.3728785608729996,2.96653053743745,None,297.89636710000013,None,300.88387240000156,None,300.88387240000156,None,300.87968632000087,None,None,300.88387240000156,None,['b'],[1.80549450000035],302.86194270000124,None,b,3.80549450000035,1,1,0.56,306.2120476,None,None,306.2120476,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
