trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,1.90573091,1.142638656,None,179.17262089999895,None,180.28853693999935,180.28853693999935,180.30530623999965,None,[],['b'],[0.01906540000163659],182.29160579999916,None,b,2.0190654000016366,0,0,0.7272727272727273,None,184.20667580000008,None,184.20667580000008,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
11,0,11,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,3.589438522,1.483424551,None,186.2219632999986,None,187.68865313999976,187.68865313999976,187.70516483999944,None,[],['z'],[0.2054243000002316],189.71068860000014,None,z,2.2054243000002316,0,0,0.6666666666666666,None,193.29976910000005,None,193.29976910000005,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
12,0,12,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,1.219965572,2.108332021,None,195.30523529999846,None,197.38908503999863,197.38908503999863,197.40529083999917,None,[],['z'],[0.31810980000227573],199.3877240999991,None,z,2.3181098000022757,1,1,0.6923076923076923,None,200.61883099999977,None,200.61883099999977,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
13,0,13,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,3.884449499,2.495793893,None,202.62204289999863,None,205.10552763999857,205.10552763999857,205.12198453999935,None,[],['z'],[0.3269889000021067],207.1121777999997,None,z,2.3269889000021067,0,0,0.6428571428571429,None,211.00714030000017,None,211.00714030000017,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
14,0,14,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,1.595506577,2.297139377,None,213.02200829999856,None,215.3055272399999,215.3055272399999,215.3220040399994,b,['b'],None,,217.32692639999914,None,b,1.612125700001343,1,1,0.6666666666666666,None,218.91685159999906,None,218.91685159999906,None,1.612125700001343,[1.612125700001343],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
15,0,15,0,,,,,,,,,,1,0.0,1.0,z,63.0,0.0,3.956662465,3.321420384,None,220.92216819999885,None,224.22206613999896,224.22206613999896,224.23860893999898,z,['z'],None,,226.26291449999917,None,z,1.5046203000001697,1,0,0.6875,None,230.2042361999993,None,230.2042361999993,None,1.5046203000001697,[1.5046203000001697],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
16,0,16,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.088920167,2.210349838,None,232.20541719999892,None,234.3894180399986,234.3894180399986,234.40557783999992,None,[],['b'],[0.3620619000012084],236.39257480000015,None,b,2.3620619000012084,0,0,0.6470588235294118,None,238.46965349999846,None,238.46965349999846,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
17,0,17,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,2.67601813,1.883772966,None,240.4711849999985,None,242.3387735399994,242.3387735399994,242.35551723999941,None,[],['z'],[0.35732000000098196],244.3421406999987,None,z,2.357320000000982,1,1,0.6666666666666666,None,247.01113359999908,None,247.01113359999908,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
18,0,18,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.21669271,1.84422311,None,249.02209969999967,None,250.8377690399995,250.8377690399995,250.85445043999988,b,['b'],None,,252.87185789999967,None,b,1.8515153000007558,1,1,0.6842105263157895,None,257.1001163000001,None,257.1001163000001,None,1.8515153000007558,[1.8515153000007558],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
19,0,19,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.196249082,2.962224669,None,259.1054537,None,262.0388549399997,262.0388549399997,262.05552154000014,None,[],['b'],[0.5516463000003569],264.04206669999985,None,b,2.551646300000357,1,1,0.7,None,268.23012740000013,None,268.23012740000013,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
20,0,20,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,2.518459073,2.234398566,None,270.2390851,None,272.4554765399991,272.4554765399991,272.4719991399999,z,['z'],None,,274.5174122999997,None,z,1.7957311999998637,1,1,0.7142857142857143,None,277.0517248999986,None,277.0517248999986,None,1.7957311999998637,[1.7957311999998637],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
21,0,21,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.372527466,2.407383959,None,279.0552654999992,None,281.4384253399987,281.4384253399987,281.4550231399991,z,['z'],None,,283.47258949999923,None,z,1.8801106000009895,1,1,0.7272727272727273,None,285.8513953999991,None,285.8513953999991,None,1.8801106000009895,[1.8801106000009895],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
22,0,22,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.117809983,2.648704933,None,287.8554899999999,None,290.4890670400002,290.4890670400002,290.50542733999845,b,['b'],None,,292.52555199999915,None,b,1.3791018000010808,1,1,0.7391304347826086,None,294.63319709999996,None,294.63319709999996,None,1.3791018000010808,[1.3791018000010808],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
23,0,23,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,1.874984683,2.502774076,None,296.63815689999865,None,299.12168773999855,299.12168773999855,299.1379145399989,None,[],['b'],[0.2626309000006586],301.116414099999,None,b,2.2626309000006586,0,0,0.7083333333333334,None,302.9852289999999,None,302.9852289999999,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
24,0,24,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.818459073,1.75396268,None,304.98879099999976,None,306.7216495399991,306.7216495399991,306.73850213999884,z,['z'],None,,308.7565782999991,None,z,1.884236100002454,0,0,0.68,None,311.5643764999986,None,311.5643764999986,None,1.884236100002454,[1.884236100002454],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
25,0,25,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.334629553,1.915207301,None,313.57223579999845,None,315.4723021399988,315.4723021399988,315.48895243999885,b,['b'],None,,317.4905686000002,None,b,1.1272893000023032,1,1,0.6923076923076923,None,321.81723129999955,None,321.81723129999955,None,1.1272893000023032,[1.1272893000023032],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
26,0,26,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,3.622505815,2.071213329,None,323.82239909999953,None,325.8723037399997,325.8723037399997,325.8890778399984,None,[],['b'],[0.3433580000018992],327.8747281999986,None,b,2.343358000001899,1,1,0.7037037037037037,None,331.5097920999997,None,331.5097920999997,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
27,0,27,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.232488062,1.554037824,None,333.5224488999993,None,335.05469243999886,335.05469243999886,335.0712670399991,None,[],['b'],[0.44878150000113237],337.0495555999987,None,b,2.4487815000011324,0,0,0.6785714285714286,None,339.27711569999883,None,339.27711569999883,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
28,0,28,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,1.610581685,3.276660373,None,341.28908520000005,None,344.5390849399993,344.5390849399993,344.55565353999935,None,[],['z'],[0.6457747000022209],346.5444219000001,None,z,2.645774700002221,0,0,0.6551724137931034,None,348.14502679999896,None,348.14502679999896,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
29,0,29,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.078483356,1.378098418,None,350.1556700000001,None,351.50579734,351.50579734,351.5224774399996,b,['b'],None,,353.5470650999996,None,b,1.5107172000007267,0,0,0.6333333333333333,None,355.62144929999886,None,355.62144929999886,None,1.5107172000007267,[1.5107172000007267],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
30,0,30,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.869831913,2.935368129,None,357.6227270999989,None,360.53836053999856,360.53836053999856,360.55465573999953,b,"['b', 'z']",None,,362.5713612999989,None,b,1.1775956000019505,0,0,0.6129032258064516,None,366.4484775000001,None,366.4484775000001,None,1.1775956000019505,"[1.1775956000019505, 1.5947875000019849]",,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
31,0,31,0,,,,,,,,,,2,3.0,0.0,b,9.0,1.0,4.176609572,1.448890429,None,368.45526249999966,None,369.87261423999934,369.87261423999934,369.8891352399989,b,['b'],None,,371.91426929999943,None,b,1.9078325999998924,1,1,0.625,None,376.0878832999988,None,376.0878832999988,None,1.9078325999998924,[1.9078325999998924],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
32,0,32,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.278602942,0.971483559,None,378.0936222,None,379.0392873399998,379.0392873399998,379.05581353999895,None,[],['z'],[0.2532158000012714],381.0356746999987,None,z,2.2532158000012714,1,1,0.6363636363636364,None,383.33030879999933,None,383.33030879999933,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
33,0,33,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.0845750460000003,1.411911144,None,385.3393789999991,None,386.7224781400002,386.7224781400002,386.7391289399986,z,['z'],None,,388.7388299999984,None,z,1.974551800001791,1,1,0.6470588235294118,None,390.8175354999985,None,390.8175354999985,None,1.974551800001791,[1.974551800001791],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
34,0,34,0,,,,,,,,,,0,0.0,1.0,b,63.0,0.0,1.758742576,0.789129603,None,392.8225793999991,None,393.5892153400002,393.5892153400002,393.6066258399989,b,['b'],None,,395.6290116,None,b,1.1620751000009477,1,0,0.6571428571428571,None,397.3821309999985,None,397.3821309999985,None,1.1620751000009477,[1.1620751000009477],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
